# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.067737e-01	1.232917e-02	1.232917e-02
1.000000e-02	2.000000e-02	1.580251e-01	1.499908e-02	1.499908e-02
2.000000e-02	3.000000e-02	2.932718e-01	2.043322e-02	2.043322e-02
3.000000e-02	4.000000e-02	4.484496e-01	2.526728e-02	2.526728e-02
4.000000e-02	5.000000e-02	7.644999e-01	3.299060e-02	3.299060e-02
5.000000e-02	6.000000e-02	1.110447e+00	3.976037e-02	3.976037e-02
6.000000e-02	7.000000e-02	1.557473e+00	4.708817e-02	4.708817e-02
7.000000e-02	8.000000e-02	2.050056e+00	5.402371e-02	5.402371e-02
8.000000e-02	9.000000e-02	2.489963e+00	5.953852e-02	5.953852e-02
9.000000e-02	1.000000e-01	2.959768e+00	6.491280e-02	6.491280e-02
1.000000e-01	1.100000e-01	3.339882e+00	6.895522e-02	6.895522e-02
1.100000e-01	1.200000e-01	3.376897e+00	6.933627e-02	6.933627e-02
1.200000e-01	1.300000e-01	3.707184e+00	7.264799e-02	7.264799e-02
1.300000e-01	1.400000e-01	3.735657e+00	7.292644e-02	7.292644e-02
1.400000e-01	1.500000e-01	3.860938e+00	7.413921e-02	7.413921e-02
1.500000e-01	1.600000e-01	3.705760e+00	7.263404e-02	7.263404e-02
1.600000e-01	1.700000e-01	3.845278e+00	7.398870e-02	7.398870e-02
1.700000e-01	1.800000e-01	3.721420e+00	7.278735e-02	7.278735e-02
1.800000e-01	1.900000e-01	3.654509e+00	7.213002e-02	7.213002e-02
1.900000e-01	2.000000e-01	3.563395e+00	7.122518e-02	7.122518e-02
2.000000e-01	2.100000e-01	3.250192e+00	6.802305e-02	6.802305e-02
2.100000e-01	2.200000e-01	3.257310e+00	6.809750e-02	6.809750e-02
2.200000e-01	2.300000e-01	3.198941e+00	6.748460e-02	6.748460e-02
2.300000e-01	2.400000e-01	2.823097e+00	6.339639e-02	6.339639e-02
2.400000e-01	2.500000e-01	2.780388e+00	6.291501e-02	6.291501e-02
2.500000e-01	2.600000e-01	2.677885e+00	6.174439e-02	6.174439e-02
2.600000e-01	2.700000e-01	2.505623e+00	5.972546e-02	5.972546e-02
2.700000e-01	2.800000e-01	2.330515e+00	5.760066e-02	5.760066e-02
