# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_2
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.153071e+01	2.431567e-01	2.431567e-01
1.000000e-02	2.000000e-02	1.428205e+01	1.425926e-01	1.425926e-01
2.000000e-02	3.000000e-02	8.101990e+00	1.073983e-01	1.073983e-01
3.000000e-02	4.000000e-02	5.686057e+00	8.997196e-02	8.997196e-02
4.000000e-02	5.000000e-02	4.196919e+00	7.729776e-02	7.729776e-02
5.000000e-02	6.000000e-02	3.301444e+00	6.855727e-02	6.855727e-02
6.000000e-02	7.000000e-02	2.652259e+00	6.144825e-02	6.144825e-02
7.000000e-02	8.000000e-02	2.228012e+00	5.631969e-02	5.631969e-02
8.000000e-02	9.000000e-02	1.806611e+00	5.071471e-02	5.071471e-02
9.000000e-02	1.000000e-01	1.540389e+00	4.682920e-02	4.682920e-02
1.000000e-01	1.100000e-01	1.450699e+00	4.544543e-02	4.544543e-02
1.100000e-01	1.200000e-01	1.177358e+00	4.094076e-02	4.094076e-02
1.200000e-01	1.300000e-01	1.080550e+00	3.922149e-02	3.922149e-02
1.300000e-01	1.400000e-01	1.023604e+00	3.817400e-02	3.817400e-02
1.400000e-01	1.500000e-01	8.968993e-01	3.573332e-02	3.573332e-02
1.500000e-01	1.600000e-01	7.887019e-01	3.350873e-02	3.350873e-02
1.600000e-01	1.700000e-01	7.217904e-01	3.205584e-02	3.205584e-02
1.700000e-01	1.800000e-01	6.377951e-01	3.013298e-02	3.013298e-02
1.800000e-01	1.900000e-01	6.036275e-01	2.931474e-02	2.931474e-02
1.900000e-01	2.000000e-01	5.552234e-01	2.811483e-02	2.811483e-02
2.000000e-01	2.100000e-01	5.096666e-01	2.693672e-02	2.693672e-02
2.100000e-01	2.200000e-01	4.840409e-01	2.625080e-02	2.625080e-02
2.200000e-01	2.300000e-01	4.142821e-01	2.428564e-02	2.428564e-02
2.300000e-01	2.400000e-01	4.071638e-01	2.407610e-02	2.407610e-02
2.400000e-01	2.500000e-01	3.687253e-01	2.291147e-02	2.291147e-02
2.500000e-01	2.600000e-01	3.032374e-01	2.077748e-02	2.077748e-02
2.600000e-01	2.700000e-01	2.961191e-01	2.053217e-02	2.053217e-02
2.700000e-01	2.800000e-01	2.804590e-01	1.998187e-02	1.998187e-02
2.800000e-01	2.900000e-01	2.349022e-01	1.828711e-02	1.828711e-02
2.900000e-01	3.000000e-01	2.363258e-01	1.834244e-02	1.834244e-02
3.000000e-01	3.100000e-01	2.035819e-01	1.702437e-02	1.702437e-02
3.100000e-01	3.200000e-01	1.964637e-01	1.672410e-02	1.672410e-02
3.200000e-01	3.300000e-01	2.149711e-01	1.749410e-02	1.749410e-02
3.300000e-01	3.400000e-01	1.409413e-01	1.416514e-02	1.416514e-02
3.400000e-01	3.500000e-01	1.352467e-01	1.387602e-02	1.387602e-02
3.500000e-01	3.600000e-01	1.380940e-01	1.402132e-02	1.402132e-02
3.600000e-01	3.700000e-01	1.295521e-01	1.358075e-02	1.358075e-02
3.700000e-01	3.800000e-01	1.309758e-01	1.365517e-02	1.365517e-02
3.800000e-01	3.900000e-01	8.968993e-02	1.129987e-02	1.129987e-02
3.900000e-01	4.000000e-01	1.039264e-01	1.216367e-02	1.216367e-02
4.000000e-01	4.100000e-01	7.260613e-02	1.016689e-02	1.016689e-02
4.100000e-01	4.200000e-01	8.541898e-02	1.102754e-02	1.102754e-02
4.200000e-01	4.300000e-01	8.257168e-02	1.084219e-02	1.084219e-02
4.300000e-01	4.400000e-01	4.982774e-02	8.422425e-03	8.422425e-03
4.400000e-01	4.500000e-01	5.267504e-02	8.659723e-03	8.659723e-03
4.500000e-01	4.600000e-01	4.840409e-02	8.301232e-03	8.301232e-03
4.600000e-01	4.700000e-01	5.694599e-02	9.003951e-03	9.003951e-03
4.700000e-01	4.800000e-01	3.843854e-02	7.397501e-03	7.397501e-03
4.800000e-01	4.900000e-01	3.132029e-02	6.677509e-03	6.677509e-03
4.900000e-01	5.000000e-01	3.274394e-02	6.827584e-03	6.827584e-03
5.000000e-01	5.100000e-01	1.423650e-02	4.501975e-03	4.501975e-03
5.100000e-01	5.200000e-01	2.135475e-02	5.513772e-03	5.513772e-03
