# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_2
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	2.847299e-04	2.013345e-04	2.013345e-04
2.000000e-01	3.000000e-01	5.694599e-04	2.847299e-04	2.847299e-04
3.000000e-01	4.000000e-01	8.541898e-04	3.487215e-04	3.487215e-04
4.000000e-01	5.000000e-01	2.704934e-03	6.205545e-04	6.205545e-04
5.000000e-01	6.000000e-01	4.555679e-03	8.053379e-04	8.053379e-04
6.000000e-01	7.000000e-01	9.823183e-03	1.182572e-03	1.182572e-03
7.000000e-01	8.000000e-01	2.064292e-02	1.714301e-03	1.714301e-03
8.000000e-01	9.000000e-01	3.060847e-02	2.087480e-03	2.087480e-03
9.000000e-01	1.000000e+00	4.114348e-02	2.420205e-03	2.420205e-03
1.000000e+00	1.100000e+00	5.167848e-02	2.712417e-03	2.712417e-03
1.100000e+00	1.200000e+00	6.805045e-02	3.112555e-03	3.112555e-03
1.200000e+00	1.300000e+00	7.459924e-02	3.258883e-03	3.258883e-03
1.300000e+00	1.400000e+00	8.954756e-02	3.570496e-03	3.570496e-03
1.400000e+00	1.500000e+00	1.026451e-01	3.822705e-03	3.822705e-03
1.500000e+00	1.600000e+00	1.191595e-01	4.118755e-03	4.118755e-03
1.600000e+00	1.700000e+00	1.292674e-01	4.289889e-03	4.289889e-03
1.700000e+00	1.800000e+00	1.396600e-01	4.459002e-03	4.459002e-03
1.800000e+00	1.900000e+00	1.550354e-01	4.698044e-03	4.698044e-03
1.900000e+00	2.000000e+00	1.712651e-01	4.937827e-03	4.937827e-03
2.000000e+00	2.100000e+00	1.789528e-01	5.047435e-03	5.047435e-03
2.100000e+00	2.200000e+00	1.840779e-01	5.119203e-03	5.119203e-03
2.200000e+00	2.300000e+00	2.075681e-01	5.436031e-03	5.436031e-03
2.300000e+00	2.400000e+00	1.994533e-01	5.328712e-03	5.328712e-03
2.400000e+00	2.500000e+00	2.094189e-01	5.460212e-03	5.460212e-03
2.500000e+00	2.600000e+00	2.230859e-01	5.635567e-03	5.635567e-03
2.600000e+00	2.700000e+00	2.302042e-01	5.724772e-03	5.724772e-03
2.700000e+00	2.800000e+00	2.294923e-01	5.715914e-03	5.715914e-03
