# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	1.566015e-03	4.721712e-04	4.721712e-04
3.000000e-01	4.000000e-01	9.538453e-03	1.165308e-03	1.165308e-03
4.000000e-01	5.000000e-01	3.644543e-02	2.277840e-03	2.277840e-03
5.000000e-01	6.000000e-01	8.641553e-02	3.507498e-03	3.507498e-03
6.000000e-01	7.000000e-01	1.585946e-01	4.751664e-03	4.751664e-03
7.000000e-01	8.000000e-01	2.438712e-01	5.892258e-03	5.892258e-03
8.000000e-01	9.000000e-01	3.291478e-01	6.845372e-03	6.845372e-03
9.000000e-01	1.000000e+00	4.055978e-01	7.598876e-03	7.598876e-03
1.000000e+00	1.100000e+00	4.759261e-01	8.231355e-03	8.231355e-03
1.100000e+00	1.200000e+00	5.334415e-01	8.714550e-03	8.714550e-03
1.200000e+00	1.300000e+00	6.014920e-01	9.253723e-03	9.253723e-03
1.300000e+00	1.400000e+00	6.114575e-01	9.330066e-03	9.330066e-03
1.400000e+00	1.500000e+00	6.306768e-01	9.475562e-03	9.475562e-03
1.500000e+00	1.600000e+00	6.393611e-01	9.540578e-03	9.540578e-03
1.600000e+00	1.700000e+00	6.447709e-01	9.580855e-03	9.580855e-03
1.700000e+00	1.800000e+00	6.074713e-01	9.299604e-03	9.299604e-03
1.800000e+00	1.900000e+00	5.677515e-01	8.990435e-03	8.990435e-03
1.900000e+00	2.000000e+00	5.310213e-01	8.694759e-03	8.694759e-03
2.000000e+00	2.100000e+00	4.868882e-01	8.325612e-03	8.325612e-03
2.100000e+00	2.200000e+00	4.269525e-01	7.796350e-03	7.796350e-03
2.200000e+00	2.300000e+00	3.769824e-01	7.325919e-03	7.325919e-03
2.300000e+00	2.400000e+00	3.177586e-01	6.725897e-03	6.725897e-03
2.400000e+00	2.500000e+00	2.689274e-01	6.187555e-03	6.187555e-03
2.500000e+00	2.600000e+00	2.121238e-01	5.495362e-03	5.495362e-03
2.600000e+00	2.700000e+00	1.802340e-01	5.065472e-03	5.065472e-03
2.700000e+00	2.800000e+00	1.351044e-01	4.385673e-03	4.385673e-03
2.800000e+00	2.900000e+00	1.036417e-01	3.841217e-03	3.841217e-03
2.900000e+00	3.000000e+00	7.972438e-02	3.368970e-03	3.368970e-03
3.000000e+00	3.100000e+00	6.705390e-02	3.089681e-03	3.089681e-03
3.100000e+00	3.200000e+00	4.584152e-02	2.554648e-03	2.554648e-03
3.200000e+00	3.300000e+00	3.459469e-02	2.219250e-03	2.219250e-03
3.300000e+00	3.400000e+00	2.690698e-02	1.957195e-03	1.957195e-03
3.400000e+00	3.500000e+00	2.135475e-02	1.743608e-03	1.743608e-03
3.500000e+00	3.600000e+00	1.452123e-02	1.437816e-03	1.437816e-03
3.600000e+00	3.700000e+00	1.267048e-02	1.343069e-03	1.343069e-03
3.700000e+00	3.800000e+00	1.195866e-02	1.304797e-03	1.304797e-03
3.800000e+00	3.900000e+00	8.826628e-03	1.120983e-03	1.120983e-03
3.900000e+00	4.000000e+00	7.260613e-03	1.016689e-03	1.016689e-03
4.000000e+00	4.100000e+00	5.125139e-03	8.541898e-04	8.541898e-04
4.100000e+00	4.200000e+00	4.840409e-03	8.301232e-04	8.301232e-04
4.200000e+00	4.300000e+00	2.989664e-03	6.523983e-04	6.523983e-04
4.300000e+00	4.400000e+00	4.413314e-03	7.926546e-04	7.926546e-04
4.400000e+00	4.500000e+00	2.704934e-03	6.205545e-04	6.205545e-04
4.500000e+00	4.600000e+00	3.132029e-03	6.677509e-04	6.677509e-04
4.600000e+00	4.700000e+00	1.423650e-03	4.501975e-04	4.501975e-04
4.700000e+00	4.800000e+00	1.281285e-03	4.270950e-04	4.270950e-04
4.800000e+00	4.900000e+00	1.566015e-03	4.721712e-04	4.721712e-04
4.900000e+00	5.000000e+00	1.423650e-03	4.501975e-04	4.501975e-04
5.000000e+00	5.100000e+00	9.965548e-04	3.766623e-04	3.766623e-04
5.100000e+00	5.200000e+00	7.118248e-04	3.183377e-04	3.183377e-04
5.200000e+00	5.300000e+00	1.423650e-03	4.501975e-04	4.501975e-04
5.300000e+00	5.400000e+00	4.270949e-04	2.465834e-04	2.465834e-04
5.400000e+00	5.500000e+00	1.281285e-03	4.270950e-04	4.270950e-04
5.500000e+00	5.600000e+00	5.694599e-04	2.847299e-04	2.847299e-04
5.600000e+00	5.700000e+00	5.694599e-04	2.847299e-04	2.847299e-04
5.700000e+00	5.800000e+00	1.423650e-04	1.423650e-04	1.423650e-04
5.800000e+00	5.900000e+00	1.423650e-04	1.423650e-04	1.423650e-04
5.900000e+00	6.000000e+00	2.847299e-04	2.013345e-04	2.013345e-04
6.000000e+00	6.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e+00	6.200000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.200000e+00	6.300000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.300000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.500000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.500000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.700000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.700000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	6.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
