# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.679907e-02	1.546479e-03	1.546479e-03
1.000000e-01	2.000000e-01	1.050653e-01	3.867508e-03	3.867508e-03
2.000000e-01	3.000000e-01	3.627459e-01	7.186258e-03	7.186258e-03
3.000000e-01	4.000000e-01	4.512969e-01	8.015539e-03	8.015539e-03
4.000000e-01	5.000000e-01	4.635403e-01	8.123540e-03	8.123540e-03
5.000000e-01	6.000000e-01	4.602659e-01	8.094797e-03	8.094797e-03
6.000000e-01	7.000000e-01	4.602659e-01	8.094797e-03	8.094797e-03
7.000000e-01	8.000000e-01	4.453176e-01	7.962263e-03	7.962263e-03
8.000000e-01	9.000000e-01	4.118618e-01	7.657330e-03	7.657330e-03
9.000000e-01	1.000000e+00	4.038894e-01	7.582856e-03	7.582856e-03
1.000000e+00	1.100000e+00	3.839583e-01	7.393390e-03	7.393390e-03
1.100000e+00	1.200000e+00	3.727115e-01	7.284302e-03	7.284302e-03
1.200000e+00	1.300000e+00	3.470858e-01	7.029428e-03	7.029428e-03
1.300000e+00	1.400000e+00	3.371202e-01	6.927778e-03	6.927778e-03
1.400000e+00	1.500000e+00	3.297173e-01	6.851291e-03	6.851291e-03
1.500000e+00	1.600000e+00	3.100709e-01	6.644037e-03	6.644037e-03
1.600000e+00	1.700000e+00	2.860112e-01	6.381064e-03	6.381064e-03
1.700000e+00	1.800000e+00	2.855841e-01	6.376298e-03	6.376298e-03
1.800000e+00	1.900000e+00	2.764728e-01	6.273758e-03	6.273758e-03
1.900000e+00	2.000000e+00	2.612397e-01	6.098474e-03	6.098474e-03
2.000000e+00	2.100000e+00	2.494234e-01	5.958956e-03	5.958956e-03
2.100000e+00	2.200000e+00	2.434441e-01	5.887097e-03	5.887097e-03
2.200000e+00	2.300000e+00	2.173913e-01	5.563174e-03	5.563174e-03
2.300000e+00	2.400000e+00	2.135475e-01	5.513772e-03	5.513772e-03
2.400000e+00	2.500000e+00	1.884912e-01	5.180208e-03	5.180208e-03
2.500000e+00	2.600000e+00	1.812306e-01	5.079458e-03	5.079458e-03
2.600000e+00	2.700000e+00	1.761055e-01	5.007120e-03	5.007120e-03
2.700000e+00	2.800000e+00	1.681330e-01	4.892469e-03	4.892469e-03
2.800000e+00	2.900000e+00	1.507645e-01	4.632880e-03	4.632880e-03
2.900000e+00	3.000000e+00	1.388058e-01	4.445345e-03	4.445345e-03
3.000000e+00	3.100000e+00	1.332536e-01	4.355531e-03	4.355531e-03
3.100000e+00	3.200000e+00	1.131801e-01	4.014086e-03	4.014086e-03
3.200000e+00	3.300000e+00	1.208679e-01	4.148174e-03	4.148174e-03
3.300000e+00	3.400000e+00	1.009368e-01	3.790760e-03	3.790760e-03
3.400000e+00	3.500000e+00	9.680818e-02	3.712424e-03	3.712424e-03
3.500000e+00	3.600000e+00	8.869337e-02	3.553425e-03	3.553425e-03
3.600000e+00	3.700000e+00	7.915492e-02	3.356917e-03	3.356917e-03
3.700000e+00	3.800000e+00	7.516870e-02	3.271298e-03	3.271298e-03
3.800000e+00	3.900000e+00	6.975883e-02	3.151383e-03	3.151383e-03
3.900000e+00	4.000000e+00	5.879673e-02	2.893198e-03	2.893198e-03
4.000000e+00	4.100000e+00	5.438342e-02	2.782498e-03	2.782498e-03
4.100000e+00	4.200000e+00	4.171294e-02	2.436896e-03	2.436896e-03
4.200000e+00	4.300000e+00	3.772672e-02	2.317534e-03	2.317534e-03
4.300000e+00	4.400000e+00	3.046610e-02	2.082620e-03	2.082620e-03
