# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.417955e+00	4.492962e-02	4.492962e-02
1.000000e-02	2.000000e-02	2.737678e+00	6.242992e-02	6.242992e-02
2.000000e-02	3.000000e-02	3.139148e+00	6.685092e-02	6.685092e-02
3.000000e-02	4.000000e-02	3.006748e+00	6.542596e-02	6.542596e-02
4.000000e-02	5.000000e-02	2.739102e+00	6.244615e-02	6.244615e-02
5.000000e-02	6.000000e-02	2.649412e+00	6.141527e-02	6.141527e-02
6.000000e-02	7.000000e-02	2.581077e+00	6.061806e-02	6.061806e-02
7.000000e-02	8.000000e-02	2.420204e+00	5.869858e-02	5.869858e-02
8.000000e-02	9.000000e-02	2.182455e+00	5.574093e-02	5.574093e-02
9.000000e-02	1.000000e-01	2.212352e+00	5.612142e-02	5.612142e-02
1.000000e-01	1.100000e-01	2.094189e+00	5.460212e-02	5.460212e-02
1.100000e-01	1.200000e-01	2.089918e+00	5.454641e-02	5.454641e-02
1.200000e-01	1.300000e-01	1.977449e+00	5.305841e-02	5.305841e-02
1.300000e-01	1.400000e-01	1.910538e+00	5.215302e-02	5.215302e-02
1.400000e-01	1.500000e-01	1.780986e+00	5.035375e-02	5.035375e-02
1.500000e-01	1.600000e-01	1.734005e+00	4.968517e-02	4.968517e-02
1.600000e-01	1.700000e-01	1.716921e+00	4.943981e-02	4.943981e-02
1.700000e-01	1.800000e-01	1.661399e+00	4.863384e-02	4.863384e-02
1.800000e-01	1.900000e-01	1.543236e+00	4.687247e-02	4.687247e-02
1.900000e-01	2.000000e-01	1.484867e+00	4.597749e-02	4.597749e-02
2.000000e-01	2.100000e-01	1.479172e+00	4.588925e-02	4.588925e-02
2.100000e-01	2.200000e-01	1.437886e+00	4.524429e-02	4.524429e-02
2.200000e-01	2.300000e-01	1.390906e+00	4.449901e-02	4.449901e-02
2.300000e-01	2.400000e-01	1.429344e+00	4.510970e-02	4.510970e-02
2.400000e-01	2.500000e-01	1.361009e+00	4.401818e-02	4.401818e-02
2.500000e-01	2.600000e-01	1.346773e+00	4.378735e-02	4.378735e-02
2.600000e-01	2.700000e-01	1.309758e+00	4.318143e-02	4.318143e-02
