# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.342131e-01	2.486297e-02	2.486297e-02
1.000000e-02	2.000000e-02	8.598844e-01	3.498820e-02	3.498820e-02
2.000000e-02	3.000000e-02	1.608724e+00	4.785666e-02	4.785666e-02
3.000000e-02	4.000000e-02	2.488540e+00	5.952150e-02	5.952150e-02
4.000000e-02	5.000000e-02	3.342729e+00	6.898461e-02	6.898461e-02
5.000000e-02	6.000000e-02	3.939239e+00	7.488722e-02	7.488722e-02
6.000000e-02	7.000000e-02	4.189801e+00	7.723218e-02	7.723218e-02
7.000000e-02	8.000000e-02	4.223969e+00	7.754644e-02	7.754644e-02
8.000000e-02	9.000000e-02	3.973406e+00	7.521129e-02	7.521129e-02
9.000000e-02	1.000000e-01	3.895105e+00	7.446654e-02	7.446654e-02
1.000000e-01	1.100000e-01	3.681558e+00	7.239647e-02	7.239647e-02
1.100000e-01	1.200000e-01	3.462316e+00	7.020773e-02	7.020773e-02
1.200000e-01	1.300000e-01	3.214601e+00	6.764958e-02	6.764958e-02
1.300000e-01	1.400000e-01	2.993935e+00	6.528641e-02	6.528641e-02
1.400000e-01	1.500000e-01	2.837334e+00	6.355603e-02	6.355603e-02
1.500000e-01	1.600000e-01	2.626634e+00	6.115068e-02	6.115068e-02
1.600000e-01	1.700000e-01	2.517013e+00	5.986104e-02	5.986104e-02
1.700000e-01	1.800000e-01	2.374648e+00	5.814349e-02	5.814349e-02
1.800000e-01	1.900000e-01	2.122662e+00	5.497206e-02	5.497206e-02
1.900000e-01	2.000000e-01	2.030124e+00	5.376045e-02	5.376045e-02
2.000000e-01	2.100000e-01	1.940434e+00	5.255948e-02	5.255948e-02
2.100000e-01	2.200000e-01	1.790951e+00	5.049443e-02	5.049443e-02
2.200000e-01	2.300000e-01	1.718345e+00	4.946031e-02	4.946031e-02
2.300000e-01	2.400000e-01	1.738276e+00	4.974632e-02	4.974632e-02
2.400000e-01	2.500000e-01	1.600182e+00	4.772944e-02	4.772944e-02
2.500000e-01	2.600000e-01	1.521881e+00	4.654703e-02	4.654703e-02
2.600000e-01	2.700000e-01	1.437886e+00	4.524429e-02	4.524429e-02
2.700000e-01	2.800000e-01	1.329689e+00	4.350875e-02	4.350875e-02
