# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.996896e+01	2.385410e-01	2.385410e-01
1.000000e-02	2.000000e-02	1.282281e+01	1.351118e-01	1.351118e-01
2.000000e-02	3.000000e-02	7.619373e+00	1.041505e-01	1.041505e-01
3.000000e-02	4.000000e-02	5.596367e+00	8.925954e-02	8.925954e-02
4.000000e-02	5.000000e-02	4.303693e+00	7.827484e-02	7.827484e-02
5.000000e-02	6.000000e-02	3.502178e+00	7.061073e-02	7.061073e-02
6.000000e-02	7.000000e-02	2.897127e+00	6.422222e-02	6.422222e-02
7.000000e-02	8.000000e-02	2.498505e+00	5.964056e-02	5.964056e-02
8.000000e-02	9.000000e-02	2.084223e+00	5.447205e-02	5.447205e-02
9.000000e-02	1.000000e-01	1.822272e+00	5.093404e-02	5.093404e-02
1.000000e-01	1.100000e-01	1.752513e+00	4.994961e-02	4.994961e-02
1.100000e-01	1.200000e-01	1.407990e+00	4.477146e-02	4.477146e-02
1.200000e-01	1.300000e-01	1.348196e+00	4.381049e-02	4.381049e-02
1.300000e-01	1.400000e-01	1.242846e+00	4.206398e-02	4.206398e-02
1.400000e-01	1.500000e-01	1.083397e+00	3.927312e-02	3.927312e-02
1.500000e-01	1.600000e-01	9.467270e-01	3.671250e-02	3.671250e-02
1.600000e-01	1.700000e-01	8.527662e-01	3.484308e-02	3.484308e-02
1.700000e-01	1.800000e-01	7.459924e-01	3.258883e-02	3.258883e-02
1.800000e-01	1.900000e-01	7.018593e-01	3.161015e-02	3.161015e-02
1.900000e-01	2.000000e-01	6.449133e-01	3.030067e-02	3.030067e-02
2.000000e-01	2.100000e-01	5.666126e-01	2.840172e-02	2.840172e-02
2.100000e-01	2.200000e-01	5.381396e-01	2.767891e-02	2.767891e-02
2.200000e-01	2.300000e-01	4.456023e-01	2.518693e-02	2.518693e-02
2.300000e-01	2.400000e-01	4.456023e-01	2.518693e-02	2.518693e-02
2.400000e-01	2.500000e-01	4.000456e-01	2.386472e-02	2.386472e-02
2.500000e-01	2.600000e-01	3.374050e-01	2.191681e-02	2.191681e-02
2.600000e-01	2.700000e-01	3.146266e-01	2.116407e-02	2.116407e-02
