# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.013923e+01	1.201446e-01	1.201446e-01
1.000000e-02	2.000000e-02	9.168304e-01	3.612817e-02	3.612817e-02
2.000000e-02	3.000000e-02	3.522109e+00	7.081137e-02	7.081137e-02
3.000000e-02	4.000000e-02	4.278067e+00	7.804146e-02	7.804146e-02
4.000000e-02	5.000000e-02	4.262407e+00	7.789849e-02	7.789849e-02
5.000000e-02	6.000000e-02	4.008997e+00	7.554739e-02	7.554739e-02
6.000000e-02	7.000000e-02	3.623188e+00	7.182027e-02	7.182027e-02
7.000000e-02	8.000000e-02	3.570513e+00	7.129628e-02	7.129628e-02
8.000000e-02	9.000000e-02	3.381168e+00	6.938011e-02	6.938011e-02
9.000000e-02	1.000000e-01	3.072236e+00	6.613462e-02	6.613462e-02
1.000000e-01	1.100000e-01	3.043763e+00	6.582744e-02	6.582744e-02
1.100000e-01	1.200000e-01	2.858689e+00	6.379476e-02	6.379476e-02
1.200000e-01	1.300000e-01	2.687851e+00	6.185918e-02	6.185918e-02
1.300000e-01	1.400000e-01	2.605279e+00	6.090159e-02	6.090159e-02
1.400000e-01	1.500000e-01	2.364682e+00	5.802137e-02	5.802137e-02
1.500000e-01	1.600000e-01	2.284958e+00	5.703489e-02	5.703489e-02
1.600000e-01	1.700000e-01	2.256485e+00	5.667843e-02	5.667843e-02
1.700000e-01	1.800000e-01	2.198115e+00	5.594056e-02	5.594056e-02
1.800000e-01	1.900000e-01	2.004499e+00	5.342007e-02	5.342007e-02
1.900000e-01	2.000000e-01	2.032972e+00	5.379814e-02	5.379814e-02
2.000000e-01	2.100000e-01	1.892030e+00	5.189979e-02	5.189979e-02
2.100000e-01	2.200000e-01	1.808035e+00	5.073469e-02	5.073469e-02
2.200000e-01	2.300000e-01	1.786680e+00	5.043418e-02	5.043418e-02
2.300000e-01	2.400000e-01	1.712651e+00	4.937827e-02	4.937827e-02
2.400000e-01	2.500000e-01	1.729734e+00	4.962395e-02	4.962395e-02
2.500000e-01	2.600000e-01	1.523305e+00	4.656880e-02	4.656880e-02
2.600000e-01	2.700000e-01	1.527576e+00	4.663403e-02	4.663403e-02
2.700000e-01	2.800000e-01	1.509069e+00	4.635067e-02	4.635067e-02
2.800000e-01	2.900000e-01	1.474901e+00	4.582294e-02	4.582294e-02
2.900000e-01	3.000000e-01	1.365280e+00	4.408719e-02	4.408719e-02
3.000000e-01	3.100000e-01	1.366704e+00	4.411017e-02	4.411017e-02
3.100000e-01	3.200000e-01	1.218644e+00	4.165239e-02	4.165239e-02
3.200000e-01	3.300000e-01	1.200137e+00	4.133490e-02	4.133490e-02
3.300000e-01	3.400000e-01	1.084821e+00	3.929892e-02	3.929892e-02
3.400000e-01	3.500000e-01	1.127531e+00	4.006505e-02	4.006505e-02
