# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	1.566015e-03	4.721712e-04	4.721712e-04
3.000000e-01	4.000000e-01	9.680818e-03	1.173971e-03	1.173971e-03
4.000000e-01	5.000000e-01	3.715726e-02	2.299977e-03	2.299977e-03
5.000000e-01	6.000000e-01	8.783918e-02	3.536272e-03	3.536272e-03
6.000000e-01	7.000000e-01	1.622961e-01	4.806794e-03	4.806794e-03
7.000000e-01	8.000000e-01	2.531249e-01	6.003009e-03	6.003009e-03
8.000000e-01	9.000000e-01	3.439538e-01	6.997640e-03	6.997640e-03
9.000000e-01	1.000000e+00	4.204037e-01	7.736328e-03	7.736328e-03
1.000000e+00	1.100000e+00	4.962843e-01	8.405563e-03	8.405563e-03
1.100000e+00	1.200000e+00	5.710259e-01	9.016323e-03	9.016323e-03
1.200000e+00	1.300000e+00	6.311039e-01	9.478770e-03	9.478770e-03
1.300000e+00	1.400000e+00	6.545941e-01	9.653563e-03	9.653563e-03
1.400000e+00	1.500000e+00	6.678341e-01	9.750701e-03	9.750701e-03
1.500000e+00	1.600000e+00	6.802198e-01	9.840705e-03	9.840705e-03
1.600000e+00	1.700000e+00	6.688306e-01	9.757974e-03	9.757974e-03
1.700000e+00	1.800000e+00	6.433473e-01	9.570272e-03	9.570272e-03
1.800000e+00	1.900000e+00	5.856895e-01	9.131356e-03	9.131356e-03
1.900000e+00	2.000000e+00	5.311637e-01	8.695924e-03	8.695924e-03
2.000000e+00	2.100000e+00	4.737906e-01	8.212867e-03	8.212867e-03
2.100000e+00	2.200000e+00	3.994761e-01	7.541313e-03	7.541313e-03
2.200000e+00	2.300000e+00	3.570513e-01	7.129628e-03	7.129628e-03
2.300000e+00	2.400000e+00	2.961191e-01	6.492841e-03	6.492841e-03
2.400000e+00	2.500000e+00	2.349022e-01	5.782892e-03	5.782892e-03
2.500000e+00	2.600000e+00	1.812306e-01	5.079458e-03	5.079458e-03
2.600000e+00	2.700000e+00	1.456394e-01	4.553454e-03	4.553454e-03
2.700000e+00	2.800000e+00	1.030722e-01	3.830650e-03	3.830650e-03
2.800000e+00	2.900000e+00	8.926283e-02	3.564814e-03	3.564814e-03
2.900000e+00	3.000000e+00	6.121694e-02	2.952143e-03	2.952143e-03
3.000000e+00	3.100000e+00	4.698044e-02	2.586188e-03	2.586188e-03
3.100000e+00	3.200000e+00	3.630307e-02	2.273386e-03	2.273386e-03
3.200000e+00	3.300000e+00	2.847299e-02	2.013345e-03	2.013345e-03
3.300000e+00	3.400000e+00	1.793799e-02	1.598043e-03	1.598043e-03
3.400000e+00	3.500000e+00	1.352467e-02	1.387602e-03	1.387602e-03
3.500000e+00	3.600000e+00	1.124683e-02	1.265368e-03	1.265368e-03
3.600000e+00	3.700000e+00	8.541898e-03	1.102754e-03	1.102754e-03
3.700000e+00	3.800000e+00	7.118248e-03	1.006672e-03	1.006672e-03
3.800000e+00	3.900000e+00	6.691153e-03	9.760050e-04	9.760050e-04
3.900000e+00	4.000000e+00	4.698044e-03	8.178245e-04	8.178245e-04
4.000000e+00	4.100000e+00	4.413314e-03	7.926546e-04	7.926546e-04
4.100000e+00	4.200000e+00	3.132029e-03	6.677509e-04	6.677509e-04
4.200000e+00	4.300000e+00	2.704934e-03	6.205545e-04	6.205545e-04
4.300000e+00	4.400000e+00	2.135475e-03	5.513772e-04	5.513772e-04
4.400000e+00	4.500000e+00	1.850745e-03	5.133042e-04	5.133042e-04
4.500000e+00	4.600000e+00	1.993110e-03	5.326810e-04	5.326810e-04
4.600000e+00	4.700000e+00	8.541898e-04	3.487215e-04	3.487215e-04
4.700000e+00	4.800000e+00	1.138920e-03	4.026690e-04	4.026690e-04
4.800000e+00	4.900000e+00	9.965548e-04	3.766623e-04	3.766623e-04
4.900000e+00	5.000000e+00	1.281285e-03	4.270950e-04	4.270950e-04
5.000000e+00	5.100000e+00	5.694599e-04	2.847299e-04	2.847299e-04
5.100000e+00	5.200000e+00	4.270949e-04	2.465834e-04	2.465834e-04
5.200000e+00	5.300000e+00	8.541898e-04	3.487215e-04	3.487215e-04
5.300000e+00	5.400000e+00	2.847299e-04	2.013345e-04	2.013345e-04
5.400000e+00	5.500000e+00	7.118248e-04	3.183377e-04	3.183377e-04
5.500000e+00	5.600000e+00	1.423650e-04	1.423650e-04	1.423650e-04
5.600000e+00	5.700000e+00	2.847299e-04	2.013345e-04	2.013345e-04
5.700000e+00	5.800000e+00	1.423650e-04	1.423650e-04	1.423650e-04
5.800000e+00	5.900000e+00	4.270949e-04	2.465834e-04	2.465834e-04
5.900000e+00	6.000000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.000000e+00	6.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e+00	6.200000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.200000e+00	6.300000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.300000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.500000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.500000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.700000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.700000e+00	6.800000e+00	1.423650e-04	1.423650e-04	1.423650e-04
6.800000e+00	6.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
