# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	2.847299e-04	2.013345e-04	2.013345e-04
2.000000e-01	3.000000e-01	5.694599e-04	2.847299e-04	2.847299e-04
3.000000e-01	4.000000e-01	8.541898e-04	3.487215e-04	3.487215e-04
4.000000e-01	5.000000e-01	2.562569e-03	6.040034e-04	6.040034e-04
5.000000e-01	6.000000e-01	4.128584e-03	7.666588e-04	7.666588e-04
6.000000e-01	7.000000e-01	9.680818e-03	1.173971e-03	1.173971e-03
7.000000e-01	8.000000e-01	2.035819e-02	1.702437e-03	1.702437e-03
8.000000e-01	9.000000e-01	2.932718e-02	2.043322e-03	2.043322e-03
9.000000e-01	1.000000e+00	3.957746e-02	2.373698e-03	2.373698e-03
1.000000e+00	1.100000e+00	4.826172e-02	2.621217e-03	2.621217e-03
1.100000e+00	1.200000e+00	6.349478e-02	3.006565e-03	3.006565e-03
1.200000e+00	1.300000e+00	6.961647e-02	3.148165e-03	3.148165e-03
1.300000e+00	1.400000e+00	7.943965e-02	3.362948e-03	3.362948e-03
1.400000e+00	1.500000e+00	9.011702e-02	3.581831e-03	3.581831e-03
1.500000e+00	1.600000e+00	1.020757e-01	3.812086e-03	3.812086e-03
1.600000e+00	1.700000e+00	1.026451e-01	3.822705e-03	3.822705e-03
1.700000e+00	1.800000e+00	1.083397e-01	3.927312e-03	3.927312e-03
1.800000e+00	1.900000e+00	1.118989e-01	3.991301e-03	3.991301e-03
1.900000e+00	2.000000e+00	1.217220e-01	4.162807e-03	4.162807e-03
2.000000e+00	2.100000e+00	1.214373e-01	4.157935e-03	4.157935e-03
2.100000e+00	2.200000e+00	1.211526e-01	4.153057e-03	4.153057e-03
2.200000e+00	2.300000e+00	1.329689e-01	4.350875e-03	4.350875e-03
2.300000e+00	2.400000e+00	1.271319e-01	4.254307e-03	4.254307e-03
2.400000e+00	2.500000e+00	1.345349e-01	4.376421e-03	4.376421e-03
2.500000e+00	2.600000e+00	1.417955e-01	4.492962e-03	4.492962e-03
2.600000e+00	2.700000e+00	1.382364e-01	4.436217e-03	4.436217e-03
2.700000e+00	2.800000e+00	1.494832e-01	4.613152e-03	4.613152e-03
