# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_1
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.637197e-02	1.526694e-03	1.526694e-03
1.000000e-01	2.000000e-01	1.034993e-01	3.838578e-03	3.838578e-03
2.000000e-01	3.000000e-01	3.695795e-01	7.253632e-03	7.253632e-03
3.000000e-01	4.000000e-01	4.821901e-01	8.285347e-03	8.285347e-03
4.000000e-01	5.000000e-01	5.197745e-01	8.602190e-03	8.602190e-03
5.000000e-01	6.000000e-01	5.361465e-01	8.736617e-03	8.736617e-03
6.000000e-01	7.000000e-01	5.503830e-01	8.851850e-03	8.851850e-03
7.000000e-01	8.000000e-01	5.576436e-01	8.910045e-03	8.910045e-03
8.000000e-01	9.000000e-01	5.314484e-01	8.698255e-03	8.698255e-03
9.000000e-01	1.000000e+00	5.247573e-01	8.643324e-03	8.643324e-03
1.000000e+00	1.100000e+00	5.179237e-01	8.586862e-03	8.586862e-03
1.100000e+00	1.200000e+00	5.160730e-01	8.571506e-03	8.571506e-03
1.200000e+00	1.300000e+00	4.914439e-01	8.364472e-03	8.364472e-03
1.300000e+00	1.400000e+00	4.729364e-01	8.205460e-03	8.205460e-03
1.400000e+00	1.500000e+00	4.494462e-01	7.999087e-03	7.999087e-03
1.500000e+00	1.600000e+00	4.273796e-01	7.800249e-03	7.800249e-03
1.600000e+00	1.700000e+00	4.054554e-01	7.597542e-03	7.597542e-03
1.700000e+00	1.800000e+00	3.782637e-01	7.338358e-03	7.338358e-03
1.800000e+00	1.900000e+00	3.591868e-01	7.150917e-03	7.150917e-03
1.900000e+00	2.000000e+00	3.188975e-01	6.737940e-03	6.737940e-03
2.000000e+00	2.100000e+00	2.559722e-01	6.036678e-03	6.036678e-03
2.100000e+00	2.200000e+00	2.326244e-01	5.754786e-03	5.754786e-03
2.200000e+00	2.300000e+00	1.960366e-01	5.282872e-03	5.282872e-03
2.300000e+00	2.400000e+00	1.692719e-01	4.909011e-03	4.909011e-03
2.400000e+00	2.500000e+00	1.329689e-01	4.350875e-03	4.350875e-03
2.500000e+00	2.600000e+00	1.094787e-01	3.947902e-03	3.947902e-03
2.600000e+00	2.700000e+00	7.844310e-02	3.341788e-03	3.341788e-03
2.700000e+00	2.800000e+00	6.634207e-02	3.073237e-03	3.073237e-03
2.800000e+00	2.900000e+00	4.826172e-02	2.621217e-03	2.621217e-03
2.900000e+00	3.000000e+00	4.043165e-02	2.399177e-03	2.399177e-03
3.000000e+00	3.100000e+00	2.676461e-02	1.952010e-03	1.952010e-03
3.100000e+00	3.200000e+00	2.277839e-02	1.800790e-03	1.800790e-03
3.200000e+00	3.300000e+00	1.907691e-02	1.647994e-03	1.647994e-03
3.300000e+00	3.400000e+00	1.352467e-02	1.387602e-03	1.387602e-03
3.400000e+00	3.500000e+00	9.965548e-03	1.191111e-03	1.191111e-03
3.500000e+00	3.600000e+00	9.253723e-03	1.147783e-03	1.147783e-03
3.600000e+00	3.700000e+00	6.121694e-03	9.335495e-04	9.335495e-04
3.700000e+00	3.800000e+00	5.409869e-03	8.775966e-04	8.775966e-04
3.800000e+00	3.900000e+00	3.986219e-03	7.533246e-04	7.533246e-04
3.900000e+00	4.000000e+00	3.274394e-03	6.827584e-04	6.827584e-04
4.000000e+00	4.100000e+00	2.420204e-03	5.869858e-04	5.869858e-04
4.100000e+00	4.200000e+00	2.277839e-03	5.694598e-04	5.694598e-04
4.200000e+00	4.300000e+00	9.965548e-04	3.766623e-04	3.766623e-04
4.300000e+00	4.400000e+00	1.566015e-03	4.721712e-04	4.721712e-04
4.400000e+00	4.500000e+00	1.281285e-03	4.270950e-04	4.270950e-04
4.500000e+00	4.600000e+00	9.965548e-04	3.766623e-04	3.766623e-04
4.600000e+00	4.700000e+00	1.138920e-03	4.026690e-04	4.026690e-04
4.700000e+00	4.800000e+00	5.694599e-04	2.847299e-04	2.847299e-04
4.800000e+00	4.900000e+00	8.541898e-04	3.487215e-04	3.487215e-04
4.900000e+00	5.000000e+00	2.847299e-04	2.013345e-04	2.013345e-04
5.000000e+00	5.100000e+00	4.270949e-04	2.465834e-04	2.465834e-04
5.100000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.300000e+00	4.270949e-04	2.465834e-04	2.465834e-04
5.300000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	5.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	6.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
