# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.936619e+00	9.193294e-02	9.193294e-02
1.000000e-02	2.000000e-02	7.037100e+00	1.000918e-01	1.000918e-01
2.000000e-02	3.000000e-02	5.623416e+00	8.947500e-02	8.947500e-02
3.000000e-02	4.000000e-02	4.532901e+00	8.033220e-02	8.033220e-02
4.000000e-02	5.000000e-02	3.803992e+00	7.359043e-02	7.359043e-02
5.000000e-02	6.000000e-02	3.319951e+00	6.874916e-02	6.874916e-02
6.000000e-02	7.000000e-02	2.961191e+00	6.492841e-02	6.492841e-02
7.000000e-02	8.000000e-02	2.716324e+00	6.218596e-02	6.218596e-02
8.000000e-02	9.000000e-02	2.350446e+00	5.784644e-02	5.784644e-02
9.000000e-02	1.000000e-01	2.353293e+00	5.788147e-02	5.788147e-02
1.000000e-01	1.100000e-01	2.135475e+00	5.513772e-02	5.513772e-02
1.100000e-01	1.200000e-01	2.037243e+00	5.385462e-02	5.385462e-02
1.200000e-01	1.300000e-01	1.886336e+00	5.182163e-02	5.182163e-02
1.300000e-01	1.400000e-01	1.842203e+00	5.121182e-02	5.121182e-02
1.400000e-01	1.500000e-01	1.786680e+00	5.043418e-02	5.043418e-02
1.500000e-01	1.600000e-01	1.635773e+00	4.825731e-02	4.825731e-02
1.600000e-01	1.700000e-01	1.574557e+00	4.734572e-02	4.734572e-02
1.700000e-01	1.800000e-01	1.540389e+00	4.682920e-02	4.682920e-02
1.800000e-01	1.900000e-01	1.359585e+00	4.399515e-02	4.399515e-02
1.900000e-01	2.000000e-01	1.331112e+00	4.353203e-02	4.353203e-02
2.000000e-01	2.100000e-01	1.301216e+00	4.304039e-02	4.304039e-02
2.100000e-01	2.200000e-01	1.222915e+00	4.172533e-02	4.172533e-02
2.200000e-01	2.300000e-01	1.183053e+00	4.103965e-02	4.103965e-02
2.300000e-01	2.400000e-01	1.241423e+00	4.203987e-02	4.203987e-02
2.400000e-01	2.500000e-01	1.123260e+00	3.998910e-02	3.998910e-02
2.500000e-01	2.600000e-01	1.096210e+00	3.950467e-02	3.950467e-02
2.600000e-01	2.700000e-01	1.126107e+00	4.003976e-02	4.003976e-02
2.700000e-01	2.800000e-01	9.994021e-01	3.771999e-02	3.771999e-02
2.800000e-01	2.900000e-01	1.044959e+00	3.857013e-02	3.857013e-02
2.900000e-01	3.000000e-01	9.794710e-01	3.734199e-02	3.734199e-02
3.000000e-01	3.100000e-01	9.638108e-01	3.704226e-02	3.704226e-02
3.100000e-01	3.200000e-01	9.282196e-01	3.635189e-02	3.635189e-02
3.200000e-01	3.300000e-01	8.926283e-01	3.564814e-02	3.564814e-02
3.300000e-01	3.400000e-01	9.267959e-01	3.632400e-02	3.632400e-02
3.400000e-01	3.500000e-01	8.755445e-01	3.530537e-02	3.530537e-02
3.500000e-01	3.600000e-01	8.314114e-01	3.440405e-02	3.440405e-02
3.600000e-01	3.700000e-01	8.399533e-01	3.458033e-02	3.458033e-02
3.700000e-01	3.800000e-01	8.185986e-01	3.413793e-02	3.413793e-02
3.800000e-01	3.900000e-01	7.630762e-01	3.295987e-02	3.295987e-02
3.900000e-01	4.000000e-01	7.445688e-01	3.255772e-02	3.255772e-02
4.000000e-01	4.100000e-01	7.331796e-01	3.230775e-02	3.230775e-02
4.100000e-01	4.200000e-01	7.317559e-01	3.227637e-02	3.227637e-02
4.200000e-01	4.300000e-01	7.175194e-01	3.196085e-02	3.196085e-02
4.300000e-01	4.400000e-01	7.160958e-01	3.192914e-02	3.192914e-02
4.400000e-01	4.500000e-01	6.520315e-01	3.046743e-02	3.046743e-02
