# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
ScaledBy=1.42364966828962723e-05
Title=gluon-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.975883e-02	9.965548e-03	9.965548e-03
1.000000e-02	2.000000e-02	7.545343e-02	1.036433e-02	1.036433e-02
2.000000e-02	3.000000e-02	1.423650e-01	1.423650e-02	1.423650e-02
3.000000e-02	4.000000e-02	2.263603e-01	1.795154e-02	1.795154e-02
4.000000e-02	5.000000e-02	3.103556e-01	2.101994e-02	2.101994e-02
5.000000e-02	6.000000e-02	4.199767e-01	2.445199e-02	2.445199e-02
6.000000e-02	7.000000e-02	5.481051e-01	2.793402e-02	2.793402e-02
7.000000e-02	8.000000e-02	7.815837e-01	3.335717e-02	3.335717e-02
8.000000e-02	9.000000e-02	9.054412e-01	3.590308e-02	3.590308e-02
9.000000e-02	1.000000e-01	1.247117e+00	4.213618e-02	4.213618e-02
1.000000e-01	1.100000e-01	1.365280e+00	4.408719e-02	4.408719e-02
1.100000e-01	1.200000e-01	1.563167e+00	4.717418e-02	4.717418e-02
1.200000e-01	1.300000e-01	1.756784e+00	5.001045e-02	5.001045e-02
1.300000e-01	1.400000e-01	1.974602e+00	5.302020e-02	5.302020e-02
1.400000e-01	1.500000e-01	2.293500e+00	5.714140e-02	5.714140e-02
1.500000e-01	1.600000e-01	2.371800e+00	5.810863e-02	5.810863e-02
1.600000e-01	1.700000e-01	2.642294e+00	6.133271e-02	6.133271e-02
1.700000e-01	1.800000e-01	2.619515e+00	6.106777e-02	6.106777e-02
1.800000e-01	1.900000e-01	2.623786e+00	6.111753e-02	6.111753e-02
1.900000e-01	2.000000e-01	2.697816e+00	6.197374e-02	6.197374e-02
2.000000e-01	2.100000e-01	2.615244e+00	6.101796e-02	6.101796e-02
2.100000e-01	2.200000e-01	2.632328e+00	6.121693e-02	6.121693e-02
2.200000e-01	2.300000e-01	2.549757e+00	6.024915e-02	6.024915e-02
2.300000e-01	2.400000e-01	2.535520e+00	6.008071e-02	6.008071e-02
2.400000e-01	2.500000e-01	2.420204e+00	5.869858e-02	5.869858e-02
2.500000e-01	2.600000e-01	2.361835e+00	5.798642e-02	5.798642e-02
2.600000e-01	2.700000e-01	2.263603e+00	5.676775e-02	5.676775e-02
