# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_2
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.844589e+01	1.683306e-01	1.683306e-01
1.000000e-02	2.000000e-02	9.445570e+00	6.767064e-02	6.767064e-02
2.000000e-02	3.000000e-02	5.620412e+00	5.219997e-02	5.219997e-02
3.000000e-02	4.000000e-02	4.093258e+00	4.454723e-02	4.454723e-02
4.000000e-02	5.000000e-02	3.167269e+00	3.918580e-02	3.918580e-02
5.000000e-02	6.000000e-02	2.507442e+00	3.486596e-02	3.486596e-02
6.000000e-02	7.000000e-02	2.073051e+00	3.170233e-02	3.170233e-02
7.000000e-02	8.000000e-02	1.711382e+00	2.880446e-02	2.880446e-02
8.000000e-02	9.000000e-02	1.500974e+00	2.697571e-02	2.697571e-02
9.000000e-02	1.000000e-01	1.244994e+00	2.456800e-02	2.456800e-02
1.000000e-01	1.100000e-01	1.086461e+00	2.295056e-02	2.295056e-02
1.100000e-01	1.200000e-01	9.458660e-01	2.141416e-02	2.141416e-02
1.200000e-01	1.300000e-01	8.479342e-01	2.027530e-02	2.027530e-02
1.300000e-01	1.400000e-01	7.373973e-01	1.890763e-02	1.890763e-02
1.400000e-01	1.500000e-01	6.418896e-01	1.764072e-02	1.764072e-02
1.500000e-01	1.600000e-01	5.284439e-01	1.600610e-02	1.600610e-02
1.600000e-01	1.700000e-01	5.119603e-01	1.575449e-02	1.575449e-02
1.700000e-01	1.800000e-01	4.668729e-01	1.504477e-02	1.504477e-02
1.800000e-01	1.900000e-01	4.169374e-01	1.421745e-02	1.421745e-02
1.900000e-01	2.000000e-01	3.733044e-01	1.345296e-02	1.345296e-02
2.000000e-01	2.100000e-01	3.190056e-01	1.243613e-02	1.243613e-02
2.100000e-01	2.200000e-01	3.030068e-01	1.212027e-02	1.212027e-02
2.200000e-01	2.300000e-01	2.802207e-01	1.165564e-02	1.165564e-02
2.300000e-01	2.400000e-01	2.516168e-01	1.104475e-02	1.104475e-02
2.400000e-01	2.500000e-01	2.273763e-01	1.049926e-02	1.049926e-02
2.500000e-01	2.600000e-01	2.176801e-01	1.027296e-02	1.027296e-02
2.600000e-01	2.700000e-01	1.919851e-01	9.647615e-03	9.647615e-03
