# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.337758e+00	3.366558e-02	3.366558e-02
1.000000e-02	2.000000e-02	3.407736e+00	4.064612e-02	4.064612e-02
2.000000e-02	3.000000e-02	4.581948e+00	4.713150e-02	4.713150e-02
3.000000e-02	4.000000e-02	5.415822e+00	5.124110e-02	5.124110e-02
4.000000e-02	5.000000e-02	5.826457e+00	5.314819e-02	5.314819e-02
5.000000e-02	6.000000e-02	5.910329e+00	5.352936e-02	5.352936e-02
6.000000e-02	7.000000e-02	5.742100e+00	5.276204e-02	5.276204e-02
7.000000e-02	8.000000e-02	5.281045e+00	5.059949e-02	5.059949e-02
8.000000e-02	9.000000e-02	4.895135e+00	4.871565e-02	4.871565e-02
9.000000e-02	1.000000e-01	4.568858e+00	4.706413e-02	4.706413e-02
1.000000e-01	1.100000e-01	4.205734e+00	4.515513e-02	4.515513e-02
1.100000e-01	1.200000e-01	3.783464e+00	4.282832e-02	4.282832e-02
1.200000e-01	1.300000e-01	3.492578e+00	4.114900e-02	4.114900e-02
1.300000e-01	1.400000e-01	3.219144e+00	3.950539e-02	3.950539e-02
1.400000e-01	1.500000e-01	2.892866e+00	3.744987e-02	3.744987e-02
1.500000e-01	1.600000e-01	2.679065e+00	3.603942e-02	3.603942e-02
1.600000e-01	1.700000e-01	2.508411e+00	3.487270e-02	3.487270e-02
1.700000e-01	1.800000e-01	2.280550e+00	3.325111e-02	3.325111e-02
1.800000e-01	1.900000e-01	2.100201e+00	3.190925e-02	3.190925e-02
1.900000e-01	2.000000e-01	1.924214e+00	3.054309e-02	3.054309e-02
2.000000e-01	2.100000e-01	1.771984e+00	2.931002e-02	2.931002e-02
2.100000e-01	2.200000e-01	1.658538e+00	2.835626e-02	2.835626e-02
2.200000e-01	2.300000e-01	1.492248e+00	2.689717e-02	2.689717e-02
2.300000e-01	2.400000e-01	1.388983e+00	2.594984e-02	2.594984e-02
2.400000e-01	2.500000e-01	1.323534e+00	2.533108e-02	2.533108e-02
2.500000e-01	2.600000e-01	1.205725e+00	2.417744e-02	2.417744e-02
2.600000e-01	2.700000e-01	1.153850e+00	2.365162e-02	2.365162e-02
