# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	3.393676e-04	1.282689e-04	1.282689e-04
3.000000e-01	4.000000e-01	8.726596e-04	2.056878e-04	2.056878e-04
4.000000e-01	5.000000e-01	1.212027e-03	2.424054e-04	2.424054e-04
5.000000e-01	6.000000e-01	2.181649e-03	3.252210e-04	3.252210e-04
6.000000e-01	7.000000e-01	4.460260e-03	4.650143e-04	4.650143e-04
7.000000e-01	8.000000e-01	1.047191e-02	7.125235e-04	7.125235e-04
8.000000e-01	9.000000e-01	1.963484e-02	9.756631e-04	9.756631e-04
9.000000e-01	1.000000e+00	2.394966e-02	1.077546e-03	1.077546e-03
1.000000e+00	1.100000e+00	3.097941e-02	1.225527e-03	1.225527e-03
1.100000e+00	1.200000e+00	3.815462e-02	1.360065e-03	1.360065e-03
1.200000e+00	1.300000e+00	4.528134e-02	1.481650e-03	1.481650e-03
1.300000e+00	1.400000e+00	5.231109e-02	1.592513e-03	1.592513e-03
1.400000e+00	1.500000e+00	5.817731e-02	1.679434e-03	1.679434e-03
1.500000e+00	1.600000e+00	6.394655e-02	1.760738e-03	1.760738e-03
1.600000e+00	1.700000e+00	7.160657e-02	1.863213e-03	1.863213e-03
1.700000e+00	1.800000e+00	8.072101e-02	1.978242e-03	1.978242e-03
1.800000e+00	1.900000e+00	7.931506e-02	1.960939e-03	1.960939e-03
1.900000e+00	2.000000e+00	9.032027e-02	2.092564e-03	2.092564e-03
2.000000e+00	2.100000e+00	9.788332e-02	2.178415e-03	2.178415e-03
2.100000e+00	2.200000e+00	1.012770e-01	2.215856e-03	2.215856e-03
2.200000e+00	2.300000e+00	1.040889e-01	2.246407e-03	2.246407e-03
2.300000e+00	2.400000e+00	1.055918e-01	2.262566e-03	2.262566e-03
2.400000e+00	2.500000e+00	1.069493e-01	2.277063e-03	2.277063e-03
2.500000e+00	2.600000e+00	1.026345e-01	2.230657e-03	2.230657e-03
2.600000e+00	2.700000e+00	1.069978e-01	2.277579e-03	2.277579e-03
2.700000e+00	2.800000e+00	1.052524e-01	2.258927e-03	2.258927e-03
2.800000e+00	2.900000e+00	1.042343e-01	2.247976e-03	2.247976e-03
2.900000e+00	3.000000e+00	1.050100e-01	2.256325e-03	2.256325e-03
3.000000e+00	3.100000e+00	1.070462e-01	2.278095e-03	2.278095e-03
3.100000e+00	3.200000e+00	1.047676e-01	2.253719e-03	2.253719e-03
3.200000e+00	3.300000e+00	1.122822e-01	2.333144e-03	2.333144e-03
3.300000e+00	3.400000e+00	1.128155e-01	2.338679e-03	2.338679e-03
3.400000e+00	3.500000e+00	1.072886e-01	2.280673e-03	2.280673e-03
3.500000e+00	3.600000e+00	1.115550e-01	2.325577e-03	2.325577e-03
3.600000e+00	3.700000e+00	1.116519e-01	2.326587e-03	2.326587e-03
3.700000e+00	3.800000e+00	1.097127e-01	2.306294e-03	2.306294e-03
3.800000e+00	3.900000e+00	1.131549e-01	2.342194e-03	2.342194e-03
3.900000e+00	4.000000e+00	1.121852e-01	2.332137e-03	2.332137e-03
4.000000e+00	4.100000e+00	1.175666e-01	2.387417e-03	2.387417e-03
4.100000e+00	4.200000e+00	1.141730e-01	2.352707e-03	2.352707e-03
4.200000e+00	4.300000e+00	1.149002e-01	2.360188e-03	2.360188e-03
4.300000e+00	4.400000e+00	1.194089e-01	2.406049e-03	2.406049e-03
4.400000e+00	4.500000e+00	1.220754e-01	2.432765e-03	2.432765e-03
4.500000e+00	4.600000e+00	1.148517e-01	2.359690e-03	2.359690e-03
4.600000e+00	4.700000e+00	1.196028e-01	2.408002e-03	2.408002e-03
4.700000e+00	4.800000e+00	1.225602e-01	2.437591e-03	2.437591e-03
4.800000e+00	4.900000e+00	1.260508e-01	2.472060e-03	2.472060e-03
4.900000e+00	5.000000e+00	1.231904e-01	2.443851e-03	2.443851e-03
5.000000e+00	5.100000e+00	1.255660e-01	2.467302e-03	2.467302e-03
5.100000e+00	5.200000e+00	1.264387e-01	2.475860e-03	2.475860e-03
5.200000e+00	5.300000e+00	1.278446e-01	2.489588e-03	2.489588e-03
5.300000e+00	5.400000e+00	1.257599e-01	2.469206e-03	2.469206e-03
5.400000e+00	5.500000e+00	1.257115e-01	2.468730e-03	2.468730e-03
5.500000e+00	5.600000e+00	1.322564e-01	2.532180e-03	2.532180e-03
5.600000e+00	5.700000e+00	1.317716e-01	2.527534e-03	2.527534e-03
5.700000e+00	5.800000e+00	1.295415e-01	2.506055e-03	2.506055e-03
5.800000e+00	5.900000e+00	1.291536e-01	2.502301e-03	2.502301e-03
5.900000e+00	6.000000e+00	1.305111e-01	2.515416e-03	2.515416e-03
6.000000e+00	6.100000e+00	1.301232e-01	2.511676e-03	2.511676e-03
6.100000e+00	6.200000e+00	1.374924e-01	2.581817e-03	2.581817e-03
6.200000e+00	6.300000e+00	1.276022e-01	2.487226e-03	2.487226e-03
6.300000e+00	6.400000e+00	1.357955e-01	2.565836e-03	2.565836e-03
6.400000e+00	6.500000e+00	1.328867e-01	2.538206e-03	2.538206e-03
6.500000e+00	6.600000e+00	1.369106e-01	2.576349e-03	2.576349e-03
6.600000e+00	6.700000e+00	1.347774e-01	2.556200e-03	2.556200e-03
6.700000e+00	6.800000e+00	1.351653e-01	2.559875e-03	2.559875e-03
6.800000e+00	6.900000e+00	1.350198e-01	2.558497e-03	2.558497e-03
6.900000e+00	7.000000e+00	1.345350e-01	2.553900e-03	2.553900e-03
7.000000e+00	7.100000e+00	1.373469e-01	2.580451e-03	2.580451e-03
7.100000e+00	7.200000e+00	1.278446e-01	2.489588e-03	2.489588e-03
7.200000e+00	7.300000e+00	1.294445e-01	2.505117e-03	2.505117e-03
7.300000e+00	7.400000e+00	1.329351e-01	2.538669e-03	2.538669e-03
7.400000e+00	7.500000e+00	1.308020e-01	2.518218e-03	2.518218e-03
7.500000e+00	7.600000e+00	1.311413e-01	2.521483e-03	2.521483e-03
7.600000e+00	7.700000e+00	1.272144e-01	2.483443e-03	2.483443e-03
7.700000e+00	7.800000e+00	1.271174e-01	2.482497e-03	2.482497e-03
7.800000e+00	7.900000e+00	1.259054e-01	2.470634e-03	2.470634e-03
7.900000e+00	8.000000e+00	1.183423e-01	2.395280e-03	2.395280e-03
8.000000e+00	8.100000e+00	1.236268e-01	2.448175e-03	2.448175e-03
8.100000e+00	8.200000e+00	1.151426e-01	2.362676e-03	2.362676e-03
8.200000e+00	8.300000e+00	1.128640e-01	2.339181e-03	2.339181e-03
8.300000e+00	8.400000e+00	1.088400e-01	2.297103e-03	2.297103e-03
8.400000e+00	8.500000e+00	1.055433e-01	2.262047e-03	2.262047e-03
8.500000e+00	8.600000e+00	1.010346e-01	2.213203e-03	2.213203e-03
8.600000e+00	8.700000e+00	9.327761e-02	2.126546e-03	2.126546e-03
8.700000e+00	8.800000e+00	8.721748e-02	2.056307e-03	2.056307e-03
8.800000e+00	8.900000e+00	8.687811e-02	2.052302e-03	2.052302e-03
8.900000e+00	9.000000e+00	8.241785e-02	1.998926e-03	1.998926e-03
9.000000e+00	9.100000e+00	7.737582e-02	1.936818e-03	1.936818e-03
9.100000e+00	9.200000e+00	7.330340e-02	1.885160e-03	1.885160e-03
9.200000e+00	9.300000e+00	6.540099e-02	1.780649e-03	1.780649e-03
9.300000e+00	9.400000e+00	6.200731e-02	1.733834e-03	1.733834e-03
9.400000e+00	9.500000e+00	5.730465e-02	1.666791e-03	1.666791e-03
9.500000e+00	9.600000e+00	5.294135e-02	1.602078e-03	1.602078e-03
9.600000e+00	9.700000e+00	5.129299e-02	1.576940e-03	1.576940e-03
9.700000e+00	9.800000e+00	4.804476e-02	1.526192e-03	1.526192e-03
9.800000e+00	9.900000e+00	4.343905e-02	1.451197e-03	1.451197e-03
9.900000e+00	1.000000e+01	3.805765e-02	1.358336e-03	1.358336e-03
1.000000e+01	1.010000e+01	3.670018e-02	1.333891e-03	1.333891e-03
1.010000e+01	1.020000e+01	3.330651e-02	1.270723e-03	1.270723e-03
1.020000e+01	1.030000e+01	3.112486e-02	1.228400e-03	1.228400e-03
1.030000e+01	1.040000e+01	3.117334e-02	1.229356e-03	1.229356e-03
1.040000e+01	1.050000e+01	2.501624e-02	1.101279e-03	1.101279e-03
1.050000e+01	1.060000e+01	2.394966e-02	1.077546e-03	1.077546e-03
1.060000e+01	1.070000e+01	2.341637e-02	1.065482e-03	1.065482e-03
1.070000e+01	1.080000e+01	1.808345e-02	9.363253e-04	9.363253e-04
1.080000e+01	1.090000e+01	1.881066e-02	9.549666e-04	9.549666e-04
1.090000e+01	1.100000e+01	1.769560e-02	9.262299e-04	9.262299e-04
1.100000e+01	1.110000e+01	1.483521e-02	8.480726e-04	8.480726e-04
1.110000e+01	1.120000e+01	1.401103e-02	8.241785e-04	8.241785e-04
1.120000e+01	1.130000e+01	1.468977e-02	8.439052e-04	8.439052e-04
1.130000e+01	1.140000e+01	1.158698e-02	7.494994e-04	7.494994e-04
1.140000e+01	1.150000e+01	8.775077e-03	6.522463e-04	6.522463e-04
1.150000e+01	1.160000e+01	8.872039e-03	6.558400e-04	6.558400e-04
1.160000e+01	1.170000e+01	7.756974e-03	6.132426e-04	6.132426e-04
1.170000e+01	1.180000e+01	4.751147e-03	4.799383e-04	4.799383e-04
1.180000e+01	1.190000e+01	5.575325e-03	5.199017e-04	5.199017e-04
1.190000e+01	1.200000e+01	3.248233e-03	3.968349e-04	3.968349e-04
1.200000e+01	1.210000e+01	4.023930e-03	4.416837e-04	4.416837e-04
1.210000e+01	1.220000e+01	2.617979e-03	3.562618e-04	3.562618e-04
1.220000e+01	1.230000e+01	1.502914e-03	2.699313e-04	2.699313e-04
1.230000e+01	1.240000e+01	1.890762e-03	3.027643e-04	3.027643e-04
1.240000e+01	1.250000e+01	1.551395e-03	2.742505e-04	2.742505e-04
