# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	6.787352e-04	1.813996e-04	1.813996e-04
3.000000e-01	4.000000e-01	3.733044e-03	4.254198e-04	4.254198e-04
4.000000e-01	5.000000e-01	1.289597e-02	7.907026e-04	7.907026e-04
5.000000e-01	6.000000e-01	3.151271e-02	1.236030e-03	1.236030e-03
6.000000e-01	7.000000e-01	6.239516e-02	1.739248e-03	1.739248e-03
7.000000e-01	8.000000e-01	9.783483e-02	2.177875e-03	2.177875e-03
8.000000e-01	9.000000e-01	1.376863e-01	2.583637e-03	2.583637e-03
9.000000e-01	1.000000e+00	1.617814e-01	2.800596e-03	2.800596e-03
1.000000e+00	1.100000e+00	1.976574e-01	3.095585e-03	3.095585e-03
1.100000e+00	1.200000e+00	2.290247e-01	3.332170e-03	3.332170e-03
1.200000e+00	1.300000e+00	2.598101e-01	3.549067e-03	3.549067e-03
1.300000e+00	1.400000e+00	2.855536e-01	3.720746e-03	3.720746e-03
1.400000e+00	1.500000e+00	3.025705e-01	3.830007e-03	3.830007e-03
1.500000e+00	1.600000e+00	3.258899e-01	3.974858e-03	3.974858e-03
1.600000e+00	1.700000e+00	3.464943e-01	4.098588e-03	4.098588e-03
1.700000e+00	1.800000e+00	3.723832e-01	4.248946e-03	4.248946e-03
1.800000e+00	1.900000e+00	3.892547e-01	4.344133e-03	4.344133e-03
1.900000e+00	2.000000e+00	3.972056e-01	4.388275e-03	4.388275e-03
2.000000e+00	2.100000e+00	4.130589e-01	4.474991e-03	4.474991e-03
2.100000e+00	2.200000e+00	4.243550e-01	4.535768e-03	4.535768e-03
2.200000e+00	2.300000e+00	4.342936e-01	4.588576e-03	4.588576e-03
2.300000e+00	2.400000e+00	4.295424e-01	4.563407e-03	4.563407e-03
2.400000e+00	2.500000e+00	4.175191e-01	4.499087e-03	4.499087e-03
2.500000e+00	2.600000e+00	4.114105e-01	4.466053e-03	4.466053e-03
2.600000e+00	2.700000e+00	3.958966e-01	4.381039e-03	4.381039e-03
2.700000e+00	2.800000e+00	3.778131e-01	4.279812e-03	4.279812e-03
2.800000e+00	2.900000e+00	3.554149e-01	4.151012e-03	4.151012e-03
2.900000e+00	3.000000e+00	3.283139e-01	3.989614e-03	3.989614e-03
3.000000e+00	3.100000e+00	2.980617e-01	3.801363e-03	3.801363e-03
3.100000e+00	3.200000e+00	2.651431e-01	3.585306e-03	3.585306e-03
3.200000e+00	3.300000e+00	2.377028e-01	3.394715e-03	3.394715e-03
3.300000e+00	3.400000e+00	2.087596e-01	3.181335e-03	3.181335e-03
3.400000e+00	3.500000e+00	1.842281e-01	2.988575e-03	2.988575e-03
3.500000e+00	3.600000e+00	1.568363e-01	2.757462e-03	2.757462e-03
3.600000e+00	3.700000e+00	1.368621e-01	2.575893e-03	2.575893e-03
3.700000e+00	3.800000e+00	1.182454e-01	2.394298e-03	2.394298e-03
3.800000e+00	3.900000e+00	9.977408e-02	2.199354e-03	2.199354e-03
3.900000e+00	4.000000e+00	8.804165e-02	2.066000e-03	2.066000e-03
4.000000e+00	4.100000e+00	7.243074e-02	1.873905e-03	1.873905e-03
4.100000e+00	4.200000e+00	6.215275e-02	1.735867e-03	1.735867e-03
4.200000e+00	4.300000e+00	5.589869e-02	1.646217e-03	1.646217e-03
4.300000e+00	4.400000e+00	4.736602e-02	1.515373e-03	1.515373e-03
4.400000e+00	4.500000e+00	4.125741e-02	1.414286e-03	1.414286e-03
4.500000e+00	4.600000e+00	3.534271e-02	1.308989e-03	1.308989e-03
4.600000e+00	4.700000e+00	2.952498e-02	1.196413e-03	1.196413e-03
4.700000e+00	4.800000e+00	2.574346e-02	1.117171e-03	1.117171e-03
4.800000e+00	4.900000e+00	2.356181e-02	1.068785e-03	1.068785e-03
4.900000e+00	5.000000e+00	1.774408e-02	9.274978e-04	9.274978e-04
5.000000e+00	5.100000e+00	1.687142e-02	9.044030e-04	9.044030e-04
5.100000e+00	5.200000e+00	1.696838e-02	9.069981e-04	9.069981e-04
5.200000e+00	5.300000e+00	1.483521e-02	8.480726e-04	8.480726e-04
5.300000e+00	5.400000e+00	1.376863e-02	8.170178e-04	8.170178e-04
5.400000e+00	5.500000e+00	1.081128e-02	7.239770e-04	7.239770e-04
5.500000e+00	5.600000e+00	9.356850e-03	6.735208e-04	6.735208e-04
5.600000e+00	5.700000e+00	1.037495e-02	7.092172e-04	7.092172e-04
5.700000e+00	5.800000e+00	7.950898e-03	6.208609e-04	6.208609e-04
5.800000e+00	5.900000e+00	6.205579e-03	5.485009e-04	5.485009e-04
5.900000e+00	6.000000e+00	4.023930e-03	4.416837e-04	4.416837e-04
6.000000e+00	6.100000e+00	3.054309e-03	3.848067e-04	3.848067e-04
6.100000e+00	6.200000e+00	2.375573e-03	3.393676e-04	3.393676e-04
6.200000e+00	6.300000e+00	1.842281e-03	2.988575e-04	2.988575e-04
6.300000e+00	6.400000e+00	1.551395e-03	2.742505e-04	2.742505e-04
6.400000e+00	6.500000e+00	1.454433e-03	2.655419e-04	2.655419e-04
6.500000e+00	6.600000e+00	8.241785e-04	1.998926e-04	1.998926e-04
6.600000e+00	6.700000e+00	4.363298e-04	1.454433e-04	1.454433e-04
6.700000e+00	6.800000e+00	3.878487e-04	1.371252e-04	1.371252e-04
6.800000e+00	6.900000e+00	8.241785e-04	1.998926e-04	1.998926e-04
6.900000e+00	7.000000e+00	4.848109e-04	1.533107e-04	1.533107e-04
7.000000e+00	7.100000e+00	1.939244e-04	9.696217e-05	9.696217e-05
7.100000e+00	7.200000e+00	2.908865e-04	1.187539e-04	1.187539e-04
7.200000e+00	7.300000e+00	1.939244e-04	9.696217e-05	9.696217e-05
7.300000e+00	7.400000e+00	1.939244e-04	9.696217e-05	9.696217e-05
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	1.454433e-04	8.397171e-05	8.397171e-05
7.600000e+00	7.700000e+00	9.696218e-05	6.856261e-05	6.856261e-05
7.700000e+00	7.800000e+00	4.848109e-05	4.848109e-05	4.848109e-05
7.800000e+00	7.900000e+00	4.848109e-05	4.848109e-05	4.848109e-05
7.900000e+00	8.000000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.200000e+00	8.300000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.300000e+00	8.400000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.400000e+00	8.500000e+00	9.696218e-05	6.856261e-05	6.856261e-05
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
