# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_1_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.205579e-03	5.485009e-04	5.485009e-04
1.000000e-01	2.000000e-01	4.639640e-02	1.499783e-03	1.499783e-03
2.000000e-01	3.000000e-01	1.682779e-01	2.856273e-03	2.856273e-03
3.000000e-01	4.000000e-01	2.275702e-01	3.321573e-03	3.321573e-03
4.000000e-01	5.000000e-01	2.351333e-01	3.376318e-03	3.376318e-03
5.000000e-01	6.000000e-01	2.361029e-01	3.383272e-03	3.383272e-03
6.000000e-01	7.000000e-01	2.448780e-01	3.445570e-03	3.445570e-03
7.000000e-01	8.000000e-01	2.537500e-01	3.507432e-03	3.507432e-03
8.000000e-01	9.000000e-01	2.516168e-01	3.492658e-03	3.492658e-03
9.000000e-01	1.000000e+00	2.546227e-01	3.513457e-03	3.513457e-03
1.000000e+00	1.100000e+00	2.636886e-01	3.575459e-03	3.575459e-03
1.100000e+00	1.200000e+00	2.665005e-01	3.594474e-03	3.594474e-03
1.200000e+00	1.300000e+00	2.729970e-01	3.638020e-03	3.638020e-03
1.300000e+00	1.400000e+00	2.835174e-01	3.707456e-03	3.707456e-03
1.400000e+00	1.500000e+00	2.948135e-01	3.780593e-03	3.780593e-03
1.500000e+00	1.600000e+00	2.970921e-01	3.795175e-03	3.795175e-03
1.600000e+00	1.700000e+00	3.048976e-01	3.844707e-03	3.844707e-03
1.700000e+00	1.800000e+00	3.169694e-01	3.920079e-03	3.920079e-03
1.800000e+00	1.900000e+00	3.235628e-01	3.960641e-03	3.960641e-03
1.900000e+00	2.000000e+00	3.364587e-01	4.038798e-03	4.038798e-03
2.000000e+00	2.100000e+00	3.511485e-01	4.126022e-03	4.126022e-03
2.100000e+00	2.200000e+00	3.642384e-01	4.202222e-03	4.202222e-03
2.200000e+00	2.300000e+00	3.675351e-01	4.221197e-03	4.221197e-03
2.300000e+00	2.400000e+00	3.684078e-01	4.226205e-03	4.226205e-03
2.400000e+00	2.500000e+00	3.641899e-01	4.201942e-03	4.201942e-03
2.500000e+00	2.600000e+00	3.499365e-01	4.118895e-03	4.118895e-03
2.600000e+00	2.700000e+00	3.226416e-01	3.954999e-03	3.954999e-03
2.700000e+00	2.800000e+00	2.981102e-01	3.801672e-03	3.801672e-03
