# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.693997e+01	1.142838e-01	1.142838e-01
1.000000e-02	2.000000e-02	1.228608e+01	7.717787e-02	7.717787e-02
2.000000e-02	3.000000e-02	6.686512e+00	5.693588e-02	5.693588e-02
3.000000e-02	4.000000e-02	4.552374e+00	4.697914e-02	4.697914e-02
4.000000e-02	5.000000e-02	3.397555e+00	4.058535e-02	4.058535e-02
5.000000e-02	6.000000e-02	2.821114e+00	3.698252e-02	3.698252e-02
6.000000e-02	7.000000e-02	2.339697e+00	3.367953e-02	3.367953e-02
7.000000e-02	8.000000e-02	2.045417e+00	3.149032e-02	3.149032e-02
8.000000e-02	9.000000e-02	1.813677e+00	2.965283e-02	2.965283e-02
9.000000e-02	1.000000e-01	1.627025e+00	2.808558e-02	2.808558e-02
1.000000e-01	1.100000e-01	1.457826e+00	2.658515e-02	2.658515e-02
1.100000e-01	1.200000e-01	1.359895e+00	2.567667e-02	2.567667e-02
1.200000e-01	1.300000e-01	1.158213e+00	2.369629e-02	2.369629e-02
1.300000e-01	1.400000e-01	1.140760e+00	2.351707e-02	2.351707e-02
1.400000e-01	1.500000e-01	1.060281e+00	2.267236e-02	2.267236e-02
1.500000e-01	1.600000e-01	9.696218e-01	2.168140e-02	2.168140e-02
1.600000e-01	1.700000e-01	9.221103e-01	2.114354e-02	2.114354e-02
1.700000e-01	1.800000e-01	8.392076e-01	2.017070e-02	2.017070e-02
1.800000e-01	1.900000e-01	8.411469e-01	2.019399e-02	2.019399e-02
1.900000e-01	2.000000e-01	7.708493e-01	1.933174e-02	1.933174e-02
2.000000e-01	2.100000e-01	7.238226e-01	1.873278e-02	1.873278e-02
2.100000e-01	2.200000e-01	7.349733e-01	1.887652e-02	1.887652e-02
2.200000e-01	2.300000e-01	7.000669e-01	1.842281e-02	1.842281e-02
2.300000e-01	2.400000e-01	6.622517e-01	1.791834e-02	1.791834e-02
2.400000e-01	2.500000e-01	6.161946e-01	1.728404e-02	1.728404e-02
2.500000e-01	2.600000e-01	5.924389e-01	1.694759e-02	1.694759e-02
2.600000e-01	2.700000e-01	6.011655e-01	1.707195e-02	1.707195e-02
2.700000e-01	2.800000e-01	5.856515e-01	1.685023e-02	1.685023e-02
2.800000e-01	2.900000e-01	5.633502e-01	1.652629e-02	1.652629e-02
2.900000e-01	3.000000e-01	5.274742e-01	1.599141e-02	1.599141e-02
3.000000e-01	3.100000e-01	5.279590e-01	1.599876e-02	1.599876e-02
3.100000e-01	3.200000e-01	4.891742e-01	1.539990e-02	1.539990e-02
3.200000e-01	3.300000e-01	4.794780e-01	1.524651e-02	1.524651e-02
3.300000e-01	3.400000e-01	4.969311e-01	1.552152e-02	1.552152e-02
3.400000e-01	3.500000e-01	4.692969e-01	1.508378e-02	1.508378e-02
3.500000e-01	3.600000e-01	4.828716e-01	1.530037e-02	1.530037e-02
3.600000e-01	3.700000e-01	4.348754e-01	1.452007e-02	1.452007e-02
3.700000e-01	3.800000e-01	4.586311e-01	1.491138e-02	1.491138e-02
3.800000e-01	3.900000e-01	4.339057e-01	1.450387e-02	1.450387e-02
3.900000e-01	4.000000e-01	4.280880e-01	1.440631e-02	1.440631e-02
4.000000e-01	4.100000e-01	4.358450e-01	1.453624e-02	1.453624e-02
4.100000e-01	4.200000e-01	4.237247e-01	1.433270e-02	1.433270e-02
4.200000e-01	4.300000e-01	4.159677e-01	1.420090e-02	1.420090e-02
4.300000e-01	4.400000e-01	4.116044e-01	1.412623e-02	1.412623e-02
4.400000e-01	4.500000e-01	3.689411e-01	1.337410e-02	1.337410e-02
4.500000e-01	4.600000e-01	3.762132e-01	1.350527e-02	1.350527e-02
4.600000e-01	4.700000e-01	4.019082e-01	1.395885e-02	1.395885e-02
4.700000e-01	4.800000e-01	4.077259e-01	1.405952e-02	1.405952e-02
4.800000e-01	4.900000e-01	3.689411e-01	1.337410e-02	1.337410e-02
4.900000e-01	5.000000e-01	3.820310e-01	1.360929e-02	1.360929e-02
5.000000e-01	5.100000e-01	3.670018e-01	1.333891e-02	1.333891e-02
5.100000e-01	5.200000e-01	3.573056e-01	1.316152e-02	1.316152e-02
5.200000e-01	5.300000e-01	3.660322e-01	1.332128e-02	1.332128e-02
5.300000e-01	5.400000e-01	3.510031e-01	1.304493e-02	1.304493e-02
5.400000e-01	5.500000e-01	3.427613e-01	1.289086e-02	1.289086e-02
5.500000e-01	5.600000e-01	3.519727e-01	1.306293e-02	1.306293e-02
5.600000e-01	5.700000e-01	3.447005e-01	1.292728e-02	1.292728e-02
5.700000e-01	5.800000e-01	3.301562e-01	1.265161e-02	1.265161e-02
5.800000e-01	5.900000e-01	3.190056e-01	1.243613e-02	1.243613e-02
5.900000e-01	6.000000e-01	3.151271e-01	1.236030e-02	1.236030e-02
6.000000e-01	6.100000e-01	3.257929e-01	1.256773e-02	1.256773e-02
6.100000e-01	6.200000e-01	3.354891e-01	1.275338e-02	1.275338e-02
6.200000e-01	6.300000e-01	3.238537e-01	1.253028e-02	1.253028e-02
6.300000e-01	6.400000e-01	3.185207e-01	1.242668e-02	1.242668e-02
6.400000e-01	6.500000e-01	3.102790e-01	1.226485e-02	1.226485e-02
6.500000e-01	6.600000e-01	3.160967e-01	1.237930e-02	1.237930e-02
6.600000e-01	6.700000e-01	3.039764e-01	1.213965e-02	1.213965e-02
6.700000e-01	6.800000e-01	3.374284e-01	1.279019e-02	1.279019e-02
6.800000e-01	6.900000e-01	3.107638e-01	1.227443e-02	1.227443e-02
6.900000e-01	7.000000e-01	2.986435e-01	1.203269e-02	1.203269e-02
7.000000e-01	7.100000e-01	2.952498e-01	1.196413e-02	1.196413e-02
7.100000e-01	7.200000e-01	2.773118e-01	1.159499e-02	1.159499e-02
7.200000e-01	7.300000e-01	2.651915e-01	1.133877e-02	1.133877e-02
7.300000e-01	7.400000e-01	2.865232e-01	1.178599e-02	1.178599e-02
7.400000e-01	7.500000e-01	2.588890e-01	1.120322e-02	1.120322e-02
7.500000e-01	7.600000e-01	2.453143e-01	1.090555e-02	1.090555e-02
7.600000e-01	7.700000e-01	2.351333e-01	1.067685e-02	1.067685e-02
7.700000e-01	7.800000e-01	2.399814e-01	1.078636e-02	1.078636e-02
7.800000e-01	7.900000e-01	2.176801e-01	1.027296e-02	1.027296e-02
7.900000e-01	8.000000e-01	1.919851e-01	9.647615e-03	9.647615e-03
8.000000e-01	8.100000e-01	1.595028e-01	8.793673e-03	8.793673e-03
8.100000e-01	8.200000e-01	1.376863e-01	8.170178e-03	8.170178e-03
8.200000e-01	8.300000e-01	1.134457e-01	7.416180e-03	7.416180e-03
8.300000e-01	8.400000e-01	8.241785e-02	6.321160e-03	6.321160e-03
8.400000e-01	8.500000e-01	7.029758e-02	5.837896e-03	5.837896e-03
8.500000e-01	8.600000e-01	5.769249e-02	5.288662e-03	5.288662e-03
8.600000e-01	8.700000e-01	4.508741e-02	4.675347e-03	4.675347e-03
8.700000e-01	8.800000e-01	3.296714e-02	3.997853e-03	3.997853e-03
8.800000e-01	8.900000e-01	2.811903e-02	3.692209e-03	3.692209e-03
8.900000e-01	9.000000e-01	1.745319e-02	2.908865e-03	2.908865e-03
9.000000e-01	9.100000e-01	1.745319e-02	2.908865e-03	2.908865e-03
9.100000e-01	9.200000e-01	1.502914e-02	2.699313e-03	2.699313e-03
9.200000e-01	9.300000e-01	9.696218e-03	2.168140e-03	2.168140e-03
9.300000e-01	9.400000e-01	1.115065e-02	2.325071e-03	2.325071e-03
9.400000e-01	9.500000e-01	7.272163e-03	1.877665e-03	1.877665e-03
9.500000e-01	9.600000e-01	3.878487e-03	1.371252e-03	1.371252e-03
9.600000e-01	9.700000e-01	5.332920e-03	1.607936e-03	1.607936e-03
9.700000e-01	9.800000e-01	1.939244e-03	9.696217e-04	9.696217e-04
9.800000e-01	9.900000e-01	5.817731e-03	1.679434e-03	1.679434e-03
9.900000e-01	1.000000e+00	1.454433e-03	8.397171e-04	8.397171e-04
# END HISTO1D

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=blue
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=1.14905547639840050e-05
Title=quark-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.357885e+01	1.964280e-01	1.964280e-01
1.000000e-02	2.000000e-02	1.091258e+01	1.119784e-01	1.119784e-01
2.000000e-02	3.000000e-02	6.057820e+00	8.343124e-02	8.343124e-02
3.000000e-02	4.000000e-02	4.200947e+00	6.947749e-02	6.947749e-02
4.000000e-02	5.000000e-02	3.077171e+00	5.946293e-02	5.946293e-02
5.000000e-02	6.000000e-02	2.480811e+00	5.339091e-02	5.339091e-02
6.000000e-02	7.000000e-02	2.168268e+00	4.991453e-02	4.991453e-02
7.000000e-02	8.000000e-02	1.817806e+00	4.570295e-02	4.570295e-02
8.000000e-02	9.000000e-02	1.615572e+00	4.308575e-02	4.308575e-02
9.000000e-02	1.000000e-01	1.544331e+00	4.212506e-02	4.212506e-02
1.000000e-01	1.100000e-01	1.266259e+00	3.814449e-02	3.814449e-02
1.100000e-01	1.200000e-01	1.178931e+00	3.680567e-02	3.680567e-02
1.200000e-01	1.300000e-01	1.104242e+00	3.562072e-02	3.562072e-02
1.300000e-01	1.400000e-01	1.049088e+00	3.471974e-02	3.471974e-02
1.400000e-01	1.500000e-01	9.640575e-01	3.328297e-02	3.328297e-02
1.500000e-01	1.600000e-01	9.123500e-01	3.237809e-02	3.237809e-02
1.600000e-01	1.700000e-01	8.652388e-01	3.153105e-02	3.153105e-02
1.700000e-01	1.800000e-01	8.169784e-01	3.063909e-02	3.063909e-02
1.800000e-01	1.900000e-01	8.181275e-01	3.066062e-02	3.066062e-02
1.900000e-01	2.000000e-01	6.974767e-01	2.830971e-02	2.830971e-02
2.000000e-01	2.100000e-01	7.158616e-01	2.868039e-02	2.868039e-02
2.100000e-01	2.200000e-01	6.239371e-01	2.677571e-02	2.677571e-02
2.200000e-01	2.300000e-01	6.158937e-01	2.660256e-02	2.660256e-02
2.300000e-01	2.400000e-01	6.009560e-01	2.627797e-02	2.627797e-02
2.400000e-01	2.500000e-01	5.653353e-01	2.548728e-02	2.548728e-02
2.500000e-01	2.600000e-01	6.089994e-01	2.645324e-02	2.645324e-02
2.600000e-01	2.700000e-01	5.676334e-01	2.553903e-02	2.553903e-02
2.700000e-01	2.800000e-01	5.262674e-01	2.459086e-02	2.459086e-02
2.800000e-01	2.900000e-01	4.837524e-01	2.357665e-02	2.357665e-02
2.900000e-01	3.000000e-01	5.331617e-01	2.475141e-02	2.475141e-02
3.000000e-01	3.100000e-01	5.021372e-01	2.402048e-02	2.402048e-02
3.100000e-01	3.200000e-01	4.423864e-01	2.254610e-02	2.254610e-02
3.200000e-01	3.300000e-01	4.619203e-01	2.303849e-02	2.303849e-02
3.300000e-01	3.400000e-01	4.780071e-01	2.343623e-02	2.343623e-02
3.400000e-01	3.500000e-01	4.159581e-01	2.186227e-02	2.186227e-02
3.500000e-01	3.600000e-01	4.148090e-01	2.183205e-02	2.183205e-02
3.600000e-01	3.700000e-01	4.067656e-01	2.161935e-02	2.161935e-02
3.700000e-01	3.800000e-01	4.125109e-01	2.177149e-02	2.177149e-02
3.800000e-01	3.900000e-01	3.849336e-01	2.103117e-02	2.103117e-02
3.900000e-01	4.000000e-01	3.688468e-01	2.058702e-02	2.058702e-02
4.000000e-01	4.100000e-01	3.665487e-01	2.052279e-02	2.052279e-02
4.100000e-01	4.200000e-01	3.653996e-01	2.049060e-02	2.049060e-02
4.200000e-01	4.300000e-01	3.757411e-01	2.077853e-02	2.077853e-02
4.300000e-01	4.400000e-01	3.653996e-01	2.049060e-02	2.049060e-02
4.400000e-01	4.500000e-01	3.435676e-01	1.986903e-02	1.986903e-02
4.500000e-01	4.600000e-01	3.826355e-01	2.096830e-02	2.096830e-02
4.600000e-01	4.700000e-01	3.676978e-01	2.055493e-02	2.055493e-02
4.700000e-01	4.800000e-01	3.493129e-01	2.003447e-02	2.003447e-02
4.800000e-01	4.900000e-01	3.378223e-01	1.970220e-02	1.970220e-02
4.900000e-01	5.000000e-01	3.378223e-01	1.970220e-02	1.970220e-02
5.000000e-01	5.100000e-01	3.481638e-01	2.000149e-02	2.000149e-02
5.100000e-01	5.200000e-01	3.171393e-01	1.908954e-02	1.908954e-02
5.200000e-01	5.300000e-01	3.412695e-01	1.980246e-02	1.980246e-02
5.300000e-01	5.400000e-01	3.401204e-01	1.976910e-02	1.976910e-02
5.400000e-01	5.500000e-01	3.228846e-01	1.926168e-02	1.926168e-02
5.500000e-01	5.600000e-01	3.079469e-01	1.881085e-02	1.881085e-02
5.600000e-01	5.700000e-01	2.999035e-01	1.856356e-02	1.856356e-02
5.700000e-01	5.800000e-01	3.251827e-01	1.933011e-02	1.933011e-02
5.800000e-01	5.900000e-01	3.481638e-01	2.000149e-02	2.000149e-02
5.900000e-01	6.000000e-01	2.861148e-01	1.813179e-02	1.813179e-02
6.000000e-01	6.100000e-01	2.964563e-01	1.845656e-02	1.845656e-02
6.100000e-01	6.200000e-01	2.884129e-01	1.820446e-02	1.820446e-02
6.200000e-01	6.300000e-01	2.573884e-01	1.719749e-02	1.719749e-02
6.300000e-01	6.400000e-01	3.022016e-01	1.863455e-02	1.863455e-02
6.400000e-01	6.500000e-01	2.803695e-01	1.794882e-02	1.794882e-02
6.500000e-01	6.600000e-01	2.769224e-01	1.783814e-02	1.783814e-02
6.600000e-01	6.700000e-01	3.067978e-01	1.877572e-02	1.877572e-02
6.700000e-01	6.800000e-01	3.125431e-01	1.895071e-02	1.895071e-02
6.800000e-01	6.900000e-01	2.585375e-01	1.723583e-02	1.723583e-02
6.900000e-01	7.000000e-01	3.033506e-01	1.866994e-02	1.866994e-02
7.000000e-01	7.100000e-01	2.700280e-01	1.761469e-02	1.761469e-02
7.100000e-01	7.200000e-01	2.734752e-01	1.772677e-02	1.772677e-02
7.200000e-01	7.300000e-01	2.493450e-01	1.692664e-02	1.692664e-02
7.300000e-01	7.400000e-01	2.481960e-01	1.688760e-02	1.688760e-02
7.400000e-01	7.500000e-01	2.378545e-01	1.653203e-02	1.653203e-02
7.500000e-01	7.600000e-01	2.401526e-01	1.661170e-02	1.661170e-02
7.600000e-01	7.700000e-01	2.413017e-01	1.665140e-02	1.665140e-02
7.700000e-01	7.800000e-01	2.148734e-01	1.571310e-02	1.571310e-02
7.800000e-01	7.900000e-01	1.872960e-01	1.467016e-02	1.467016e-02
7.900000e-01	8.000000e-01	1.861470e-01	1.462509e-02	1.462509e-02
8.000000e-01	8.100000e-01	1.643149e-01	1.374071e-02	1.374071e-02
8.100000e-01	8.200000e-01	1.160546e-01	1.154787e-02	1.154787e-02
8.200000e-01	8.300000e-01	8.617916e-02	9.951113e-03	9.951113e-03
8.300000e-01	8.400000e-01	6.549616e-02	8.675178e-03	8.675178e-03
8.400000e-01	8.500000e-01	5.975088e-02	8.285957e-03	8.285957e-03
8.500000e-01	8.600000e-01	4.136600e-02	6.894333e-03	6.894333e-03
8.600000e-01	8.700000e-01	3.906789e-02	6.700087e-03	6.700087e-03
8.700000e-01	8.800000e-01	2.642828e-02	5.510677e-03	5.510677e-03
8.800000e-01	8.900000e-01	1.838489e-02	4.596222e-03	4.596222e-03
8.900000e-01	9.000000e-01	1.608678e-02	4.299372e-03	4.299372e-03
9.000000e-01	9.100000e-01	9.192444e-03	3.250020e-03	3.250020e-03
9.100000e-01	9.200000e-01	8.043388e-03	3.040115e-03	3.040115e-03
