# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.820959e+00	4.834515e-02	4.834515e-02
1.000000e-02	2.000000e-02	5.420670e+00	5.126402e-02	5.126402e-02
2.000000e-02	3.000000e-02	6.319510e+00	5.535131e-02	5.535131e-02
3.000000e-02	4.000000e-02	6.733538e+00	5.713574e-02	5.713574e-02
4.000000e-02	5.000000e-02	6.903707e+00	5.785319e-02	5.785319e-02
5.000000e-02	6.000000e-02	6.466892e+00	5.599304e-02	5.599304e-02
6.000000e-02	7.000000e-02	5.686347e+00	5.250527e-02	5.250527e-02
7.000000e-02	8.000000e-02	4.984341e+00	4.915753e-02	4.915753e-02
8.000000e-02	9.000000e-02	4.233369e+00	4.530323e-02	4.530323e-02
9.000000e-02	1.000000e-01	3.594873e+00	4.174725e-02	4.174725e-02
1.000000e-01	1.100000e-01	3.107153e+00	3.881214e-02	3.881214e-02
1.100000e-01	1.200000e-01	2.730940e+00	3.638666e-02	3.638666e-02
1.200000e-01	1.300000e-01	2.341637e+00	3.369349e-02	3.369349e-02
1.300000e-01	1.400000e-01	2.158378e+00	3.234818e-02	3.234818e-02
1.400000e-01	1.500000e-01	1.936335e+00	3.063913e-02	3.063913e-02
1.500000e-01	1.600000e-01	1.745319e+00	2.908865e-02	2.908865e-02
1.600000e-01	1.700000e-01	1.593089e+00	2.779112e-02	2.779112e-02
1.700000e-01	1.800000e-01	1.468977e+00	2.668663e-02	2.668663e-02
1.800000e-01	1.900000e-01	1.394801e+00	2.600413e-02	2.600413e-02
1.900000e-01	2.000000e-01	1.259054e+00	2.470634e-02	2.470634e-02
2.000000e-01	2.100000e-01	1.156759e+00	2.368141e-02	2.368141e-02
2.100000e-01	2.200000e-01	1.105854e+00	2.315448e-02	2.315448e-02
2.200000e-01	2.300000e-01	1.041374e+00	2.246930e-02	2.246930e-02
2.300000e-01	2.400000e-01	9.667129e-01	2.164885e-02	2.164885e-02
2.400000e-01	2.500000e-01	8.993242e-01	2.088066e-02	2.088066e-02
2.500000e-01	2.600000e-01	8.527823e-01	2.033318e-02	2.033318e-02
2.600000e-01	2.700000e-01	8.047861e-01	1.975270e-02	1.975270e-02
