# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.432946e+00	4.079619e-02	4.079619e-02
1.000000e-02	2.000000e-02	4.040414e+00	4.425875e-02	4.425875e-02
2.000000e-02	3.000000e-02	5.165175e+00	5.004131e-02	5.004131e-02
3.000000e-02	4.000000e-02	5.837608e+00	5.319902e-02	5.319902e-02
4.000000e-02	5.000000e-02	5.986929e+00	5.387512e-02	5.387512e-02
5.000000e-02	6.000000e-02	5.907421e+00	5.351618e-02	5.351618e-02
6.000000e-02	7.000000e-02	5.588900e+00	5.205342e-02	5.205342e-02
7.000000e-02	8.000000e-02	5.048820e+00	4.947447e-02	4.947447e-02
8.000000e-02	9.000000e-02	4.680849e+00	4.763745e-02	4.763745e-02
9.000000e-02	1.000000e-01	4.351662e+00	4.593183e-02	4.593183e-02
1.000000e-01	1.100000e-01	3.941028e+00	4.371102e-02	4.371102e-02
1.100000e-01	1.200000e-01	3.587600e+00	4.170501e-02	4.170501e-02
1.200000e-01	1.300000e-01	3.293805e+00	3.996089e-02	3.996089e-02
1.300000e-01	1.400000e-01	3.050430e+00	3.845623e-02	3.845623e-02
1.400000e-01	1.500000e-01	2.691670e+00	3.612411e-02	3.612411e-02
1.500000e-01	1.600000e-01	2.558832e+00	3.522143e-02	3.522143e-02
1.600000e-01	1.700000e-01	2.391572e+00	3.405084e-02	3.405084e-02
1.700000e-01	1.800000e-01	2.202981e+00	3.268071e-02	3.268071e-02
1.800000e-01	1.900000e-01	2.011480e+00	3.122799e-02	3.122799e-02
1.900000e-01	2.000000e-01	1.845675e+00	2.991326e-02	2.991326e-02
2.000000e-01	2.100000e-01	1.695384e+00	2.866950e-02	2.866950e-02
2.100000e-01	2.200000e-01	1.571272e+00	2.760018e-02	2.760018e-02
2.200000e-01	2.300000e-01	1.457341e+00	2.658073e-02	2.658073e-02
2.300000e-01	2.400000e-01	1.336624e+00	2.545603e-02	2.545603e-02
2.400000e-01	2.500000e-01	1.274568e+00	2.485808e-02	2.485808e-02
2.500000e-01	2.600000e-01	1.163546e+00	2.375079e-02	2.375079e-02
2.600000e-01	2.700000e-01	1.141730e+00	2.352707e-02	2.352707e-02
2.700000e-01	2.800000e-01	1.027314e+00	2.231710e-02	2.231710e-02
2.800000e-01	2.900000e-01	9.623496e-01	2.159994e-02	2.159994e-02
2.900000e-01	3.000000e-01	8.910824e-01	2.078476e-02	2.078476e-02
3.000000e-01	3.100000e-01	8.406621e-01	2.018817e-02	2.018817e-02
3.100000e-01	3.200000e-01	7.451543e-01	1.900681e-02	1.900681e-02
3.200000e-01	3.300000e-01	7.354581e-01	1.888275e-02	1.888275e-02
3.300000e-01	3.400000e-01	6.540099e-01	1.780649e-02	1.780649e-02
