# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	4.848109e-05	4.848109e-05	4.848109e-05
3.000000e-01	4.000000e-01	1.454433e-03	2.655419e-04	2.655419e-04
4.000000e-01	5.000000e-01	2.278611e-03	3.323695e-04	3.323695e-04
5.000000e-01	6.000000e-01	5.284439e-03	5.061574e-04	5.061574e-04
6.000000e-01	7.000000e-01	1.376863e-02	8.170178e-04	8.170178e-04
7.000000e-01	8.000000e-01	2.981587e-02	1.202292e-03	1.202292e-03
8.000000e-01	9.000000e-01	4.469956e-02	1.472102e-03	1.472102e-03
9.000000e-01	1.000000e+00	5.866212e-02	1.686417e-03	1.686417e-03
1.000000e+00	1.100000e+00	7.723037e-02	1.934997e-03	1.934997e-03
1.100000e+00	1.200000e+00	9.017482e-02	2.090879e-03	2.090879e-03
1.200000e+00	1.300000e+00	1.072402e-01	2.280158e-03	2.280158e-03
1.300000e+00	1.400000e+00	1.173727e-01	2.385447e-03	2.385447e-03
1.400000e+00	1.500000e+00	1.368621e-01	2.575893e-03	2.575893e-03
1.500000e+00	1.600000e+00	1.451039e-01	2.652319e-03	2.652319e-03
1.600000e+00	1.700000e+00	1.565454e-01	2.754903e-03	2.754903e-03
1.700000e+00	1.800000e+00	1.765196e-01	2.925383e-03	2.925383e-03
1.800000e+00	1.900000e+00	1.867976e-01	3.009344e-03	3.009344e-03
1.900000e+00	2.000000e+00	1.941183e-01	3.067746e-03	3.067746e-03
2.000000e+00	2.100000e+00	2.014389e-01	3.125056e-03	3.125056e-03
2.100000e+00	2.200000e+00	2.121048e-01	3.206723e-03	3.206723e-03
2.200000e+00	2.300000e+00	2.138016e-01	3.219523e-03	3.219523e-03
2.300000e+00	2.400000e+00	2.205405e-01	3.269868e-03	3.269868e-03
2.400000e+00	2.500000e+00	2.268430e-01	3.316263e-03	3.316263e-03
2.500000e+00	2.600000e+00	2.336788e-01	3.365858e-03	3.365858e-03
2.600000e+00	2.700000e+00	2.376058e-01	3.394023e-03	3.394023e-03
2.700000e+00	2.800000e+00	2.323214e-01	3.356068e-03	3.356068e-03
2.800000e+00	2.900000e+00	2.265521e-01	3.314135e-03	3.314135e-03
2.900000e+00	3.000000e+00	2.177286e-01	3.248957e-03	3.248957e-03
3.000000e+00	3.100000e+00	2.113775e-01	3.201220e-03	3.201220e-03
3.100000e+00	3.200000e+00	2.181649e-01	3.252210e-03	3.252210e-03
3.200000e+00	3.300000e+00	2.076930e-01	3.173197e-03	3.173197e-03
3.300000e+00	3.400000e+00	2.035236e-01	3.141185e-03	3.141185e-03
3.400000e+00	3.500000e+00	2.022146e-01	3.131068e-03	3.131068e-03
3.500000e+00	3.600000e+00	1.989664e-01	3.105818e-03	3.105818e-03
3.600000e+00	3.700000e+00	1.976574e-01	3.095585e-03	3.095585e-03
3.700000e+00	3.800000e+00	1.956212e-01	3.079599e-03	3.079599e-03
3.800000e+00	3.900000e+00	1.900459e-01	3.035396e-03	3.035396e-03
3.900000e+00	4.000000e+00	1.868461e-01	3.009735e-03	3.009735e-03
4.000000e+00	4.100000e+00	1.804951e-01	2.958141e-03	2.958141e-03
4.100000e+00	4.200000e+00	1.710898e-01	2.880038e-03	2.880038e-03
4.200000e+00	4.300000e+00	1.761318e-01	2.922167e-03	2.922167e-03
4.300000e+00	4.400000e+00	1.715261e-01	2.883708e-03	2.883708e-03
4.400000e+00	4.500000e+00	1.724472e-01	2.891441e-03	2.891441e-03
4.500000e+00	4.600000e+00	1.618299e-01	2.801016e-03	2.801016e-03
4.600000e+00	4.700000e+00	1.657084e-01	2.834382e-03	2.834382e-03
4.700000e+00	4.800000e+00	1.601815e-01	2.786714e-03	2.786714e-03
4.800000e+00	4.900000e+00	1.563030e-01	2.752770e-03	2.752770e-03
4.900000e+00	5.000000e+00	1.572242e-01	2.760869e-03	2.760869e-03
5.000000e+00	5.100000e+00	1.524730e-01	2.718834e-03	2.718834e-03
5.100000e+00	5.200000e+00	1.548971e-01	2.740361e-03	2.740361e-03
5.200000e+00	5.300000e+00	1.467038e-01	2.666900e-03	2.666900e-03
5.300000e+00	5.400000e+00	1.444252e-01	2.646108e-03	2.646108e-03
5.400000e+00	5.500000e+00	1.378802e-01	2.585456e-03	2.585456e-03
5.500000e+00	5.600000e+00	1.306565e-01	2.516818e-03	2.516818e-03
5.600000e+00	5.700000e+00	1.294445e-01	2.505117e-03	2.505117e-03
5.700000e+00	5.800000e+00	1.187302e-01	2.399202e-03	2.399202e-03
5.800000e+00	5.900000e+00	1.086946e-01	2.295568e-03	2.295568e-03
5.900000e+00	6.000000e+00	1.026345e-01	2.230657e-03	2.230657e-03
6.000000e+00	6.100000e+00	9.545926e-02	2.151271e-03	2.151271e-03
6.100000e+00	6.200000e+00	8.726596e-02	2.056878e-03	2.056878e-03
6.200000e+00	6.300000e+00	8.319355e-02	2.008311e-03	2.008311e-03
6.300000e+00	6.400000e+00	7.824848e-02	1.947709e-03	1.947709e-03
6.400000e+00	6.500000e+00	6.835833e-02	1.820463e-03	1.820463e-03
6.500000e+00	6.600000e+00	5.929237e-02	1.695452e-03	1.695452e-03
6.600000e+00	6.700000e+00	5.071122e-02	1.567972e-03	1.567972e-03
6.700000e+00	6.800000e+00	4.038475e-02	1.399248e-03	1.399248e-03
6.800000e+00	6.900000e+00	3.500335e-02	1.302690e-03	1.302690e-03
6.900000e+00	7.000000e+00	2.681004e-02	1.140079e-03	1.140079e-03
7.000000e+00	7.100000e+00	2.031358e-02	9.923831e-04	9.923831e-04
7.100000e+00	7.200000e+00	1.551395e-02	8.672561e-04	8.672561e-04
7.200000e+00	7.300000e+00	1.260508e-02	7.817340e-04	7.817340e-04
7.300000e+00	7.400000e+00	1.018103e-02	7.025577e-04	7.025577e-04
7.400000e+00	7.500000e+00	7.999379e-03	6.227508e-04	6.227508e-04
7.500000e+00	7.600000e+00	6.884314e-03	5.777189e-04	5.777189e-04
7.600000e+00	7.700000e+00	4.314817e-03	4.573697e-04	4.573697e-04
7.700000e+00	7.800000e+00	3.926968e-03	4.363298e-04	4.363298e-04
7.800000e+00	7.900000e+00	3.345195e-03	4.027142e-04	4.027142e-04
7.900000e+00	8.000000e+00	2.569498e-03	3.529476e-04	3.529476e-04
8.000000e+00	8.100000e+00	2.084687e-03	3.179118e-04	3.179118e-04
8.100000e+00	8.200000e+00	1.793800e-03	2.948989e-04	2.948989e-04
8.200000e+00	8.300000e+00	1.502914e-03	2.699313e-04	2.699313e-04
8.300000e+00	8.400000e+00	1.212027e-03	2.424054e-04	2.424054e-04
8.400000e+00	8.500000e+00	1.163546e-03	2.375079e-04	2.375079e-04
8.500000e+00	8.600000e+00	5.817731e-04	1.679434e-04	1.679434e-04
8.600000e+00	8.700000e+00	4.848109e-04	1.533107e-04	1.533107e-04
8.700000e+00	8.800000e+00	2.908865e-04	1.187539e-04	1.187539e-04
8.800000e+00	8.900000e+00	7.272163e-04	1.877665e-04	1.877665e-04
8.900000e+00	9.000000e+00	4.363298e-04	1.454433e-04	1.454433e-04
9.000000e+00	9.100000e+00	2.424054e-04	1.084070e-04	1.084070e-04
9.100000e+00	9.200000e+00	9.696218e-05	6.856261e-05	6.856261e-05
9.200000e+00	9.300000e+00	2.908865e-04	1.187539e-04	1.187539e-04
9.300000e+00	9.400000e+00	2.908865e-04	1.187539e-04	1.187539e-04
9.400000e+00	9.500000e+00	2.424054e-04	1.084070e-04	1.084070e-04
9.500000e+00	9.600000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.600000e+00	9.700000e+00	9.696218e-05	6.856261e-05	6.856261e-05
9.700000e+00	9.800000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	4.848109e-05	4.848109e-05	4.848109e-05
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	9.696218e-05	6.856261e-05	6.856261e-05
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	9.696218e-05	6.856261e-05	6.856261e-05
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	4.848109e-05	4.848109e-05	4.848109e-05
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+01	1.260000e+01	0.000000e+00	0.000000e+00	0.000000e+00
