# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	7.272163e-04	1.877665e-04	1.877665e-04
3.000000e-01	4.000000e-01	3.878487e-03	4.336281e-04	4.336281e-04
4.000000e-01	5.000000e-01	1.342926e-02	8.068861e-04	8.068861e-04
5.000000e-01	6.000000e-01	3.330651e-02	1.270723e-03	1.270723e-03
6.000000e-01	7.000000e-01	6.452833e-02	1.768729e-03	1.768729e-03
7.000000e-01	8.000000e-01	1.020042e-01	2.223797e-03	2.223797e-03
8.000000e-01	9.000000e-01	1.425344e-01	2.628730e-03	2.628730e-03
9.000000e-01	1.000000e+00	1.685687e-01	2.858740e-03	2.858740e-03
1.000000e+00	1.100000e+00	2.061416e-01	3.161324e-03	3.161324e-03
1.100000e+00	1.200000e+00	2.405632e-01	3.415078e-03	3.415078e-03
1.200000e+00	1.300000e+00	2.729970e-01	3.638020e-03	3.638020e-03
1.300000e+00	1.400000e+00	2.981102e-01	3.801672e-03	3.801672e-03
1.400000e+00	1.500000e+00	3.181329e-01	3.927267e-03	3.927267e-03
1.500000e+00	1.600000e+00	3.415008e-01	4.068947e-03	4.068947e-03
1.600000e+00	1.700000e+00	3.615235e-01	4.186532e-03	4.186532e-03
1.700000e+00	1.800000e+00	3.848429e-01	4.319444e-03	4.319444e-03
1.800000e+00	1.900000e+00	3.965753e-01	4.384792e-03	4.384792e-03
1.900000e+00	2.000000e+00	4.004053e-01	4.405914e-03	4.405914e-03
2.000000e+00	2.100000e+00	4.061746e-01	4.437542e-03	4.437542e-03
2.100000e+00	2.200000e+00	4.150466e-01	4.485745e-03	4.485745e-03
2.200000e+00	2.300000e+00	4.143679e-01	4.482075e-03	4.482075e-03
2.300000e+00	2.400000e+00	4.135922e-01	4.477879e-03	4.477879e-03
2.400000e+00	2.500000e+00	3.965753e-01	4.384792e-03	4.384792e-03
2.500000e+00	2.600000e+00	3.880426e-01	4.337364e-03	4.337364e-03
2.600000e+00	2.700000e+00	3.708318e-01	4.240086e-03	4.240086e-03
2.700000e+00	2.800000e+00	3.604569e-01	4.180352e-03	4.180352e-03
2.800000e+00	2.900000e+00	3.372829e-01	4.043741e-03	4.043741e-03
2.900000e+00	3.000000e+00	3.129454e-01	3.895116e-03	3.895116e-03
3.000000e+00	3.100000e+00	2.825478e-01	3.701111e-03	3.701111e-03
3.100000e+00	3.200000e+00	2.591799e-01	3.544760e-03	3.544760e-03
3.200000e+00	3.300000e+00	2.314002e-01	3.349407e-03	3.349407e-03
3.300000e+00	3.400000e+00	2.039115e-01	3.144177e-03	3.144177e-03
3.400000e+00	3.500000e+00	1.833555e-01	2.981488e-03	2.981488e-03
3.500000e+00	3.600000e+00	1.557213e-01	2.747642e-03	2.747642e-03
3.600000e+00	3.700000e+00	1.375893e-01	2.582727e-03	2.582727e-03
3.700000e+00	3.800000e+00	1.212027e-01	2.424054e-03	2.424054e-03
3.800000e+00	3.900000e+00	1.005498e-01	2.207886e-03	2.207886e-03
3.900000e+00	4.000000e+00	8.915672e-02	2.079042e-03	2.079042e-03
4.000000e+00	4.100000e+00	7.519417e-02	1.909318e-03	1.909318e-03
4.100000e+00	4.200000e+00	6.244364e-02	1.739924e-03	1.739924e-03
4.200000e+00	4.300000e+00	5.783794e-02	1.674529e-03	1.674529e-03
4.300000e+00	4.400000e+00	5.012944e-02	1.558952e-03	1.558952e-03
4.400000e+00	4.500000e+00	4.188766e-02	1.425047e-03	1.425047e-03
4.500000e+00	4.600000e+00	3.771829e-02	1.352266e-03	1.352266e-03
4.600000e+00	4.700000e+00	3.059157e-02	1.217831e-03	1.217831e-03
4.700000e+00	4.800000e+00	2.768270e-02	1.158485e-03	1.158485e-03
4.800000e+00	4.900000e+00	2.569498e-02	1.116118e-03	1.116118e-03
4.900000e+00	5.000000e+00	2.152560e-02	1.021560e-03	1.021560e-03
5.000000e+00	5.100000e+00	2.026509e-02	9.911982e-04	9.911982e-04
5.100000e+00	5.200000e+00	1.910155e-02	9.623221e-04	9.623221e-04
5.200000e+00	5.300000e+00	1.730775e-02	9.160232e-04	9.160232e-04
5.300000e+00	5.400000e+00	1.449585e-02	8.383163e-04	8.383163e-04
5.400000e+00	5.500000e+00	1.226572e-02	7.711389e-04	7.711389e-04
5.500000e+00	5.600000e+00	9.453812e-03	6.770016e-04	6.770016e-04
5.600000e+00	5.700000e+00	8.823558e-03	6.540456e-04	6.540456e-04
5.700000e+00	5.800000e+00	6.690390e-03	5.695238e-04	5.695238e-04
5.800000e+00	5.900000e+00	4.751147e-03	4.799383e-04	4.799383e-04
5.900000e+00	6.000000e+00	3.151271e-03	3.908670e-04	3.908670e-04
6.000000e+00	6.100000e+00	2.569498e-03	3.529476e-04	3.529476e-04
6.100000e+00	6.200000e+00	2.472535e-03	3.462242e-04	3.462242e-04
6.200000e+00	6.300000e+00	1.793800e-03	2.948989e-04	2.948989e-04
6.300000e+00	6.400000e+00	7.756974e-04	1.939243e-04	1.939243e-04
6.400000e+00	6.500000e+00	6.787352e-04	1.813996e-04	1.813996e-04
6.500000e+00	6.600000e+00	7.272163e-04	1.877665e-04	1.877665e-04
6.600000e+00	6.700000e+00	2.424054e-04	1.084070e-04	1.084070e-04
6.700000e+00	6.800000e+00	2.908865e-04	1.187539e-04	1.187539e-04
6.800000e+00	6.900000e+00	2.424054e-04	1.084070e-04	1.084070e-04
6.900000e+00	7.000000e+00	1.939244e-04	9.696217e-05	9.696217e-05
7.000000e+00	7.100000e+00	9.696218e-05	6.856261e-05	6.856261e-05
7.100000e+00	7.200000e+00	9.696218e-05	6.856261e-05	6.856261e-05
7.200000e+00	7.300000e+00	4.848109e-05	4.848109e-05	4.848109e-05
7.300000e+00	7.400000e+00	4.848109e-05	4.848109e-05	4.848109e-05
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	4.848109e-05	4.848109e-05	4.848109e-05
7.900000e+00	8.000000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
