# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.787352e-03	5.736359e-04	5.736359e-04
1.000000e-01	2.000000e-01	4.809324e-02	1.526962e-03	1.526962e-03
2.000000e-01	3.000000e-01	1.640115e-01	2.819833e-03	2.819833e-03
3.000000e-01	4.000000e-01	2.089050e-01	3.182442e-03	3.182442e-03
4.000000e-01	5.000000e-01	2.029418e-01	3.136693e-03	3.136693e-03
5.000000e-01	6.000000e-01	1.910640e-01	3.043516e-03	3.043516e-03
6.000000e-01	7.000000e-01	1.879127e-01	3.018313e-03	3.018313e-03
7.000000e-01	8.000000e-01	1.827252e-01	2.976360e-03	2.976360e-03
8.000000e-01	9.000000e-01	1.740471e-01	2.904822e-03	2.904822e-03
9.000000e-01	1.000000e+00	1.695384e-01	2.866950e-03	2.866950e-03
1.000000e+00	1.100000e+00	1.633813e-01	2.814410e-03	2.814410e-03
1.100000e+00	1.200000e+00	1.607633e-01	2.791770e-03	2.791770e-03
1.200000e+00	1.300000e+00	1.568848e-01	2.757888e-03	2.757888e-03
1.300000e+00	1.400000e+00	1.556728e-01	2.747214e-03	2.747214e-03
1.400000e+00	1.500000e+00	1.571272e-01	2.760018e-03	2.760018e-03
1.500000e+00	1.600000e+00	1.529578e-01	2.723153e-03	2.723153e-03
1.600000e+00	1.700000e+00	1.516004e-01	2.711042e-03	2.711042e-03
1.700000e+00	1.800000e+00	1.500490e-01	2.697135e-03	2.697135e-03
1.800000e+00	1.900000e+00	1.508247e-01	2.704098e-03	2.704098e-03
1.900000e+00	2.000000e+00	1.524245e-01	2.718402e-03	2.718402e-03
2.000000e+00	2.100000e+00	1.487400e-01	2.685345e-03	2.685345e-03
2.100000e+00	2.200000e+00	1.553334e-01	2.744218e-03	2.744218e-03
2.200000e+00	2.300000e+00	1.532972e-01	2.726172e-03	2.726172e-03
2.300000e+00	2.400000e+00	1.535881e-01	2.728757e-03	2.728757e-03
2.400000e+00	2.500000e+00	1.538790e-01	2.731340e-03	2.731340e-03
2.500000e+00	2.600000e+00	1.562061e-01	2.751916e-03	2.751916e-03
2.600000e+00	2.700000e+00	1.503399e-01	2.699748e-03	2.699748e-03
2.700000e+00	2.800000e+00	1.527154e-01	2.720994e-03	2.720994e-03
2.800000e+00	2.900000e+00	1.526185e-01	2.720130e-03	2.720130e-03
2.900000e+00	3.000000e+00	1.543638e-01	2.735640e-03	2.735640e-03
3.000000e+00	3.100000e+00	1.526185e-01	2.720130e-03	2.720130e-03
3.100000e+00	3.200000e+00	1.526669e-01	2.720562e-03	2.720562e-03
3.200000e+00	3.300000e+00	1.534426e-01	2.727465e-03	2.727465e-03
3.300000e+00	3.400000e+00	1.557697e-01	2.748070e-03	2.748070e-03
3.400000e+00	3.500000e+00	1.645933e-01	2.824830e-03	2.824830e-03
3.500000e+00	3.600000e+00	1.614420e-01	2.797657e-03	2.797657e-03
3.600000e+00	3.700000e+00	1.626540e-01	2.808139e-03	2.808139e-03
3.700000e+00	3.800000e+00	1.639630e-01	2.819416e-03	2.819416e-03
3.800000e+00	3.900000e+00	1.697323e-01	2.868590e-03	2.868590e-03
3.900000e+00	4.000000e+00	1.748713e-01	2.911692e-03	2.911692e-03
4.000000e+00	4.100000e+00	1.735138e-01	2.900369e-03	2.900369e-03
4.100000e+00	4.200000e+00	1.761318e-01	2.922167e-03	2.922167e-03
4.200000e+00	4.300000e+00	1.788467e-01	2.944603e-03	2.944603e-03
4.300000e+00	4.400000e+00	1.856826e-01	3.000349e-03	3.000349e-03
4.400000e+00	4.500000e+00	1.723987e-01	2.891034e-03	2.891034e-03
4.500000e+00	4.600000e+00	1.788952e-01	2.945002e-03	2.945002e-03
4.600000e+00	4.700000e+00	1.715261e-01	2.883708e-03	2.883708e-03
4.700000e+00	4.800000e+00	1.690536e-01	2.862848e-03	2.862848e-03
4.800000e+00	4.900000e+00	1.626056e-01	2.807721e-03	2.807721e-03
4.900000e+00	5.000000e+00	1.531518e-01	2.724879e-03	2.724879e-03
5.000000e+00	5.100000e+00	1.522791e-01	2.717104e-03	2.717104e-03
5.100000e+00	5.200000e+00	1.325473e-01	2.534963e-03	2.534963e-03
5.200000e+00	5.300000e+00	1.174697e-01	2.386432e-03	2.386432e-03
5.300000e+00	5.400000e+00	9.773787e-02	2.176795e-03	2.176795e-03
5.400000e+00	5.500000e+00	7.495176e-02	1.906238e-03	1.906238e-03
5.500000e+00	5.600000e+00	5.420186e-02	1.621038e-03	1.621038e-03
5.600000e+00	5.700000e+00	3.946361e-02	1.383199e-03	1.383199e-03
5.700000e+00	5.800000e+00	2.831296e-02	1.171598e-03	1.171598e-03
5.800000e+00	5.900000e+00	2.002269e-02	9.852521e-04	9.852521e-04
5.900000e+00	6.000000e+00	1.527154e-02	8.604539e-04	8.604539e-04
6.000000e+00	6.100000e+00	1.149002e-02	7.463569e-04	7.463569e-04
6.100000e+00	6.200000e+00	9.502293e-03	6.787352e-04	6.787352e-04
6.200000e+00	6.300000e+00	7.078239e-03	5.857992e-04	5.857992e-04
6.300000e+00	6.400000e+00	5.235957e-03	5.038302e-04	5.038302e-04
6.400000e+00	6.500000e+00	4.605703e-03	4.725352e-04	4.725352e-04
6.500000e+00	6.600000e+00	3.975449e-03	4.390149e-04	4.390149e-04
6.600000e+00	6.700000e+00	3.248233e-03	3.968349e-04	3.968349e-04
6.700000e+00	6.800000e+00	2.472535e-03	3.462242e-04	3.462242e-04
6.800000e+00	6.900000e+00	1.793800e-03	2.948989e-04	2.948989e-04
6.900000e+00	7.000000e+00	2.472535e-03	3.462242e-04	3.462242e-04
7.000000e+00	7.100000e+00	1.939244e-03	3.066213e-04	3.066213e-04
7.100000e+00	7.200000e+00	1.599876e-03	2.785026e-04	2.785026e-04
7.200000e+00	7.300000e+00	6.302541e-04	1.748011e-04	1.748011e-04
7.300000e+00	7.400000e+00	7.272163e-04	1.877665e-04	1.877665e-04
7.400000e+00	7.500000e+00	7.756974e-04	1.939243e-04	1.939243e-04
7.500000e+00	7.600000e+00	2.424054e-04	1.084070e-04	1.084070e-04
7.600000e+00	7.700000e+00	2.424054e-04	1.084070e-04	1.084070e-04
7.700000e+00	7.800000e+00	3.393676e-04	1.282689e-04	1.282689e-04
7.800000e+00	7.900000e+00	2.908865e-04	1.187539e-04	1.187539e-04
7.900000e+00	8.000000e+00	2.424054e-04	1.084070e-04	1.084070e-04
8.000000e+00	8.100000e+00	9.696218e-05	6.856261e-05	6.856261e-05
8.100000e+00	8.200000e+00	2.908865e-04	1.187539e-04	1.187539e-04
8.200000e+00	8.300000e+00	1.454433e-04	8.397171e-05	8.397171e-05
8.300000e+00	8.400000e+00	9.696218e-05	6.856261e-05	6.856261e-05
8.400000e+00	8.500000e+00	1.454433e-04	8.397171e-05	8.397171e-05
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	4.848109e-05	4.848109e-05	4.848109e-05
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.000000e+00	9.100000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.100000e+00	9.200000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	4.848109e-05	4.848109e-05	4.848109e-05
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
