# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.751147e-03	4.799383e-04	4.799383e-04
1.000000e-01	2.000000e-01	2.773118e-02	1.159499e-03	1.159499e-03
2.000000e-01	3.000000e-01	8.867191e-02	2.073382e-03	2.073382e-03
3.000000e-01	4.000000e-01	1.144638e-01	2.355702e-03	2.355702e-03
4.000000e-01	5.000000e-01	1.087431e-01	2.296080e-03	2.296080e-03
5.000000e-01	6.000000e-01	1.078219e-01	2.286334e-03	2.286334e-03
6.000000e-01	7.000000e-01	1.059797e-01	2.266718e-03	2.266718e-03
7.000000e-01	8.000000e-01	1.052524e-01	2.258927e-03	2.258927e-03
8.000000e-01	9.000000e-01	9.953167e-02	2.196680e-03	2.196680e-03
9.000000e-01	1.000000e+00	9.764091e-02	2.175716e-03	2.175716e-03
1.000000e+00	1.100000e+00	9.948319e-02	2.196145e-03	2.196145e-03
1.100000e+00	1.200000e+00	9.599255e-02	2.157272e-03	2.157272e-03
1.200000e+00	1.300000e+00	9.696218e-02	2.168140e-03	2.168140e-03
1.300000e+00	1.400000e+00	9.948319e-02	2.196145e-03	2.196145e-03
1.400000e+00	1.500000e+00	9.836813e-02	2.183803e-03	2.183803e-03
1.500000e+00	1.600000e+00	9.667129e-02	2.164885e-03	2.164885e-03
1.600000e+00	1.700000e+00	9.798028e-02	2.179493e-03	2.179493e-03
1.700000e+00	1.800000e+00	9.681673e-02	2.166513e-03	2.166513e-03
1.800000e+00	1.900000e+00	9.575015e-02	2.154547e-03	2.154547e-03
1.900000e+00	2.000000e+00	1.027799e-01	2.232237e-03	2.232237e-03
2.000000e+00	2.100000e+00	1.005013e-01	2.207354e-03	2.207354e-03
2.100000e+00	2.200000e+00	1.019072e-01	2.222740e-03	2.222740e-03
2.200000e+00	2.300000e+00	1.034102e-01	2.239071e-03	2.239071e-03
2.300000e+00	2.400000e+00	1.042343e-01	2.247976e-03	2.247976e-03
2.400000e+00	2.500000e+00	1.037980e-01	2.243265e-03	2.243265e-03
2.500000e+00	2.600000e+00	1.078704e-01	2.286848e-03	2.286848e-03
2.600000e+00	2.700000e+00	1.059797e-01	2.266718e-03	2.266718e-03
