# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.490328e-01	1.905621e-02	1.905621e-02
1.000000e-02	2.000000e-02	8.702355e-01	2.054019e-02	2.054019e-02
2.000000e-02	3.000000e-02	1.071917e+00	2.279642e-02	2.279642e-02
3.000000e-02	4.000000e-02	1.128155e+00	2.338679e-02	2.338679e-02
4.000000e-02	5.000000e-02	1.333715e+00	2.542832e-02	2.542832e-02
5.000000e-02	6.000000e-02	1.420981e+00	2.624704e-02	2.624704e-02
6.000000e-02	7.000000e-02	1.512610e+00	2.708006e-02	2.708006e-02
7.000000e-02	8.000000e-02	1.689566e+00	2.862027e-02	2.862027e-02
8.000000e-02	9.000000e-02	1.785074e+00	2.941807e-02	2.941807e-02
9.000000e-02	1.000000e-01	1.925669e+00	3.055463e-02	3.055463e-02
1.000000e-01	1.100000e-01	1.953788e+00	3.077690e-02	3.077690e-02
1.100000e-01	1.200000e-01	2.120078e+00	3.205990e-02	3.205990e-02
1.200000e-01	1.300000e-01	2.239341e+00	3.294931e-02	3.294931e-02
1.300000e-01	1.400000e-01	2.277157e+00	3.322634e-02	3.322634e-02
1.400000e-01	1.500000e-01	2.379452e+00	3.396445e-02	3.396445e-02
1.500000e-01	1.600000e-01	2.486110e+00	3.471733e-02	3.471733e-02
1.600000e-01	1.700000e-01	2.486595e+00	3.472071e-02	3.472071e-02
1.700000e-01	1.800000e-01	2.462354e+00	3.455106e-02	3.455106e-02
1.800000e-01	1.900000e-01	2.503563e+00	3.483899e-02	3.483899e-02
1.900000e-01	2.000000e-01	2.511320e+00	3.489291e-02	3.489291e-02
2.000000e-01	2.100000e-01	2.451689e+00	3.447615e-02	3.447615e-02
2.100000e-01	2.200000e-01	2.413389e+00	3.420580e-02	3.420580e-02
2.200000e-01	2.300000e-01	2.377513e+00	3.395061e-02	3.395061e-02
2.300000e-01	2.400000e-01	2.278126e+00	3.323342e-02	3.323342e-02
2.400000e-01	2.500000e-01	2.220434e+00	3.280991e-02	3.280991e-02
2.500000e-01	2.600000e-01	2.144803e+00	3.224630e-02	3.224630e-02
2.600000e-01	2.700000e-01	1.945061e+00	3.070809e-02	3.070809e-02
2.700000e-01	2.800000e-01	1.929062e+00	3.058154e-02	3.058154e-02
2.800000e-01	2.900000e-01	1.735138e+00	2.900369e-02	2.900369e-02
2.900000e-01	3.000000e-01	1.737077e+00	2.901989e-02	2.901989e-02
3.000000e-01	3.100000e-01	1.665325e+00	2.841422e-02	2.841422e-02
3.100000e-01	3.200000e-01	1.511640e+00	2.707138e-02	2.707138e-02
3.200000e-01	3.300000e-01	1.482552e+00	2.680965e-02	2.680965e-02
3.300000e-01	3.400000e-01	1.441343e+00	2.643442e-02	2.643442e-02
3.400000e-01	3.500000e-01	1.382196e+00	2.588636e-02	2.588636e-02
3.500000e-01	3.600000e-01	1.333715e+00	2.542832e-02	2.542832e-02
3.600000e-01	3.700000e-01	1.232874e+00	2.444812e-02	2.444812e-02
3.700000e-01	3.800000e-01	1.230935e+00	2.442889e-02	2.442889e-02
3.800000e-01	3.900000e-01	1.147063e+00	2.358195e-02	2.358195e-02
3.900000e-01	4.000000e-01	1.128155e+00	2.338679e-02	2.338679e-02
4.000000e-01	4.100000e-01	1.099551e+00	2.308840e-02	2.308840e-02
4.100000e-01	4.200000e-01	1.037980e+00	2.243265e-02	2.243265e-02
4.200000e-01	4.300000e-01	1.052524e+00	2.258927e-02	2.258927e-02
4.300000e-01	4.400000e-01	1.029738e+00	2.234342e-02	2.234342e-02
4.400000e-01	4.500000e-01	9.555622e-01	2.152364e-02	2.152364e-02
