# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
ScaledBy=4.84810875277554230e-06
Title=quark-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.782814e+00	3.673063e-02	3.673063e-02
1.000000e-02	2.000000e-02	3.172118e+00	3.921577e-02	3.921577e-02
2.000000e-02	3.000000e-02	3.731589e+00	4.253369e-02	4.253369e-02
3.000000e-02	4.000000e-02	4.098106e+00	4.457361e-02	4.457361e-02
4.000000e-02	5.000000e-02	4.485470e+00	4.663266e-02	4.663266e-02
5.000000e-02	6.000000e-02	4.646427e+00	4.746197e-02	4.746197e-02
6.000000e-02	7.000000e-02	4.628489e+00	4.737026e-02	4.737026e-02
7.000000e-02	8.000000e-02	4.545102e+00	4.694161e-02	4.694161e-02
8.000000e-02	9.000000e-02	4.247913e+00	4.538099e-02	4.538099e-02
9.000000e-02	1.000000e-01	3.884790e+00	4.339802e-02	4.339802e-02
1.000000e-01	1.100000e-01	3.511000e+00	4.125738e-02	4.125738e-02
1.100000e-01	1.200000e-01	3.179390e+00	3.926071e-02	3.926071e-02
1.200000e-01	1.300000e-01	2.817721e+00	3.696028e-02	3.696028e-02
1.300000e-01	1.400000e-01	2.578709e+00	3.535797e-02	3.535797e-02
1.400000e-01	1.500000e-01	2.293640e+00	3.334639e-02	3.334639e-02
1.500000e-01	1.600000e-01	2.105534e+00	3.194974e-02	3.194974e-02
1.600000e-01	1.700000e-01	1.963969e+00	3.085698e-02	3.085698e-02
1.700000e-01	1.800000e-01	1.769075e+00	2.928595e-02	2.928595e-02
1.800000e-01	1.900000e-01	1.675022e+00	2.849682e-02	2.849682e-02
1.900000e-01	2.000000e-01	1.558182e+00	2.748497e-02	2.748497e-02
2.000000e-01	2.100000e-01	1.450554e+00	2.651876e-02	2.651876e-02
2.100000e-01	2.200000e-01	1.385105e+00	2.591358e-02	2.591358e-02
2.200000e-01	2.300000e-01	1.330321e+00	2.539595e-02	2.539595e-02
2.300000e-01	2.400000e-01	1.240146e+00	2.452012e-02	2.452012e-02
2.400000e-01	2.500000e-01	1.180030e+00	2.391843e-02	2.391843e-02
2.500000e-01	2.600000e-01	1.118944e+00	2.329111e-02	2.329111e-02
2.600000e-01	2.700000e-01	1.059312e+00	2.266199e-02	2.266199e-02
