# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_0_alpha_0.5
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.883153e-02	1.845658e-02	1.845658e-02
1.000000e-02	2.000000e-02	1.464946e-01	3.196773e-02	3.196773e-02
2.000000e-02	3.000000e-02	2.999651e-01	4.574426e-02	4.574426e-02
3.000000e-02	4.000000e-02	5.859784e-01	6.393548e-02	6.393548e-02
4.000000e-02	5.000000e-02	9.905825e-01	8.312784e-02	8.312784e-02
5.000000e-02	6.000000e-02	1.444018e+00	1.003662e-01	1.003662e-01
6.000000e-02	7.000000e-02	2.316010e+00	1.271076e-01	1.271076e-01
7.000000e-02	8.000000e-02	2.825253e+00	1.403879e-01	1.403879e-01
8.000000e-02	9.000000e-02	3.564702e+00	1.576931e-01	1.576931e-01
9.000000e-02	1.000000e-01	3.843739e+00	1.637488e-01	1.637488e-01
1.000000e-01	1.100000e-01	3.753052e+00	1.618056e-01	1.618056e-01
1.100000e-01	1.200000e-01	3.425183e+00	1.545764e-01	1.545764e-01
1.200000e-01	1.300000e-01	3.076386e+00	1.464946e-01	1.464946e-01
1.300000e-01	1.400000e-01	2.867108e+00	1.414240e-01	1.414240e-01
1.400000e-01	1.500000e-01	3.320544e+00	1.521969e-01	1.521969e-01
1.500000e-01	1.600000e-01	2.943844e+00	1.433041e-01	1.433041e-01
1.600000e-01	1.700000e-01	3.097314e+00	1.469920e-01	1.469920e-01
1.700000e-01	1.800000e-01	3.201953e+00	1.494544e-01	1.494544e-01
1.800000e-01	1.900000e-01	3.013603e+00	1.449920e-01	1.449920e-01
1.900000e-01	2.000000e-01	2.839205e+00	1.407341e-01	1.407341e-01
2.000000e-01	2.100000e-01	3.020579e+00	1.451598e-01	1.451598e-01
2.100000e-01	2.200000e-01	2.706662e+00	1.374099e-01	1.374099e-01
2.200000e-01	2.300000e-01	2.769445e+00	1.389945e-01	1.389945e-01
2.300000e-01	2.400000e-01	2.643879e+00	1.358069e-01	1.358069e-01
2.400000e-01	2.500000e-01	2.309034e+00	1.269160e-01	1.269160e-01
2.500000e-01	2.600000e-01	2.511336e+00	1.323590e-01	1.323590e-01
2.600000e-01	2.700000e-01	2.385769e+00	1.290076e-01	1.290076e-01
2.700000e-01	2.800000e-01	2.406697e+00	1.295722e-01	1.295722e-01
2.800000e-01	2.900000e-01	2.281130e+00	1.261468e-01	1.261468e-01
2.900000e-01	3.000000e-01	1.960237e+00	1.169379e-01	1.169379e-01
3.000000e-01	3.100000e-01	2.148587e+00	1.224271e-01	1.224271e-01
3.100000e-01	3.200000e-01	2.064876e+00	1.200185e-01	1.200185e-01
3.200000e-01	3.300000e-01	1.667248e+00	1.078453e-01	1.078453e-01
3.300000e-01	3.400000e-01	1.660272e+00	1.076195e-01	1.076195e-01
3.400000e-01	3.500000e-01	1.388211e+00	9.840765e-02	9.840765e-02
3.500000e-01	3.600000e-01	1.576561e+00	1.048713e-01	1.048713e-01
3.600000e-01	3.700000e-01	1.241716e+00	9.307055e-02	9.307055e-02
3.700000e-01	3.800000e-01	1.325427e+00	9.615660e-02	9.615660e-02
3.800000e-01	3.900000e-01	1.255668e+00	9.359196e-02	9.359196e-02
3.900000e-01	4.000000e-01	1.206836e+00	9.175407e-02	9.175407e-02
4.000000e-01	4.100000e-01	1.283572e+00	9.462616e-02	9.462616e-02
4.100000e-01	4.200000e-01	9.208232e-01	8.014737e-02	8.014737e-02
4.200000e-01	4.300000e-01	8.440879e-01	7.673527e-02	7.673527e-02
4.300000e-01	4.400000e-01	8.092082e-01	7.513310e-02	7.513310e-02
4.400000e-01	4.500000e-01	8.371120e-01	7.641752e-02	7.641752e-02
4.500000e-01	4.600000e-01	8.231601e-01	7.577803e-02	7.577803e-02
4.600000e-01	4.700000e-01	6.557377e-01	6.763418e-02	6.763418e-02
4.700000e-01	4.800000e-01	5.790024e-01	6.355377e-02	6.355377e-02
4.800000e-01	4.900000e-01	5.720265e-01	6.316976e-02	6.316976e-02
4.900000e-01	5.000000e-01	6.348099e-01	6.654616e-02	6.654616e-02
5.000000e-01	5.100000e-01	4.952912e-01	5.878026e-02	5.878026e-02
5.100000e-01	5.200000e-01	3.976282e-01	5.266714e-02	5.266714e-02
5.200000e-01	5.300000e-01	3.697245e-01	5.078556e-02	5.078556e-02
5.300000e-01	5.400000e-01	4.046041e-01	5.312712e-02	5.312712e-02
5.400000e-01	5.500000e-01	3.139170e-01	4.679598e-02	4.679598e-02
5.500000e-01	5.600000e-01	2.929892e-01	4.520921e-02	4.520921e-02
5.600000e-01	5.700000e-01	2.790373e-01	4.411968e-02	4.411968e-02
5.700000e-01	5.800000e-01	2.092780e-01	3.820876e-02	3.820876e-02
5.800000e-01	5.900000e-01	1.813743e-01	3.557042e-02	3.557042e-02
5.900000e-01	6.000000e-01	1.604465e-01	3.345540e-02	3.345540e-02
6.000000e-01	6.100000e-01	1.255668e-01	2.959638e-02	2.959638e-02
6.100000e-01	6.200000e-01	1.255668e-01	2.959638e-02	2.959638e-02
6.200000e-01	6.300000e-01	1.046390e-01	2.701767e-02	2.701767e-02
6.300000e-01	6.400000e-01	5.580746e-02	1.973092e-02	1.973092e-02
6.400000e-01	6.500000e-01	6.278340e-02	2.092780e-02	2.092780e-02
6.500000e-01	6.600000e-01	2.790373e-02	1.395187e-02	1.395187e-02
6.600000e-01	6.700000e-01	6.278340e-02	2.092780e-02	2.092780e-02
6.700000e-01	6.800000e-01	4.185560e-02	1.708747e-02	1.708747e-02
6.800000e-01	6.900000e-01	6.278340e-02	2.092780e-02	2.092780e-02
6.900000e-01	7.000000e-01	4.185560e-02	1.708747e-02	1.708747e-02
7.000000e-01	7.100000e-01	1.395187e-02	9.865459e-03	9.865459e-03
7.100000e-01	7.200000e-01	1.395187e-02	9.865459e-03	9.865459e-03
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	1.395187e-02	9.865459e-03	9.865459e-03
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	3.487967e-02	1.559866e-02	1.559866e-02
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	6.975933e-03	6.975933e-03	6.975933e-03
8.000000e-01	8.100000e-01	6.975933e-03	6.975933e-03	6.975933e-03
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
