# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.501918e+00	1.562983e-01	1.562983e-01
1.000000e-02	2.000000e-02	8.950122e+00	2.498709e-01	2.498709e-01
2.000000e-02	3.000000e-02	7.213115e+00	2.243172e-01	2.243172e-01
3.000000e-02	4.000000e-02	4.938961e+00	1.856175e-01	1.856175e-01
4.000000e-02	5.000000e-02	3.913498e+00	1.652280e-01	1.652280e-01
5.000000e-02	6.000000e-02	3.411231e+00	1.542612e-01	1.542612e-01
6.000000e-02	7.000000e-02	2.783397e+00	1.393441e-01	1.393441e-01
7.000000e-02	8.000000e-02	2.622951e+00	1.352684e-01	1.352684e-01
8.000000e-02	9.000000e-02	2.274154e+00	1.259538e-01	1.259538e-01
9.000000e-02	1.000000e-01	2.169515e+00	1.230219e-01	1.230219e-01
1.000000e-01	1.100000e-01	2.260202e+00	1.255668e-01	1.255668e-01
1.100000e-01	1.200000e-01	1.764911e+00	1.109590e-01	1.109590e-01
1.200000e-01	1.300000e-01	1.764911e+00	1.109590e-01	1.109590e-01
1.300000e-01	1.400000e-01	1.778863e+00	1.113967e-01	1.113967e-01
1.400000e-01	1.500000e-01	1.702128e+00	1.089676e-01	1.089676e-01
1.500000e-01	1.600000e-01	1.604465e+00	1.057953e-01	1.057953e-01
1.600000e-01	1.700000e-01	1.339379e+00	9.666136e-02	9.666136e-02
1.700000e-01	1.800000e-01	1.367283e+00	9.766306e-02	9.766306e-02
1.800000e-01	1.900000e-01	1.304499e+00	9.539445e-02	9.539445e-02
1.900000e-01	2.000000e-01	1.318451e+00	9.590322e-02	9.590322e-02
2.000000e-01	2.100000e-01	1.346355e+00	9.691276e-02	9.691276e-02
2.100000e-01	2.200000e-01	1.199860e+00	9.148850e-02	9.148850e-02
2.200000e-01	2.300000e-01	1.102197e+00	8.768612e-02	8.768612e-02
2.300000e-01	2.400000e-01	1.053366e+00	8.572170e-02	8.572170e-02
2.400000e-01	2.500000e-01	1.144053e+00	8.933553e-02	8.933553e-02
2.500000e-01	2.600000e-01	9.766306e-01	8.254035e-02	8.254035e-02
2.600000e-01	2.700000e-01	9.347750e-01	8.075226e-02	8.075226e-02
2.700000e-01	2.800000e-01	9.905825e-01	8.312784e-02	8.312784e-02
