# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_1
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	2.790373e-02	1.395187e-02	1.395187e-02
4.000000e-02	5.000000e-02	2.790373e-02	1.395187e-02	1.395187e-02
5.000000e-02	6.000000e-02	4.883153e-02	1.845658e-02	1.845658e-02
6.000000e-02	7.000000e-02	6.278340e-02	2.092780e-02	2.092780e-02
7.000000e-02	8.000000e-02	2.441577e-01	4.127017e-02	4.127017e-02
8.000000e-02	9.000000e-02	4.046041e-01	5.312712e-02	5.312712e-02
9.000000e-02	1.000000e-01	6.278340e-01	6.617951e-02	6.617951e-02
1.000000e-01	1.100000e-01	7.743286e-01	7.349601e-02	7.349601e-02
1.100000e-01	1.200000e-01	1.151029e+00	8.960748e-02	8.960748e-02
1.200000e-01	1.300000e-01	1.653296e+00	1.073931e-01	1.073931e-01
1.300000e-01	1.400000e-01	1.904430e+00	1.152613e-01	1.152613e-01
1.400000e-01	1.500000e-01	2.309034e+00	1.269160e-01	1.269160e-01
1.500000e-01	1.600000e-01	2.574119e+00	1.340033e-01	1.340033e-01
1.600000e-01	1.700000e-01	2.748518e+00	1.384683e-01	1.384683e-01
1.700000e-01	1.800000e-01	2.567143e+00	1.338216e-01	1.338216e-01
1.800000e-01	1.900000e-01	3.020579e+00	1.451598e-01	1.451598e-01
1.900000e-01	2.000000e-01	2.915940e+00	1.426233e-01	1.426233e-01
2.000000e-01	2.100000e-01	3.285664e+00	1.513954e-01	1.513954e-01
2.100000e-01	2.200000e-01	3.292640e+00	1.515561e-01	1.515561e-01
2.200000e-01	2.300000e-01	2.936868e+00	1.431342e-01	1.431342e-01
2.300000e-01	2.400000e-01	2.497384e+00	1.319908e-01	1.319908e-01
2.400000e-01	2.500000e-01	2.825253e+00	1.403879e-01	1.403879e-01
2.500000e-01	2.600000e-01	2.671782e+00	1.365217e-01	1.365217e-01
2.600000e-01	2.700000e-01	2.511336e+00	1.323590e-01	1.323590e-01
