# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_1_alpha_0.5
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	1.395187e-02	9.865459e-03	9.865459e-03
3.000000e-02	4.000000e-02	4.883153e-02	1.845658e-02	1.845658e-02
4.000000e-02	5.000000e-02	1.325427e-01	3.040739e-02	3.040739e-02
5.000000e-02	6.000000e-02	3.069411e-01	4.627310e-02	4.627310e-02
6.000000e-02	7.000000e-02	4.185560e-01	5.403534e-02	5.403534e-02
7.000000e-02	8.000000e-02	6.766655e-01	6.870497e-02	6.870497e-02
8.000000e-02	9.000000e-02	1.151029e+00	8.960748e-02	8.960748e-02
9.000000e-02	1.000000e-01	2.050924e+00	1.196123e-01	1.196123e-01
1.000000e-01	1.100000e-01	2.574119e+00	1.340033e-01	1.340033e-01
1.100000e-01	1.200000e-01	3.641437e+00	1.593814e-01	1.593814e-01
1.200000e-01	1.300000e-01	3.983258e+00	1.666942e-01	1.666942e-01
1.300000e-01	1.400000e-01	3.536798e+00	1.570747e-01	1.570747e-01
1.400000e-01	1.500000e-01	4.150680e+00	1.701613e-01	1.701613e-01
1.500000e-01	1.600000e-01	3.934426e+00	1.656692e-01	1.656692e-01
1.600000e-01	1.700000e-01	4.039065e+00	1.678578e-01	1.678578e-01
1.700000e-01	1.800000e-01	4.011161e+00	1.672770e-01	1.672770e-01
1.800000e-01	1.900000e-01	3.787932e+00	1.625557e-01	1.625557e-01
1.900000e-01	2.000000e-01	3.634461e+00	1.592286e-01	1.592286e-01
2.000000e-01	2.100000e-01	3.787932e+00	1.625557e-01	1.625557e-01
2.100000e-01	2.200000e-01	3.376352e+00	1.534705e-01	1.534705e-01
2.200000e-01	2.300000e-01	3.418207e+00	1.544188e-01	1.544188e-01
2.300000e-01	2.400000e-01	2.915940e+00	1.426233e-01	1.426233e-01
2.400000e-01	2.500000e-01	2.867108e+00	1.414240e-01	1.414240e-01
2.500000e-01	2.600000e-01	2.825253e+00	1.403879e-01	1.403879e-01
2.600000e-01	2.700000e-01	2.720614e+00	1.377636e-01	1.377636e-01
2.700000e-01	2.800000e-01	2.692710e+00	1.370554e-01	1.370554e-01
