# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	2.790373e-03	1.395187e-03	1.395187e-03
3.000000e-01	4.000000e-01	1.395187e-03	9.865459e-04	9.865459e-04
4.000000e-01	5.000000e-01	3.487967e-03	1.559866e-03	1.559866e-03
5.000000e-01	6.000000e-01	6.975933e-03	2.205984e-03	2.205984e-03
6.000000e-01	7.000000e-01	1.185909e-02	2.876251e-03	2.876251e-03
7.000000e-01	8.000000e-01	1.953261e-02	3.691317e-03	3.691317e-03
8.000000e-01	9.000000e-01	2.860133e-02	4.466776e-03	4.466776e-03
9.000000e-01	1.000000e+00	3.697245e-02	5.078556e-03	5.078556e-03
1.000000e+00	1.100000e+00	5.510987e-02	6.200345e-03	6.200345e-03
1.100000e+00	1.200000e+00	6.557377e-02	6.763418e-03	6.763418e-03
1.200000e+00	1.300000e+00	8.231601e-02	7.577803e-03	7.577803e-03
1.300000e+00	1.400000e+00	9.836066e-02	8.283461e-03	8.283461e-03
1.400000e+00	1.500000e+00	1.102197e-01	8.768612e-03	8.768612e-03
1.500000e+00	1.600000e+00	1.339379e-01	9.666136e-03	9.666136e-03
1.600000e+00	1.700000e+00	1.290548e-01	9.488295e-03	9.488295e-03
1.700000e+00	1.800000e+00	1.276596e-01	9.436867e-03	9.436867e-03
1.800000e+00	1.900000e+00	1.562609e-01	1.044062e-02	1.044062e-02
1.900000e+00	2.000000e+00	1.548657e-01	1.039391e-02	1.039391e-02
2.000000e+00	2.100000e+00	1.750959e-01	1.105195e-02	1.105195e-02
2.100000e+00	2.200000e+00	1.695152e-01	1.087440e-02	1.087440e-02
2.200000e+00	2.300000e+00	1.897454e-01	1.150500e-02	1.150500e-02
2.300000e+00	2.400000e+00	1.834670e-01	1.131306e-02	1.131306e-02
2.400000e+00	2.500000e+00	1.862574e-01	1.139877e-02	1.139877e-02
2.500000e+00	2.600000e+00	1.953261e-01	1.167297e-02	1.167297e-02
2.600000e+00	2.700000e+00	1.820719e-01	1.126996e-02	1.126996e-02
2.700000e+00	2.800000e+00	1.904430e-01	1.152613e-02	1.152613e-02
2.800000e+00	2.900000e+00	1.876526e-01	1.144138e-02	1.144138e-02
2.900000e+00	3.000000e+00	1.939309e-01	1.163120e-02	1.163120e-02
3.000000e+00	3.100000e+00	1.953261e-01	1.167297e-02	1.167297e-02
3.100000e+00	3.200000e+00	1.946285e-01	1.165211e-02	1.165211e-02
3.200000e+00	3.300000e+00	2.071852e-01	1.202210e-02	1.202210e-02
3.300000e+00	3.400000e+00	1.709104e-01	1.091906e-02	1.091906e-02
3.400000e+00	3.500000e+00	1.953261e-01	1.167297e-02	1.167297e-02
3.500000e+00	3.600000e+00	1.743983e-01	1.102992e-02	1.102992e-02
3.600000e+00	3.700000e+00	1.988141e-01	1.177673e-02	1.177673e-02
3.700000e+00	3.800000e+00	2.016045e-01	1.185909e-02	1.185909e-02
3.800000e+00	3.900000e+00	1.743983e-01	1.102992e-02	1.102992e-02
3.900000e+00	4.000000e+00	1.953261e-01	1.167297e-02	1.167297e-02
4.000000e+00	4.100000e+00	1.806767e-01	1.122670e-02	1.122670e-02
4.100000e+00	4.200000e+00	1.764911e-01	1.109590e-02	1.109590e-02
4.200000e+00	4.300000e+00	1.778863e-01	1.113967e-02	1.113967e-02
4.300000e+00	4.400000e+00	2.029997e-01	1.190005e-02	1.190005e-02
4.400000e+00	4.500000e+00	1.792815e-01	1.118327e-02	1.118327e-02
4.500000e+00	4.600000e+00	1.716080e-01	1.094133e-02	1.094133e-02
4.600000e+00	4.700000e+00	1.667248e-01	1.078453e-02	1.078453e-02
4.700000e+00	4.800000e+00	1.827694e-01	1.129153e-02	1.129153e-02
4.800000e+00	4.900000e+00	1.730031e-01	1.098571e-02	1.098571e-02
4.900000e+00	5.000000e+00	1.799791e-01	1.120501e-02	1.120501e-02
5.000000e+00	5.100000e+00	1.743983e-01	1.102992e-02	1.102992e-02
5.100000e+00	5.200000e+00	1.520753e-01	1.029984e-02	1.029984e-02
5.200000e+00	5.300000e+00	1.667248e-01	1.078453e-02	1.078453e-02
5.300000e+00	5.400000e+00	1.576561e-01	1.048713e-02	1.048713e-02
5.400000e+00	5.500000e+00	1.555633e-01	1.041729e-02	1.041729e-02
5.500000e+00	5.600000e+00	1.353331e-01	9.716350e-03	9.716350e-03
5.600000e+00	5.700000e+00	1.430066e-01	9.988016e-03	9.988016e-03
5.700000e+00	5.800000e+00	1.576561e-01	1.048713e-02	1.048713e-02
5.800000e+00	5.900000e+00	1.464946e-01	1.010909e-02	1.010909e-02
5.900000e+00	6.000000e+00	1.450994e-01	1.006083e-02	1.006083e-02
6.000000e+00	6.100000e+00	1.304499e-01	9.539445e-03	9.539445e-03
6.100000e+00	6.200000e+00	1.269620e-01	9.411048e-03	9.411048e-03
6.200000e+00	6.300000e+00	1.276596e-01	9.436867e-03	9.436867e-03
6.300000e+00	6.400000e+00	1.088246e-01	8.712938e-03	8.712938e-03
6.400000e+00	6.500000e+00	1.234740e-01	9.280875e-03	9.280875e-03
6.500000e+00	6.600000e+00	1.011510e-01	8.400136e-03	8.400136e-03
6.600000e+00	6.700000e+00	1.109173e-01	8.796317e-03	8.796317e-03
6.700000e+00	6.800000e+00	1.004534e-01	8.371119e-03	8.371119e-03
6.800000e+00	6.900000e+00	1.046390e-01	8.543738e-03	8.543738e-03
6.900000e+00	7.000000e+00	9.626788e-02	8.194866e-03	8.194866e-03
7.000000e+00	7.100000e+00	7.534008e-02	7.249602e-03	7.249602e-03
7.100000e+00	7.200000e+00	7.115452e-02	7.045347e-03	7.045347e-03
7.200000e+00	7.300000e+00	6.766655e-02	6.870497e-03	6.870497e-03
7.300000e+00	7.400000e+00	4.604116e-02	5.667274e-03	5.667274e-03
7.400000e+00	7.500000e+00	4.394838e-02	5.536975e-03	5.536975e-03
7.500000e+00	7.600000e+00	3.906522e-02	5.220310e-03	5.220310e-03
7.600000e+00	7.700000e+00	3.906522e-02	5.220310e-03	5.220310e-03
7.700000e+00	7.800000e+00	2.650855e-02	4.300253e-03	4.300253e-03
7.800000e+00	7.900000e+00	2.720614e-02	4.356469e-03	4.356469e-03
7.900000e+00	8.000000e+00	1.813743e-02	3.557042e-03	3.557042e-03
8.000000e+00	8.100000e+00	1.813743e-02	3.557042e-03	3.557042e-03
8.100000e+00	8.200000e+00	1.464946e-02	3.196773e-03	3.196773e-03
8.200000e+00	8.300000e+00	1.604465e-02	3.345540e-03	3.345540e-03
8.300000e+00	8.400000e+00	8.371120e-03	2.416534e-03	2.416534e-03
8.400000e+00	8.500000e+00	4.185560e-03	1.708747e-03	1.708747e-03
8.500000e+00	8.600000e+00	8.371120e-03	2.416534e-03	2.416534e-03
8.600000e+00	8.700000e+00	6.975933e-03	2.205984e-03	2.205984e-03
8.700000e+00	8.800000e+00	4.185560e-03	1.708747e-03	1.708747e-03
8.800000e+00	8.900000e+00	4.185560e-03	1.708747e-03	1.708747e-03
8.900000e+00	9.000000e+00	2.092780e-03	1.208267e-03	1.208267e-03
9.000000e+00	9.100000e+00	3.487967e-03	1.559866e-03	1.559866e-03
9.100000e+00	9.200000e+00	4.185560e-03	1.708747e-03	1.708747e-03
9.200000e+00	9.300000e+00	2.790373e-03	1.395187e-03	1.395187e-03
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	6.975933e-04	6.975933e-04	6.975933e-04
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	6.975933e-04	6.975933e-04	6.975933e-04
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	1.395187e-03	9.865459e-04	9.865459e-04
1.000000e+01	1.010000e+01	6.975933e-04	6.975933e-04	6.975933e-04
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	1.395187e-03	9.865459e-04	9.865459e-04
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	6.975933e-04	6.975933e-04	6.975933e-04
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
