# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_0.5
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.975933e-03	6.975933e-03	6.975933e-03
1.000000e-02	2.000000e-02	6.975933e-03	6.975933e-03	6.975933e-03
2.000000e-02	3.000000e-02	1.255668e-01	2.959638e-02	2.959638e-02
3.000000e-02	4.000000e-02	4.115800e-01	5.358316e-02	5.358316e-02
4.000000e-02	5.000000e-02	8.580398e-01	7.736684e-02	7.736684e-02
5.000000e-02	6.000000e-02	1.485874e+00	1.018104e-01	1.018104e-01
6.000000e-02	7.000000e-02	2.183467e+00	1.234169e-01	1.234169e-01
7.000000e-02	8.000000e-02	2.692710e+00	1.370554e-01	1.370554e-01
8.000000e-02	9.000000e-02	2.971747e+00	1.439816e-01	1.439816e-01
9.000000e-02	1.000000e-01	3.697245e+00	1.605980e-01	1.605980e-01
1.000000e-01	1.100000e-01	3.494942e+00	1.561425e-01	1.561425e-01
1.100000e-01	1.200000e-01	3.257761e+00	1.507512e-01	1.507512e-01
1.200000e-01	1.300000e-01	3.418207e+00	1.544188e-01	1.544188e-01
1.300000e-01	1.400000e-01	3.104290e+00	1.471575e-01	1.471575e-01
1.400000e-01	1.500000e-01	2.901988e+00	1.422817e-01	1.422817e-01
1.500000e-01	1.600000e-01	2.713638e+00	1.375869e-01	1.375869e-01
1.600000e-01	1.700000e-01	2.657830e+00	1.361648e-01	1.361648e-01
1.700000e-01	1.800000e-01	2.595047e+00	1.345469e-01	1.345469e-01
1.800000e-01	1.900000e-01	2.329962e+00	1.274898e-01	1.274898e-01
1.900000e-01	2.000000e-01	2.183467e+00	1.234169e-01	1.234169e-01
2.000000e-01	2.100000e-01	1.960237e+00	1.169379e-01	1.169379e-01
2.100000e-01	2.200000e-01	2.023021e+00	1.187959e-01	1.187959e-01
2.200000e-01	2.300000e-01	1.911406e+00	1.154722e-01	1.154722e-01
2.300000e-01	2.400000e-01	1.499826e+00	1.022872e-01	1.022872e-01
2.400000e-01	2.500000e-01	1.827694e+00	1.129153e-01	1.129153e-01
2.500000e-01	2.600000e-01	1.618416e+00	1.062542e-01	1.062542e-01
2.600000e-01	2.700000e-01	1.485874e+00	1.018104e-01	1.018104e-01
2.700000e-01	2.800000e-01	1.492850e+00	1.020491e-01	1.020491e-01
