# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
RatioPlot=1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.397959e+01	7.821281e-01	7.821281e-01
1.000000e-02	2.000000e-02	2.331633e+01	7.712355e-01	7.712355e-01
2.000000e-02	3.000000e-02	1.051020e+01	5.178006e-01	5.178006e-01
3.000000e-02	4.000000e-02	6.632653e+00	4.113396e-01	4.113396e-01
4.000000e-02	5.000000e-02	5.280612e+00	3.670279e-01	3.670279e-01
5.000000e-02	6.000000e-02	3.545918e+00	3.007609e-01	3.007609e-01
6.000000e-02	7.000000e-02	3.367347e+00	2.930899e-01	2.930899e-01
7.000000e-02	8.000000e-02	2.270408e+00	2.406628e-01	2.406628e-01
8.000000e-02	9.000000e-02	1.836735e+00	2.164613e-01	2.164613e-01
9.000000e-02	1.000000e-01	1.479592e+00	1.942799e-01	1.942799e-01
1.000000e-01	1.100000e-01	1.505102e+00	1.959476e-01	1.959476e-01
1.100000e-01	1.200000e-01	1.275510e+00	1.803844e-01	1.803844e-01
1.200000e-01	1.300000e-01	9.948980e-01	1.593112e-01	1.593112e-01
1.300000e-01	1.400000e-01	1.301020e+00	1.821793e-01	1.821793e-01
1.400000e-01	1.500000e-01	9.948980e-01	1.593112e-01	1.593112e-01
1.500000e-01	1.600000e-01	8.673469e-01	1.487488e-01	1.487488e-01
1.600000e-01	1.700000e-01	8.163265e-01	1.443075e-01	1.443075e-01
1.700000e-01	1.800000e-01	8.673469e-01	1.487488e-01	1.487488e-01
1.800000e-01	1.900000e-01	6.632653e-01	1.300770e-01	1.300770e-01
1.900000e-01	2.000000e-01	9.438776e-01	1.551725e-01	1.551725e-01
2.000000e-01	2.100000e-01	6.887755e-01	1.325549e-01	1.325549e-01
2.100000e-01	2.200000e-01	4.336735e-01	1.051813e-01	1.051813e-01
2.200000e-01	2.300000e-01	3.826531e-01	9.880060e-02	9.880060e-02
2.300000e-01	2.400000e-01	5.612245e-01	1.196535e-01	1.196535e-01
2.400000e-01	2.500000e-01	4.591837e-01	1.082306e-01	1.082306e-01
2.500000e-01	2.600000e-01	2.806122e-01	8.460778e-02	8.460778e-02
2.600000e-01	2.700000e-01	2.295918e-01	7.653061e-02	7.653061e-02
