# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_1_alpha_2
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.040816e-01	7.215375e-02	7.215375e-02
1.000000e-02	2.000000e-02	6.122449e-01	1.249740e-01	1.249740e-01
2.000000e-02	3.000000e-02	2.091837e+00	2.310047e-01	2.310047e-01
3.000000e-02	4.000000e-02	4.081633e+00	3.226814e-01	3.226814e-01
4.000000e-02	5.000000e-02	5.484694e+00	3.740531e-01	3.740531e-01
5.000000e-02	6.000000e-02	5.102041e+00	3.607688e-01	3.607688e-01
6.000000e-02	7.000000e-02	6.938776e+00	4.207251e-01	4.207251e-01
7.000000e-02	8.000000e-02	5.969388e+00	3.902311e-01	3.902311e-01
8.000000e-02	9.000000e-02	4.821429e+00	3.507073e-01	3.507073e-01
9.000000e-02	1.000000e-01	4.719388e+00	3.469762e-01	3.469762e-01
1.000000e-01	1.100000e-01	4.107143e+00	3.236883e-01	3.236883e-01
1.100000e-01	1.200000e-01	3.571429e+00	3.018408e-01	3.018408e-01
1.200000e-01	1.300000e-01	3.214286e+00	2.863513e-01	2.863513e-01
1.300000e-01	1.400000e-01	3.137755e+00	2.829218e-01	2.829218e-01
1.400000e-01	1.500000e-01	2.219388e+00	2.379433e-01	2.379433e-01
1.500000e-01	1.600000e-01	1.989796e+00	2.253000e-01	2.253000e-01
1.600000e-01	1.700000e-01	1.836735e+00	2.164613e-01	2.164613e-01
1.700000e-01	1.800000e-01	1.862245e+00	2.179593e-01	2.179593e-01
1.800000e-01	1.900000e-01	1.454082e+00	1.925978e-01	1.925978e-01
1.900000e-01	2.000000e-01	1.556122e+00	1.992411e-01	1.992411e-01
2.000000e-01	2.100000e-01	1.428571e+00	1.909009e-01	1.909009e-01
2.100000e-01	2.200000e-01	1.556122e+00	1.992411e-01	1.992411e-01
2.200000e-01	2.300000e-01	1.224490e+00	1.767399e-01	1.767399e-01
2.300000e-01	2.400000e-01	1.198980e+00	1.748891e-01	1.748891e-01
2.400000e-01	2.500000e-01	1.352041e+00	1.857171e-01	1.857171e-01
2.500000e-01	2.600000e-01	9.948980e-01	1.593112e-01	1.593112e-01
2.600000e-01	2.700000e-01	8.928571e-01	1.509204e-01	1.509204e-01
2.700000e-01	2.800000e-01	1.122449e+00	1.692155e-01	1.692155e-01
2.800000e-01	2.900000e-01	1.020408e+00	1.613407e-01	1.613407e-01
2.900000e-01	3.000000e-01	7.397959e-01	1.373766e-01	1.373766e-01
3.000000e-01	3.100000e-01	7.908163e-01	1.420348e-01	1.420348e-01
3.100000e-01	3.200000e-01	6.632653e-01	1.300770e-01	1.300770e-01
3.200000e-01	3.300000e-01	7.142857e-01	1.349873e-01	1.349873e-01
3.300000e-01	3.400000e-01	5.612245e-01	1.196535e-01	1.196535e-01
3.400000e-01	3.500000e-01	6.377551e-01	1.275510e-01	1.275510e-01
3.500000e-01	3.600000e-01	6.887755e-01	1.325549e-01	1.325549e-01
3.600000e-01	3.700000e-01	6.377551e-01	1.275510e-01	1.275510e-01
3.700000e-01	3.800000e-01	6.632653e-01	1.300770e-01	1.300770e-01
3.800000e-01	3.900000e-01	5.867347e-01	1.223426e-01	1.223426e-01
3.900000e-01	4.000000e-01	6.377551e-01	1.275510e-01	1.275510e-01
4.000000e-01	4.100000e-01	4.081633e-01	1.020408e-01	1.020408e-01
4.100000e-01	4.200000e-01	3.826531e-01	9.880060e-02	9.880060e-02
