# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
ScaledBy=1.0
Title=eff-as012285-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.980828e-06	1.243050e-04	1.243050e-04
1.000000e-02	2.000000e-02	2.491241e-03	4.407632e-03	4.407632e-03
2.000000e-02	3.000000e-02	2.488088e-03	4.404328e-03	4.404328e-03
3.000000e-02	4.000000e-02	7.517325e-06	2.421567e-04	2.421567e-04
4.000000e-02	5.000000e-02	1.214990e-03	3.077727e-03	3.077727e-03
5.000000e-02	6.000000e-02	1.699524e-03	3.639216e-03	3.639216e-03
6.000000e-02	7.000000e-02	5.458187e-04	2.062990e-03	2.062990e-03
7.000000e-02	8.000000e-02	3.408749e-04	1.630424e-03	1.630424e-03
8.000000e-02	9.000000e-02	1.617336e-03	3.549071e-03	3.549071e-03
9.000000e-02	1.000000e-01	9.281662e-04	2.689345e-03	2.689345e-03
1.000000e-01	1.100000e-01	9.103079e-06	2.664752e-04	2.664752e-04
1.100000e-01	1.200000e-01	4.175764e-03	5.688968e-03	5.688968e-03
1.200000e-01	1.300000e-01	3.417842e-04	1.632414e-03	1.632414e-03
1.300000e-01	1.400000e-01	1.457899e-03	3.368115e-03	3.368115e-03
1.400000e-01	1.500000e-01	5.640635e-03	6.597781e-03	6.597781e-03
1.500000e-01	1.600000e-01	3.736108e-03	5.380313e-03	5.380313e-03
1.600000e-01	1.700000e-01	2.252798e-03	4.183783e-03	4.183783e-03
1.700000e-01	1.800000e-01	2.418250e-03	4.333131e-03	4.333131e-03
1.800000e-01	1.900000e-01	7.617014e-04	2.435061e-03	2.435061e-03
1.900000e-01	2.000000e-01	6.851542e-03	7.254718e-03	7.254718e-03
2.000000e-01	2.100000e-01	3.138404e-03	4.924343e-03	4.924343e-03
2.100000e-01	2.200000e-01	1.538467e-03	3.456486e-03	3.456486e-03
2.200000e-01	2.300000e-01	1.545569e-03	3.460992e-03	3.460992e-03
