# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=1.0
Title=eff-as012285-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	5.745275e-05	5.745276e-05	5.745276e-05
2.000000e-01	3.000000e-01	1.058850e-04	2.638474e-04	2.638474e-04
3.000000e-01	4.000000e-01	3.325795e-04	3.325795e-04	3.325795e-04
4.000000e-01	5.000000e-01	4.006168e-05	1.734623e-04	1.734623e-04
5.000000e-01	6.000000e-01	1.977315e-05	1.237669e-04	1.237669e-04
6.000000e-01	7.000000e-01	1.656470e-05	1.134488e-04	1.134488e-04
7.000000e-01	8.000000e-01	2.124712e-05	1.286340e-04	1.286340e-04
8.000000e-01	9.000000e-01	1.744589e-06	3.688871e-05	3.688871e-05
9.000000e-01	1.000000e+00	1.192656e-04	3.044147e-04	3.044147e-04
1.000000e+00	1.100000e+00	1.358621e-06	3.255414e-05	3.255414e-05
1.100000e+00	1.200000e+00	8.462562e-07	2.569285e-05	2.569285e-05
1.200000e+00	1.300000e+00	8.663476e-05	2.597754e-04	2.597754e-04
1.300000e+00	1.400000e+00	4.147269e-04	5.670911e-04	5.670911e-04
1.400000e+00	1.500000e+00	3.491372e-04	5.203954e-04	5.203954e-04
1.500000e+00	1.600000e+00	4.971436e-06	6.227193e-05	6.227193e-05
1.600000e+00	1.700000e+00	2.062704e-04	4.006699e-04	4.006699e-04
1.700000e+00	1.800000e+00	1.901422e-04	3.847792e-04	3.847792e-04
1.800000e+00	1.900000e+00	7.049103e-04	7.391991e-04	7.391991e-04
1.900000e+00	2.000000e+00	5.082014e-04	6.281649e-04	6.281649e-04
2.000000e+00	2.100000e+00	1.198135e-04	3.055599e-04	3.055599e-04
2.100000e+00	2.200000e+00	1.816059e-04	3.760926e-04	3.760926e-04
2.200000e+00	2.300000e+00	3.429159e-05	1.635289e-04	1.635289e-04
2.300000e+00	2.400000e+00	4.987532e-05	1.972059e-04	1.972059e-04
2.400000e+00	2.500000e+00	1.569349e-04	3.496525e-04	3.496525e-04
2.500000e+00	2.600000e+00	1.802287e-05	1.185622e-04	1.185622e-04
2.600000e+00	2.700000e+00	7.722431e-04	7.733990e-04	7.733990e-04
2.700000e+00	2.800000e+00	1.408388e-04	3.312708e-04	3.312708e-04
2.800000e+00	2.900000e+00	3.148600e-04	4.949405e-04	4.949405e-04
2.900000e+00	3.000000e+00	4.145223e-05	1.797939e-04	1.797939e-04
3.000000e+00	3.100000e+00	3.230659e-05	1.587284e-04	1.587284e-04
3.100000e+00	3.200000e+00	1.130664e-04	2.968596e-04	2.968596e-04
3.200000e+00	3.300000e+00	2.188684e-04	4.128481e-04	4.128481e-04
3.300000e+00	3.400000e+00	3.912352e-04	5.516609e-04	5.516609e-04
3.400000e+00	3.500000e+00	1.278367e-04	3.156333e-04	3.156333e-04
3.500000e+00	3.600000e+00	1.100882e-04	2.929261e-04	2.929261e-04
3.600000e+00	3.700000e+00	2.580331e-05	1.418603e-04	1.418603e-04
3.700000e+00	3.800000e+00	5.254707e-04	6.390871e-04	6.390871e-04
3.800000e+00	3.900000e+00	3.423518e-04	5.161944e-04	5.161944e-04
3.900000e+00	4.000000e+00	4.558523e-04	5.953209e-04	5.953209e-04
4.000000e+00	4.100000e+00	1.247049e-03	9.813173e-04	9.813173e-04
4.100000e+00	4.200000e+00	4.259910e-04	5.755223e-04	5.755223e-04
4.200000e+00	4.300000e+00	7.935240e-05	2.487299e-04	2.487299e-04
4.300000e+00	4.400000e+00	1.504074e-04	3.423380e-04	3.423380e-04
4.400000e+00	4.500000e+00	2.379570e-04	4.304985e-04	4.304985e-04
4.500000e+00	4.600000e+00	1.376079e-04	3.274644e-04	3.274644e-04
4.600000e+00	4.700000e+00	8.414954e-04	8.076440e-04	8.076440e-04
4.700000e+00	4.800000e+00	1.963565e-05	1.237539e-04	1.237539e-04
4.800000e+00	4.900000e+00	1.801574e-07	1.185471e-05	1.185471e-05
4.900000e+00	5.000000e+00	1.257037e-04	3.130028e-04	3.130028e-04
5.000000e+00	5.100000e+00	6.565022e-07	2.262989e-05	2.262989e-05
5.100000e+00	5.200000e+00	4.954153e-05	1.965533e-04	1.965533e-04
5.200000e+00	5.300000e+00	3.189501e-05	1.577177e-04	1.577177e-04
5.300000e+00	5.400000e+00	2.884609e-04	4.738916e-04	4.738916e-04
5.400000e+00	5.500000e+00	1.596501e-05	1.115905e-04	1.115905e-04
5.500000e+00	5.600000e+00	1.116623e-04	2.950250e-04	2.950250e-04
5.600000e+00	5.700000e+00	4.144123e-04	5.677604e-04	5.677604e-04
5.700000e+00	5.800000e+00	5.466549e-04	6.519561e-04	6.519561e-04
5.800000e+00	5.900000e+00	8.265224e-07	2.539167e-05	2.539167e-05
5.900000e+00	6.000000e+00	2.113469e-06	4.060321e-05	4.060321e-05
6.000000e+00	6.100000e+00	1.265384e-04	3.140515e-04	3.140515e-04
6.100000e+00	6.200000e+00	1.179687e-08	3.033532e-06	3.033532e-06
6.200000e+00	6.300000e+00	7.193989e-04	7.472553e-04	7.472553e-04
6.300000e+00	6.400000e+00	6.163530e-04	6.921501e-04	6.921501e-04
6.400000e+00	6.500000e+00	1.948516e-05	1.232798e-04	1.232798e-04
6.500000e+00	6.600000e+00	1.881827e-04	3.829318e-04	3.829318e-04
6.600000e+00	6.700000e+00	2.729072e-05	1.458943e-04	1.458943e-04
6.700000e+00	6.800000e+00	1.316639e-03	1.009601e-03	1.009601e-03
6.800000e+00	6.900000e+00	7.923270e-04	7.844172e-04	7.844172e-04
6.900000e+00	7.000000e+00	1.287595e-04	3.168043e-04	3.168043e-04
7.000000e+00	7.100000e+00	3.681551e-04	5.353398e-04	5.353398e-04
7.100000e+00	7.200000e+00	1.382382e-03	1.034716e-03	1.034716e-03
7.200000e+00	7.300000e+00	1.554200e-03	1.096526e-03	1.096526e-03
7.300000e+00	7.400000e+00	2.210581e-03	1.305697e-03	1.305697e-03
7.400000e+00	7.500000e+00	2.943314e-03	1.504333e-03	1.504333e-03
7.500000e+00	7.600000e+00	6.491385e-03	2.217413e-03	2.217413e-03
7.600000e+00	7.700000e+00	4.276910e-03	1.807724e-03	1.807724e-03
7.700000e+00	7.800000e+00	6.856785e-03	2.277318e-03	2.277318e-03
7.800000e+00	7.900000e+00	6.927677e-03	2.288797e-03	2.288797e-03
7.900000e+00	8.000000e+00	1.066693e-02	2.815882e-03	2.815882e-03
8.000000e+00	8.100000e+00	2.213453e-02	3.974185e-03	3.974185e-03
8.100000e+00	8.200000e+00	1.424256e-02	3.225668e-03	3.225668e-03
8.200000e+00	8.300000e+00	1.104412e-02	2.861999e-03	2.861999e-03
8.300000e+00	8.400000e+00	5.966885e-03	2.123530e-03	2.123530e-03
8.400000e+00	8.500000e+00	7.496501e-03	2.370215e-03	2.370215e-03
8.500000e+00	8.600000e+00	4.968166e-03	1.942523e-03	1.942523e-03
8.600000e+00	8.700000e+00	4.645817e-03	1.879445e-03	1.879445e-03
8.700000e+00	8.800000e+00	3.747763e-03	1.689473e-03	1.689473e-03
8.800000e+00	8.900000e+00	2.033921e-03	1.251262e-03	1.251262e-03
8.900000e+00	9.000000e+00	1.108721e-04	2.939582e-04	2.939582e-04
9.000000e+00	9.100000e+00	5.106537e-05	1.995416e-04	1.995416e-04
9.100000e+00	9.200000e+00	6.499925e-05	2.251056e-04	2.251056e-04
9.200000e+00	9.300000e+00	2.035286e-04	3.980650e-04	3.980650e-04
9.300000e+00	9.400000e+00	1.682259e-05	1.145446e-04	1.145446e-04
9.400000e+00	9.500000e+00	1.427601e-03	1.045795e-03	1.045795e-03
9.500000e+00	9.600000e+00	2.419768e-03	1.350753e-03	1.350753e-03
9.600000e+00	9.700000e+00	5.599695e-03	1.985973e-03	1.985973e-03
9.700000e+00	9.800000e+00	4.976744e-03	1.872486e-03	1.872486e-03
9.800000e+00	9.900000e+00	6.510894e-03	2.104753e-03	2.104753e-03
9.900000e+00	1.000000e+01	6.719788e-03	2.106809e-03	2.106809e-03
1.000000e+01	1.010000e+01	1.067726e-02	2.436777e-03	2.436777e-03
1.010000e+01	1.020000e+01	1.002826e-02	2.418958e-03	2.418958e-03
1.020000e+01	1.030000e+01	9.691157e-03	2.240729e-03	2.240729e-03
1.030000e+01	1.040000e+01	1.452428e-02	2.404092e-03	2.404092e-03
1.040000e+01	1.050000e+01	1.500624e-02	2.310169e-03	2.310169e-03
1.050000e+01	1.060000e+01	1.229765e-02	2.048603e-03	2.048603e-03
1.060000e+01	1.070000e+01	8.439243e-03	2.027750e-03	2.027750e-03
1.070000e+01	1.080000e+01	1.270761e-02	1.287192e-03	1.287192e-03
1.080000e+01	1.090000e+01	1.482282e-02	9.228281e-04	9.228281e-04
1.090000e+01	1.100000e+01	1.021962e-02	1.643144e-03	1.643144e-03
1.100000e+01	1.110000e+01	1.089556e-02	1.667897e-03	1.667897e-03
1.110000e+01	1.120000e+01	9.040241e-03	1.595994e-03	1.595994e-03
1.120000e+01	1.130000e+01	1.051386e-02	7.772067e-04	7.772067e-04
1.130000e+01	1.140000e+01	8.698638e-03	1.174224e-03	1.174224e-03
1.140000e+01	1.150000e+01	6.258952e-03	1.455368e-03	1.455368e-03
1.150000e+01	1.160000e+01	4.411743e-03	1.205696e-03	1.205696e-03
1.160000e+01	1.170000e+01	4.650101e-03	1.018928e-03	1.018928e-03
1.170000e+01	1.180000e+01	4.136599e-03	4.875029e-04	4.875029e-04
1.180000e+01	1.190000e+01	2.288847e-03	8.607036e-04	8.607036e-04
1.190000e+01	1.200000e+01	2.288847e-03	8.607036e-04	8.607036e-04
1.200000e+01	1.210000e+01	1.630572e-03	7.858108e-04	7.858108e-04
1.210000e+01	1.220000e+01	1.953395e-03	3.350044e-04	3.350044e-04
1.220000e+01	1.230000e+01	3.168829e-04	4.439916e-04	4.439916e-04
1.230000e+01	1.240000e+01	1.321414e-03	2.755338e-04	2.755338e-04
1.240000e+01	1.250000e+01	5.911714e-04	5.658229e-04	5.658229e-04
1.250000e+01	1.260000e+01	1.034150e-03	2.437515e-04	2.437515e-04
1.260000e+01	1.270000e+01	2.749395e-04	4.186278e-04	4.186278e-04
1.270000e+01	1.280000e+01	7.468860e-04	2.071489e-04	2.071489e-04
1.280000e+01	1.290000e+01	7.468860e-04	2.071489e-04	2.071489e-04
1.290000e+01	1.300000e+01	4.596222e-04	1.625010e-04	1.625010e-04
1.300000e+01	1.310000e+01	4.021694e-04	1.520057e-04	1.520057e-04
1.310000e+01	1.320000e+01	3.447167e-04	1.407300e-04	1.407300e-04
1.320000e+01	1.330000e+01	3.447166e-04	1.407300e-04	1.407300e-04
1.330000e+01	1.340000e+01	4.021694e-04	1.520057e-04	1.520057e-04
1.340000e+01	1.350000e+01	2.872639e-04	1.284683e-04	1.284683e-04
1.350000e+01	1.360000e+01	2.872639e-04	1.284683e-04	1.284683e-04
1.360000e+01	1.370000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.370000e+01	1.380000e+01	4.021694e-04	1.520057e-04	1.520057e-04
1.380000e+01	1.390000e+01	2.872639e-04	1.284683e-04	1.284683e-04
1.390000e+01	1.400000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.400000e+01	1.410000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.410000e+01	1.420000e+01	2.298111e-04	1.149055e-04	1.149055e-04
1.420000e+01	1.430000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.430000e+01	1.440000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.440000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.460000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.460000e+01	1.470000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.470000e+01	1.480000e+01	5.745275e-05	5.745276e-05	5.745276e-05
1.480000e+01	1.490000e+01	1.149056e-04	8.125049e-05	8.125049e-05
