# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.0
Title=eff-as012285-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	3.312947e-06	5.073590e-05	5.073590e-05
3.000000e-01	4.000000e-01	6.524951e-07	2.255804e-05	2.255804e-05
4.000000e-01	5.000000e-01	1.466160e-03	1.030126e-03	1.030126e-03
5.000000e-01	6.000000e-01	1.020310e-03	8.798585e-04	8.798585e-04
6.000000e-01	7.000000e-01	1.154209e-03	9.417370e-04	9.417370e-04
7.000000e-01	8.000000e-01	2.527163e-03	1.389871e-03	1.389871e-03
8.000000e-01	9.000000e-01	8.852178e-04	8.286392e-04	8.286392e-04
9.000000e-01	1.000000e+00	6.322672e-04	7.011845e-04	7.011845e-04
1.000000e+00	1.100000e+00	6.637791e-04	7.185072e-04	7.185072e-04
1.100000e+00	1.200000e+00	3.540351e-03	1.651320e-03	1.651320e-03
1.200000e+00	1.300000e+00	1.669887e-03	1.138076e-03	1.138076e-03
1.300000e+00	1.400000e+00	4.418865e-03	1.844914e-03	1.844914e-03
1.400000e+00	1.500000e+00	1.539355e-03	1.093452e-03	1.093452e-03
1.500000e+00	1.600000e+00	4.507337e-03	1.864365e-03	1.864365e-03
1.600000e+00	1.700000e+00	1.862633e-03	1.202579e-03	1.202579e-03
1.700000e+00	1.800000e+00	4.353924e-03	1.833745e-03	1.833745e-03
1.800000e+00	1.900000e+00	7.984197e-03	2.474454e-03	2.474454e-03
1.900000e+00	2.000000e+00	4.094158e-03	1.779505e-03	1.779505e-03
2.000000e+00	2.100000e+00	1.299928e-02	3.144943e-03	3.144943e-03
2.100000e+00	2.200000e+00	8.259142e-03	2.517945e-03	2.517945e-03
2.200000e+00	2.300000e+00	2.143456e-02	4.011558e-03	4.011558e-03
2.300000e+00	2.400000e+00	3.381350e-02	4.999991e-03	4.999991e-03
2.400000e+00	2.500000e+00	4.128257e-02	5.500236e-03	5.500236e-03
2.500000e+00	2.600000e+00	5.747082e-02	6.429668e-03	6.429668e-03
2.600000e+00	2.700000e+00	6.810737e-02	6.955880e-03	6.955880e-03
2.700000e+00	2.800000e+00	4.852188e-02	5.936315e-03	5.936315e-03
2.800000e+00	2.900000e+00	1.813562e-02	3.701889e-03	3.701889e-03
2.900000e+00	3.000000e+00	1.135290e-02	2.943842e-03	2.943842e-03
3.000000e+00	3.100000e+00	7.400695e-06	7.597968e-05	7.597968e-05
3.100000e+00	3.200000e+00	6.028914e-03	2.147990e-03	2.147990e-03
3.200000e+00	3.300000e+00	1.960047e-02	3.759897e-03	3.759897e-03
3.300000e+00	3.400000e+00	3.601965e-02	4.822264e-03	4.822264e-03
3.400000e+00	3.500000e+00	5.363914e-02	5.383823e-03	5.383823e-03
3.500000e+00	3.600000e+00	5.516141e-02	5.192381e-03	5.192381e-03
3.600000e+00	3.700000e+00	6.463333e-02	4.983844e-03	4.983844e-03
3.700000e+00	3.800000e+00	6.494281e-02	4.350082e-03	4.350082e-03
3.800000e+00	3.900000e+00	6.038038e-02	4.122679e-03	4.122679e-03
3.900000e+00	4.000000e+00	5.727641e-02	3.550505e-03	3.550505e-03
4.000000e+00	4.100000e+00	4.566713e-02	3.513500e-03	3.513500e-03
4.100000e+00	4.200000e+00	5.360955e-02	2.441124e-03	2.441124e-03
4.200000e+00	4.300000e+00	3.927399e-02	3.181122e-03	3.181122e-03
4.300000e+00	4.400000e+00	4.188076e-02	2.085805e-03	2.085805e-03
4.400000e+00	4.500000e+00	3.703415e-02	2.530221e-03	2.530221e-03
4.500000e+00	4.600000e+00	3.619876e-02	2.000310e-03	2.000310e-03
4.600000e+00	4.700000e+00	3.509475e-02	1.737622e-03	1.737622e-03
4.700000e+00	4.800000e+00	3.061514e-02	1.659852e-03	1.659852e-03
4.800000e+00	4.900000e+00	2.619351e-02	1.578659e-03	1.578659e-03
4.900000e+00	5.000000e+00	2.693997e-02	1.592717e-03	1.592717e-03
5.000000e+00	5.100000e+00	2.286346e-02	1.513947e-03	1.513947e-03
5.100000e+00	5.200000e+00	2.016592e-02	1.076377e-03	1.076377e-03
5.200000e+00	5.300000e+00	1.597643e-02	1.366645e-03	1.366645e-03
5.300000e+00	5.400000e+00	1.591442e-02	9.562047e-04	9.562047e-04
5.400000e+00	5.500000e+00	1.150408e-02	1.255545e-03	1.255545e-03
5.500000e+00	5.600000e+00	8.847725e-03	7.129702e-04	7.129702e-04
5.600000e+00	5.700000e+00	8.043390e-03	6.797904e-04	6.797904e-04
5.700000e+00	5.800000e+00	4.940939e-03	5.327950e-04	5.327950e-04
5.800000e+00	5.900000e+00	3.332261e-03	4.375473e-04	4.375473e-04
5.900000e+00	6.000000e+00	2.872639e-03	4.062524e-04	4.062524e-04
6.000000e+00	6.100000e+00	2.010847e-03	3.398952e-04	3.398952e-04
6.100000e+00	6.200000e+00	9.766970e-04	2.368838e-04	2.368838e-04
6.200000e+00	6.300000e+00	1.263961e-03	2.694774e-04	2.694774e-04
6.300000e+00	6.400000e+00	5.745275e-04	1.816816e-04	1.816816e-04
6.400000e+00	6.500000e+00	4.596222e-04	1.625010e-04	1.625010e-04
6.500000e+00	6.600000e+00	4.021694e-04	1.520057e-04	1.520057e-04
6.600000e+00	6.700000e+00	2.872638e-04	1.284683e-04	1.284683e-04
6.700000e+00	6.800000e+00	2.298111e-04	1.149055e-04	1.149055e-04
6.800000e+00	6.900000e+00	1.723583e-04	9.951112e-05	9.951112e-05
6.900000e+00	7.000000e+00	2.298111e-04	1.149055e-04	1.149055e-04
7.000000e+00	7.100000e+00	1.723583e-04	9.951112e-05	9.951112e-05
7.100000e+00	7.200000e+00	1.149055e-04	8.125049e-05	8.125049e-05
7.200000e+00	7.300000e+00	5.745275e-05	5.745276e-05	5.745276e-05
7.300000e+00	7.400000e+00	1.149055e-04	8.125049e-05	8.125049e-05
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	1.723583e-04	9.951112e-05	9.951112e-05
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	5.745275e-05	5.745276e-05	5.745276e-05
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	5.745275e-05	5.745276e-05	5.745276e-05
8.100000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+01	1.260000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+01	1.270000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.270000e+01	1.280000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.280000e+01	1.290000e+01	0.000000e+00	0.000000e+00	0.000000e+00
