# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_2_alpha_2
ScaledBy=1.0
Title=eff-as012285-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	5.745275e-05	5.745276e-05	5.745276e-05
2.000000e-01	3.000000e-01	1.058850e-04	2.638474e-04	2.638474e-04
3.000000e-01	4.000000e-01	3.325795e-04	3.325795e-04	3.325795e-04
4.000000e-01	5.000000e-01	4.006168e-05	1.734623e-04	1.734623e-04
5.000000e-01	6.000000e-01	1.977315e-05	1.237669e-04	1.237669e-04
6.000000e-01	7.000000e-01	1.656470e-05	1.134488e-04	1.134488e-04
7.000000e-01	8.000000e-01	3.069522e-05	1.545394e-04	1.545394e-04
8.000000e-01	9.000000e-01	4.784869e-06	6.108685e-05	6.108685e-05
9.000000e-01	1.000000e+00	1.777394e-04	3.712476e-04	3.712476e-04
1.000000e+00	1.100000e+00	3.755171e-08	5.412276e-06	5.412276e-06
1.100000e+00	1.200000e+00	1.512105e-05	1.085880e-04	1.085880e-04
1.200000e+00	1.300000e+00	4.880875e-05	1.950421e-04	1.950421e-04
1.300000e+00	1.400000e+00	4.132016e-04	5.659667e-04	5.659667e-04
1.400000e+00	1.500000e+00	2.101186e-04	4.041205e-04	4.041205e-04
1.500000e+00	1.600000e+00	7.094271e-06	7.438705e-05	7.438705e-05
1.600000e+00	1.700000e+00	7.396271e-05	2.400849e-04	2.400849e-04
1.700000e+00	1.800000e+00	2.160316e-04	4.100227e-04	4.100227e-04
1.800000e+00	1.900000e+00	4.126620e-04	5.661055e-04	5.661055e-04
1.900000e+00	2.000000e+00	4.305061e-04	5.780827e-04	5.780827e-04
2.000000e+00	2.100000e+00	9.888765e-06	8.782388e-05	8.782388e-05
2.100000e+00	2.200000e+00	5.163329e-04	6.327715e-04	6.327715e-04
2.200000e+00	2.300000e+00	9.588221e-06	8.647902e-05	8.647902e-05
2.300000e+00	2.400000e+00	1.664208e-04	3.599939e-04	3.599939e-04
2.400000e+00	2.500000e+00	7.774286e-05	2.461635e-04	2.461635e-04
2.500000e+00	2.600000e+00	9.193538e-06	8.468142e-05	8.468142e-05
2.600000e+00	2.700000e+00	8.598673e-04	8.150915e-04	8.150915e-04
2.700000e+00	2.800000e+00	1.070843e-04	2.888755e-04	2.888755e-04
2.800000e+00	2.900000e+00	2.015834e-04	3.961746e-04	3.961746e-04
2.900000e+00	3.000000e+00	5.307044e-06	6.434015e-05	6.434015e-05
3.000000e+00	3.100000e+00	3.364706e-05	1.619847e-04	1.619847e-04
3.100000e+00	3.200000e+00	1.613151e-04	3.545011e-04	3.545011e-04
3.200000e+00	3.300000e+00	1.094560e-04	2.920742e-04	2.920742e-04
3.300000e+00	3.400000e+00	3.161916e-04	4.960542e-04	4.960542e-04
3.400000e+00	3.500000e+00	1.677390e-04	3.614912e-04	3.614912e-04
3.500000e+00	3.600000e+00	1.161361e-05	9.517661e-05	9.517661e-05
3.600000e+00	3.700000e+00	1.212224e-05	9.723820e-05	9.723820e-05
3.700000e+00	3.800000e+00	2.954961e-04	4.796270e-04	4.796270e-04
3.800000e+00	3.900000e+00	9.095134e-04	8.398795e-04	8.398795e-04
3.900000e+00	4.000000e+00	3.196698e-04	4.988062e-04	4.988062e-04
4.000000e+00	4.100000e+00	8.217612e-04	7.981227e-04	7.981227e-04
4.100000e+00	4.200000e+00	8.096024e-05	2.512348e-04	2.512348e-04
4.200000e+00	4.300000e+00	7.427752e-05	2.406535e-04	2.406535e-04
4.300000e+00	4.400000e+00	1.874516e-05	1.209157e-04	1.209157e-04
4.400000e+00	4.500000e+00	2.030315e-04	3.977210e-04	3.977210e-04
4.500000e+00	4.600000e+00	1.376091e-04	3.274831e-04	3.274831e-04
4.600000e+00	4.700000e+00	4.643099e-04	6.008986e-04	6.008986e-04
4.700000e+00	4.800000e+00	5.169467e-05	2.007788e-04	2.007788e-04
4.800000e+00	4.900000e+00	5.043306e-05	1.983153e-04	1.983153e-04
4.900000e+00	5.000000e+00	1.393865e-04	3.296068e-04	3.296068e-04
5.000000e+00	5.100000e+00	3.551951e-05	1.664392e-04	1.664392e-04
5.100000e+00	5.200000e+00	4.526089e-06	5.941841e-05	5.941841e-05
5.200000e+00	5.300000e+00	1.704731e-04	3.644911e-04	3.644911e-04
5.300000e+00	5.400000e+00	5.278853e-05	2.028939e-04	2.028939e-04
5.400000e+00	5.500000e+00	3.009955e-06	4.845533e-05	4.845533e-05
5.500000e+00	5.600000e+00	3.431453e-05	1.635924e-04	1.635924e-04
5.600000e+00	5.700000e+00	8.197676e-06	7.996520e-05	7.996520e-05
5.700000e+00	5.800000e+00	6.504742e-04	7.111552e-04	7.111552e-04
5.800000e+00	5.900000e+00	3.264516e-04	5.041899e-04	5.041899e-04
5.900000e+00	6.000000e+00	2.990425e-04	4.826275e-04	4.826275e-04
6.000000e+00	6.100000e+00	1.452740e-04	3.365116e-04	3.365116e-04
6.100000e+00	6.200000e+00	2.792391e-05	1.475782e-04	1.475782e-04
6.200000e+00	6.300000e+00	5.728617e-05	2.113620e-04	2.113620e-04
6.300000e+00	6.400000e+00	1.766997e-03	1.169198e-03	1.169198e-03
6.400000e+00	6.500000e+00	3.743630e-04	5.399105e-04	5.399105e-04
6.500000e+00	6.600000e+00	2.649223e-03	1.429273e-03	1.429273e-03
6.600000e+00	6.700000e+00	1.049536e-03	9.027445e-04	9.027445e-04
6.700000e+00	6.800000e+00	3.265154e-03	1.584099e-03	1.584099e-03
6.800000e+00	6.900000e+00	3.605883e-03	1.664082e-03	1.664082e-03
6.900000e+00	7.000000e+00	5.963677e-03	2.131068e-03	2.131068e-03
7.000000e+00	7.100000e+00	5.135568e-03	1.981031e-03	1.981031e-03
7.100000e+00	7.200000e+00	7.466952e-03	2.378608e-03	2.378608e-03
7.200000e+00	7.300000e+00	6.665700e-03	2.249672e-03	2.249672e-03
7.300000e+00	7.400000e+00	7.366109e-03	2.362992e-03	2.362992e-03
7.400000e+00	7.500000e+00	9.430486e-03	2.661443e-03	2.661443e-03
7.500000e+00	7.600000e+00	5.427517e-03	2.034360e-03	2.034360e-03
7.600000e+00	7.700000e+00	6.899448e-03	2.286948e-03	2.286948e-03
7.700000e+00	7.800000e+00	7.633766e-03	2.401859e-03	2.401859e-03
7.800000e+00	7.900000e+00	5.664139e-03	2.075859e-03	2.075859e-03
7.900000e+00	8.000000e+00	8.287595e-03	2.495027e-03	2.495027e-03
8.000000e+00	8.100000e+00	6.572204e-03	2.229307e-03	2.229307e-03
8.100000e+00	8.200000e+00	5.115896e-03	1.971836e-03	1.971836e-03
8.200000e+00	8.300000e+00	6.845721e-04	7.293002e-04	7.293002e-04
8.300000e+00	8.400000e+00	9.821629e-04	8.726567e-04	8.726567e-04
8.400000e+00	8.500000e+00	1.860210e-04	3.806780e-04	3.806780e-04
8.500000e+00	8.600000e+00	3.218920e-05	1.584411e-04	1.584411e-04
8.600000e+00	8.700000e+00	5.314322e-04	6.424482e-04	6.424482e-04
8.700000e+00	8.800000e+00	1.116901e-03	9.281836e-04	9.281836e-04
8.800000e+00	8.900000e+00	3.705112e-03	1.665268e-03	1.665268e-03
8.900000e+00	9.000000e+00	6.562669e-03	2.162546e-03	2.162546e-03
9.000000e+00	9.100000e+00	6.937331e-03	2.197085e-03	2.197085e-03
9.100000e+00	9.200000e+00	8.462416e-03	2.382914e-03	2.382914e-03
9.200000e+00	9.300000e+00	7.173513e-03	2.225828e-03	2.225828e-03
9.300000e+00	9.400000e+00	5.635291e-03	1.983405e-03	1.983405e-03
9.400000e+00	9.500000e+00	1.329926e-02	2.720783e-03	2.720783e-03
9.500000e+00	9.600000e+00	1.844677e-02	2.722527e-03	2.722527e-03
9.600000e+00	9.700000e+00	1.006508e-02	2.383265e-03	2.383265e-03
9.700000e+00	9.800000e+00	9.637942e-03	2.314281e-03	2.314281e-03
9.800000e+00	9.900000e+00	1.489214e-02	2.367165e-03	2.367165e-03
9.900000e+00	1.000000e+01	1.343176e-02	2.174223e-03	2.174223e-03
1.000000e+01	1.010000e+01	1.401007e-02	2.119077e-03	2.119077e-03
1.010000e+01	1.020000e+01	1.673061e-02	1.989483e-03	1.989483e-03
1.020000e+01	1.030000e+01	1.305567e-02	1.555110e-03	1.555110e-03
1.030000e+01	1.040000e+01	1.317622e-02	1.882399e-03	1.882399e-03
1.040000e+01	1.050000e+01	1.261450e-02	1.863053e-03	1.863053e-03
1.050000e+01	1.060000e+01	1.117542e-02	1.501719e-03	1.501719e-03
1.060000e+01	1.070000e+01	9.769759e-03	1.625803e-03	1.625803e-03
1.070000e+01	1.080000e+01	1.011169e-02	7.621972e-04	7.621972e-04
1.080000e+01	1.090000e+01	1.114584e-02	8.002245e-04	8.002245e-04
1.090000e+01	1.100000e+01	8.584249e-03	1.170611e-03	1.170611e-03
1.100000e+01	1.110000e+01	8.755840e-03	1.176020e-03	1.176020e-03
1.110000e+01	1.120000e+01	7.555346e-03	1.136686e-03	1.136686e-03
1.120000e+01	1.130000e+01	7.411410e-03	6.525381e-04	6.525381e-04
1.130000e+01	1.140000e+01	7.009240e-03	6.345867e-04	6.345867e-04
1.140000e+01	1.150000e+01	5.077305e-03	1.249544e-03	1.249544e-03
1.150000e+01	1.160000e+01	4.768580e-03	5.234198e-04	5.234198e-04
1.160000e+01	1.170000e+01	2.901416e-03	9.130658e-04	9.130658e-04
1.170000e+01	1.180000e+01	2.872638e-03	4.062524e-04	4.062524e-04
1.180000e+01	1.190000e+01	1.414857e-03	7.544501e-04	7.544501e-04
1.190000e+01	1.200000e+01	2.183206e-03	3.541627e-04	3.541627e-04
1.200000e+01	1.210000e+01	1.044538e-03	6.876353e-04	6.876353e-04
1.210000e+01	1.220000e+01	1.436320e-03	2.872639e-04	2.872639e-04
1.220000e+01	1.230000e+01	8.043390e-04	2.149686e-04	2.149686e-04
1.230000e+01	1.240000e+01	6.319805e-04	1.905493e-04	1.905493e-04
1.240000e+01	1.250000e+01	2.749395e-04	4.186278e-04	4.186278e-04
1.250000e+01	1.260000e+01	7.468860e-04	2.071489e-04	2.071489e-04
1.260000e+01	1.270000e+01	6.319805e-04	1.905493e-04	1.905493e-04
1.270000e+01	1.280000e+01	6.319805e-04	1.905493e-04	1.905493e-04
1.280000e+01	1.290000e+01	2.298111e-04	1.149055e-04	1.149055e-04
1.290000e+01	1.300000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.300000e+01	1.310000e+01	3.447167e-04	1.407300e-04	1.407300e-04
1.310000e+01	1.320000e+01	3.447167e-04	1.407300e-04	1.407300e-04
1.320000e+01	1.330000e+01	2.872638e-04	1.284683e-04	1.284683e-04
1.330000e+01	1.340000e+01	2.298111e-04	1.149055e-04	1.149055e-04
1.340000e+01	1.350000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.350000e+01	1.360000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.360000e+01	1.370000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.370000e+01	1.380000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.380000e+01	1.390000e+01	2.298111e-04	1.149055e-04	1.149055e-04
1.390000e+01	1.400000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.400000e+01	1.410000e+01	1.723583e-04	9.951112e-05	9.951112e-05
1.410000e+01	1.420000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.420000e+01	1.430000e+01	1.149055e-04	8.125049e-05	8.125049e-05
1.430000e+01	1.440000e+01	5.745275e-05	5.745276e-05	5.745276e-05
1.440000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.460000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.460000e+01	1.470000e+01	1.149056e-04	8.125049e-05	8.125049e-05
1.470000e+01	1.480000e+01	5.745275e-05	5.745276e-05	5.745276e-05
1.480000e+01	1.490000e+01	0.000000e+00	0.000000e+00	0.000000e+00
