# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-gluon.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as012285-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_0_alpha_0.5
ScaledBy=1.0
Title=eff-as012285-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.843969e-04	3.752121e-04	3.752121e-04
1.000000e-01	2.000000e-01	7.262903e-04	7.491349e-04	7.491349e-04
2.000000e-01	3.000000e-01	5.511411e-06	6.556814e-05	6.556814e-05
3.000000e-01	4.000000e-01	3.544672e-05	1.662777e-04	1.662777e-04
4.000000e-01	5.000000e-01	1.977247e-04	3.926216e-04	3.926216e-04
5.000000e-01	6.000000e-01	7.976248e-06	7.887869e-05	7.887869e-05
6.000000e-01	7.000000e-01	4.276498e-05	1.826341e-04	1.826341e-04
7.000000e-01	8.000000e-01	6.024983e-06	6.855498e-05	6.855498e-05
8.000000e-01	9.000000e-01	3.353466e-05	1.617292e-04	1.617292e-04
9.000000e-01	1.000000e+00	7.431591e-06	7.613783e-05	7.613783e-05
1.000000e+00	1.100000e+00	2.933019e-05	1.512518e-04	1.512518e-04
1.100000e+00	1.200000e+00	8.126547e-04	7.949497e-04	7.949497e-04
1.200000e+00	1.300000e+00	4.388372e-04	5.845824e-04	5.845824e-04
1.300000e+00	1.400000e+00	7.030897e-04	7.395222e-04	7.395222e-04
1.400000e+00	1.500000e+00	4.048368e-04	5.614770e-04	5.614770e-04
1.500000e+00	1.600000e+00	1.847875e-04	3.795196e-04	3.795196e-04
1.600000e+00	1.700000e+00	1.993779e-04	3.942051e-04	3.942051e-04
1.700000e+00	1.800000e+00	1.026972e-03	8.930998e-04	8.930998e-04
1.800000e+00	1.900000e+00	7.577526e-04	7.675449e-04	7.675449e-04
1.900000e+00	2.000000e+00	1.463208e-03	1.064681e-03	1.064681e-03
2.000000e+00	2.100000e+00	6.800770e-04	7.272316e-04	7.272316e-04
2.100000e+00	2.200000e+00	4.832127e-04	6.132727e-04	6.132727e-04
2.200000e+00	2.300000e+00	3.645046e-06	5.332284e-05	5.332284e-05
2.300000e+00	2.400000e+00	5.986397e-04	6.824729e-04	6.824729e-04
2.400000e+00	2.500000e+00	2.440317e-04	4.360554e-04	4.360554e-04
2.500000e+00	2.600000e+00	1.302781e-03	1.004772e-03	1.004772e-03
2.600000e+00	2.700000e+00	4.242586e-04	5.746971e-04	5.746971e-04
2.700000e+00	2.800000e+00	4.927533e-04	6.192692e-04	6.192692e-04
2.800000e+00	2.900000e+00	1.250390e-05	9.875871e-05	9.875871e-05
2.900000e+00	3.000000e+00	4.148570e-04	5.683230e-04	5.683230e-04
3.000000e+00	3.100000e+00	9.426604e-05	2.711134e-04	2.711134e-04
3.100000e+00	3.200000e+00	2.602898e-03	1.417698e-03	1.417698e-03
3.200000e+00	3.300000e+00	1.083016e-04	2.905887e-04	2.905887e-04
3.300000e+00	3.400000e+00	1.066482e-03	9.101318e-04	9.101318e-04
3.400000e+00	3.500000e+00	1.599773e-03	1.113628e-03	1.113628e-03
3.500000e+00	3.600000e+00	2.197523e-03	1.303743e-03	1.303743e-03
3.600000e+00	3.700000e+00	3.453315e-03	1.630514e-03	1.630514e-03
3.700000e+00	3.800000e+00	1.265398e-02	3.074139e-03	3.074139e-03
3.800000e+00	3.900000e+00	1.449071e-02	3.277922e-03	3.277922e-03
3.900000e+00	4.000000e+00	5.646971e-03	2.076252e-03	2.076252e-03
4.000000e+00	4.100000e+00	1.689431e-02	3.523873e-03	3.523873e-03
4.100000e+00	4.200000e+00	2.065778e-02	3.870164e-03	3.870164e-03
4.200000e+00	4.300000e+00	1.749989e-02	3.577626e-03	3.577626e-03
4.300000e+00	4.400000e+00	1.723517e-02	3.545031e-03	3.545031e-03
4.400000e+00	4.500000e+00	1.430298e-02	3.238965e-03	3.238965e-03
4.500000e+00	4.600000e+00	9.053894e-03	2.598922e-03	2.598922e-03
4.600000e+00	4.700000e+00	1.189331e-02	2.955309e-03	2.955309e-03
4.700000e+00	4.800000e+00	6.759865e-03	2.251747e-03	2.251747e-03
4.800000e+00	4.900000e+00	8.508709e-03	2.510177e-03	2.510177e-03
4.900000e+00	5.000000e+00	2.768621e-03	1.455510e-03	1.455510e-03
5.000000e+00	5.100000e+00	1.457532e-03	1.059447e-03	1.059447e-03
5.100000e+00	5.200000e+00	5.865437e-04	6.742604e-04	6.742604e-04
5.200000e+00	5.300000e+00	2.842297e-04	4.700416e-04	4.700416e-04
5.300000e+00	5.400000e+00	4.947677e-04	6.192309e-04	6.192309e-04
5.400000e+00	5.500000e+00	6.575903e-04	7.108288e-04	7.108288e-04
5.500000e+00	5.600000e+00	1.575447e-06	3.505561e-05	3.505561e-05
5.600000e+00	5.700000e+00	8.848170e-04	8.181845e-04	8.181845e-04
5.700000e+00	5.800000e+00	2.704469e-04	4.557751e-04	4.557751e-04
5.800000e+00	5.900000e+00	5.126453e-05	1.996365e-04	1.996365e-04
5.900000e+00	6.000000e+00	2.864178e-04	4.664335e-04	4.664335e-04
6.000000e+00	6.100000e+00	1.789993e-03	1.101988e-03	1.101988e-03
6.100000e+00	6.200000e+00	7.947767e-04	7.497240e-04	7.497240e-04
6.200000e+00	6.300000e+00	5.067511e-04	5.890723e-04	5.890723e-04
6.300000e+00	6.400000e+00	1.184890e-04	2.993201e-04	2.993201e-04
6.400000e+00	6.500000e+00	1.159868e-03	8.380558e-04	8.380558e-04
6.500000e+00	6.600000e+00	2.533756e-04	4.165370e-04	4.165370e-04
6.600000e+00	6.700000e+00	1.854867e-05	1.195990e-04	1.195990e-04
6.700000e+00	6.800000e+00	3.312947e-06	5.073590e-05	5.073590e-05
6.800000e+00	6.900000e+00	3.312947e-06	5.073590e-05	5.073590e-05
6.900000e+00	7.000000e+00	1.723583e-04	9.951112e-05	9.951112e-05
7.000000e+00	7.100000e+00	1.723583e-04	9.951112e-05	9.951112e-05
7.100000e+00	7.200000e+00	2.872638e-04	1.284683e-04	1.284683e-04
7.200000e+00	7.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e+00	7.400000e+00	5.745275e-05	5.745276e-05	5.745276e-05
7.400000e+00	7.500000e+00	6.651590e-04	4.703384e-04	4.703384e-04
7.500000e+00	7.600000e+00	3.325795e-04	3.325795e-04	3.325795e-04
7.600000e+00	7.700000e+00	5.745275e-05	5.745276e-05	5.745276e-05
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	5.745275e-05	5.745276e-05	5.745276e-05
8.200000e+00	8.300000e+00	5.745275e-05	5.745276e-05	5.745276e-05
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
