# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-gluon.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-gluon.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as013650-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_0.5
ScaledBy=1.0
Title=eff-as013650-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.306663e-01	5.165359e-02	5.165359e-02
1.000000e-02	2.000000e-02	7.864620e-01	6.782556e-02	6.782556e-02
2.000000e-02	3.000000e-02	7.847830e-01	9.095677e-02	9.095677e-02
3.000000e-02	4.000000e-02	4.196466e-01	9.183126e-02	9.183126e-02
4.000000e-02	5.000000e-02	4.055884e-01	9.274998e-02	9.274998e-02
5.000000e-02	6.000000e-02	6.614050e-02	4.104835e-02	4.104835e-02
6.000000e-02	7.000000e-02	7.891094e-03	1.430862e-02	1.430862e-02
7.000000e-02	8.000000e-02	1.999391e-02	2.275422e-02	2.275422e-02
8.000000e-02	9.000000e-02	2.139144e-02	2.353569e-02	2.353569e-02
9.000000e-02	1.000000e-01	7.925997e-02	4.510652e-02	4.510652e-02
1.000000e-01	1.100000e-01	1.127672e-01	5.368238e-02	5.368238e-02
1.100000e-01	1.200000e-01	1.169894e-01	5.466675e-02	5.466675e-02
1.200000e-01	1.300000e-01	1.015110e-01	5.096846e-02	5.096846e-02
1.300000e-01	1.400000e-01	1.295551e-01	5.745388e-02	5.745388e-02
1.400000e-01	1.500000e-01	4.596383e-02	3.442337e-02	3.442337e-02
1.500000e-01	1.600000e-01	3.672938e-02	3.078976e-02	3.078976e-02
1.600000e-01	1.700000e-01	1.249817e-02	1.799954e-02	1.799954e-02
1.700000e-01	1.800000e-01	3.498742e-03	9.532472e-03	9.532472e-03
1.800000e-01	1.900000e-01	9.240739e-04	4.900506e-03	4.900506e-03
1.900000e-01	2.000000e-01	1.675161e-02	2.081601e-02	2.081601e-02
2.000000e-01	2.100000e-01	1.578751e-02	2.020762e-02	2.020762e-02
2.100000e-01	2.200000e-01	1.926611e-04	2.237826e-03	2.237826e-03
2.200000e-01	2.300000e-01	8.473198e-04	4.692349e-03	4.692349e-03
2.300000e-01	2.400000e-01	3.038380e-04	2.810200e-03	2.810200e-03
2.400000e-01	2.500000e-01	2.644029e-03	8.285437e-03	8.285437e-03
2.500000e-01	2.600000e-01	1.499039e-03	6.239908e-03	6.239908e-03
2.600000e-01	2.700000e-01	1.894099e-03	7.013035e-03	7.013035e-03
2.700000e-01	2.800000e-01	1.398125e-06	1.906417e-04	1.906417e-04
2.800000e-01	2.900000e-01	2.582404e-03	8.187104e-03	8.187104e-03
2.900000e-01	3.000000e-01	1.016525e-03	5.138651e-03	5.138651e-03
3.000000e-01	3.100000e-01	7.375963e-03	1.380664e-02	1.380664e-02
3.100000e-01	3.200000e-01	1.197704e-02	1.754984e-02	1.754984e-02
3.200000e-01	3.300000e-01	9.539368e-04	4.977890e-03	4.977890e-03
3.300000e-01	3.400000e-01	1.696432e-02	2.082545e-02	2.082545e-02
3.400000e-01	3.500000e-01	9.285818e-03	1.546649e-02	1.546649e-02
3.500000e-01	3.600000e-01	3.876266e-03	1.001933e-02	1.001933e-02
3.600000e-01	3.700000e-01	1.975229e-03	7.158190e-03	7.158190e-03
3.700000e-01	3.800000e-01	5.345452e-05	1.178760e-03	1.178760e-03
3.800000e-01	3.900000e-01	3.849732e-06	3.163438e-04	3.163438e-04
3.900000e-01	4.000000e-01	3.849732e-06	3.163438e-04	3.163438e-04
4.000000e-01	4.100000e-01	1.374380e-02	1.872243e-02	1.872243e-02
4.100000e-01	4.200000e-01	4.737496e-02	3.364206e-02	3.364206e-02
4.200000e-01	4.300000e-01	2.928748e-03	8.707575e-03	8.707575e-03
4.300000e-01	4.400000e-01	1.207561e-02	1.755230e-02	1.755230e-02
4.400000e-01	4.500000e-01	8.673582e-05	1.501471e-03	1.501471e-03
