# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
ScaledBy=1.0
Title=eff-as015015-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.804781e-01	1.421063e-02	1.421063e-02
1.000000e-02	2.000000e-02	6.839768e-01	2.480716e-02	2.480716e-02
2.000000e-02	3.000000e-02	1.207586e+00	3.967097e-02	3.967097e-02
3.000000e-02	4.000000e-02	1.418753e+00	6.426468e-02	6.426468e-02
4.000000e-02	5.000000e-02	1.118503e+00	7.380327e-02	7.380327e-02
5.000000e-02	6.000000e-02	5.158090e-01	5.723132e-02	5.723132e-02
6.000000e-02	7.000000e-02	2.380401e-02	1.293925e-02	1.293925e-02
7.000000e-02	8.000000e-02	2.791189e-02	1.401111e-02	1.401111e-02
8.000000e-02	9.000000e-02	8.179379e-02	2.391091e-02	2.391091e-02
9.000000e-02	1.000000e-01	1.987168e-01	3.701916e-02	3.701916e-02
1.000000e-01	1.100000e-01	1.362480e-01	3.073228e-02	3.073228e-02
1.100000e-01	1.200000e-01	1.236924e-01	2.928204e-02	2.928204e-02
1.200000e-01	1.300000e-01	5.105188e-02	1.890072e-02	1.890072e-02
1.300000e-01	1.400000e-01	5.350394e-02	1.933697e-02	1.933697e-02
1.400000e-01	1.500000e-01	1.976244e-02	1.178543e-02	1.178543e-02
1.500000e-01	1.600000e-01	3.032223e-02	1.457836e-02	1.457836e-02
1.600000e-01	1.700000e-01	5.584245e-03	6.273101e-03	6.273101e-03
1.700000e-01	1.800000e-01	1.383178e-02	9.860784e-03	9.860784e-03
1.800000e-01	1.900000e-01	2.482661e-02	1.318855e-02	1.318855e-02
1.900000e-01	2.000000e-01	7.903288e-03	7.458448e-03	7.458448e-03
2.000000e-01	2.100000e-01	1.085998e-02	8.737864e-03	8.737864e-03
2.100000e-01	2.200000e-01	3.946059e-03	5.272889e-03	5.272889e-03
2.200000e-01	2.300000e-01	1.016829e-02	8.453291e-03	8.453291e-03
