# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_2
ScaledBy=1.0
Title=eff-as015015-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.705025e-06	6.342716e-05	6.342716e-05
1.000000e-01	2.000000e-01	6.104066e-05	2.073864e-04	2.073864e-04
2.000000e-01	3.000000e-01	2.266543e-06	3.999238e-05	3.999238e-05
3.000000e-01	4.000000e-01	1.159764e-04	2.859734e-04	2.859734e-04
4.000000e-01	5.000000e-01	1.931816e-05	1.167496e-04	1.167496e-04
5.000000e-01	6.000000e-01	2.686847e-04	4.350677e-04	4.350677e-04
6.000000e-01	7.000000e-01	2.185265e-05	1.241705e-04	1.241705e-04
7.000000e-01	8.000000e-01	1.442628e-05	1.008914e-04	1.008914e-04
8.000000e-01	9.000000e-01	1.207578e-04	2.917883e-04	2.917883e-04
9.000000e-01	1.000000e+00	4.962651e-06	5.917635e-05	5.917635e-05
1.000000e+00	1.100000e+00	6.495814e-04	6.753620e-04	6.753620e-04
1.100000e+00	1.200000e+00	1.020803e-04	2.682871e-04	2.682871e-04
1.200000e+00	1.300000e+00	8.619026e-05	2.465397e-04	2.465397e-04
1.300000e+00	1.400000e+00	1.239827e-05	9.353192e-05	9.353192e-05
1.400000e+00	1.500000e+00	3.039305e-05	1.464332e-04	1.464332e-04
1.500000e+00	1.600000e+00	4.323834e-05	1.746502e-04	1.746502e-04
1.600000e+00	1.700000e+00	5.368831e-05	1.946042e-04	1.946042e-04
1.700000e+00	1.800000e+00	6.554733e-04	6.784675e-04	6.784675e-04
1.800000e+00	1.900000e+00	7.971216e-05	2.370999e-04	2.370999e-04
1.900000e+00	2.000000e+00	9.083776e-07	2.531808e-05	2.531808e-05
2.000000e+00	2.100000e+00	2.134666e-04	3.878056e-04	3.878056e-04
2.100000e+00	2.200000e+00	8.973082e-05	2.515547e-04	2.515547e-04
2.200000e+00	2.300000e+00	3.133991e-05	1.486961e-04	1.486961e-04
2.300000e+00	2.400000e+00	2.021531e-04	3.774332e-04	3.774332e-04
2.400000e+00	2.500000e+00	2.098642e-04	3.845639e-04	3.845639e-04
2.500000e+00	2.600000e+00	2.793620e-04	4.435670e-04	4.435670e-04
2.600000e+00	2.700000e+00	2.118878e-03	1.213128e-03	1.213128e-03
2.700000e+00	2.800000e+00	9.671774e-07	2.612466e-05	2.612466e-05
2.800000e+00	2.900000e+00	1.708623e-03	1.091154e-03	1.091154e-03
2.900000e+00	3.000000e+00	1.294308e-03	9.513905e-04	9.513905e-04
3.000000e+00	3.100000e+00	1.339443e-04	3.073085e-04	3.073085e-04
3.100000e+00	3.200000e+00	1.110204e-03	8.815930e-04	8.815930e-04
3.200000e+00	3.300000e+00	1.193144e-03	9.138965e-04	9.138965e-04
3.300000e+00	3.400000e+00	3.944297e-04	5.269298e-04	5.269298e-04
3.400000e+00	3.500000e+00	8.080952e-04	7.532989e-04	7.532989e-04
3.500000e+00	3.600000e+00	6.767312e-05	2.184859e-04	2.184859e-04
3.600000e+00	3.700000e+00	6.886523e-04	6.957394e-04	6.957394e-04
3.700000e+00	3.800000e+00	4.453931e-04	5.599311e-04	5.599311e-04
3.800000e+00	3.900000e+00	1.869898e-06	3.632503e-05	3.632503e-05
3.900000e+00	4.000000e+00	2.355100e-04	4.074426e-04	4.074426e-04
4.000000e+00	4.100000e+00	5.923011e-04	6.456762e-04	6.456762e-04
4.100000e+00	4.200000e+00	6.346011e-04	6.683570e-04	6.683570e-04
4.200000e+00	4.300000e+00	4.826511e-03	1.830865e-03	1.830865e-03
4.300000e+00	4.400000e+00	6.528467e-03	2.125507e-03	2.125507e-03
4.400000e+00	4.500000e+00	7.590396e-03	2.289433e-03	2.289433e-03
4.500000e+00	4.600000e+00	1.198033e-02	2.863645e-03	2.863645e-03
4.600000e+00	4.700000e+00	9.642851e-03	2.578626e-03	2.578626e-03
4.700000e+00	4.800000e+00	1.008617e-02	2.637806e-03	2.637806e-03
4.800000e+00	4.900000e+00	8.225876e-03	2.387158e-03	2.387158e-03
4.900000e+00	5.000000e+00	6.694527e-03	2.157307e-03	2.157307e-03
5.000000e+00	5.100000e+00	4.899082e-03	1.848673e-03	1.848673e-03
5.100000e+00	5.200000e+00	2.649677e-03	1.362341e-03	1.362341e-03
5.200000e+00	5.300000e+00	1.230996e-02	2.892366e-03	2.892366e-03
5.300000e+00	5.400000e+00	2.247118e-02	3.829356e-03	3.829356e-03
5.400000e+00	5.500000e+00	1.050962e-02	2.656580e-03	2.656580e-03
5.500000e+00	5.600000e+00	2.348935e-02	3.833647e-03	3.833647e-03
5.600000e+00	5.700000e+00	1.466376e-02	3.053079e-03	3.053079e-03
5.700000e+00	5.800000e+00	1.299042e-02	2.871214e-03	2.871214e-03
5.800000e+00	5.900000e+00	1.824146e-02	3.302809e-03	3.302809e-03
5.900000e+00	6.000000e+00	1.119897e-02	2.636268e-03	2.636268e-03
6.000000e+00	6.100000e+00	8.239539e-03	2.265294e-03	2.265294e-03
6.100000e+00	6.200000e+00	7.313338e-03	2.132558e-03	2.132558e-03
6.200000e+00	6.300000e+00	6.187521e-03	1.958694e-03	1.958694e-03
6.300000e+00	6.400000e+00	6.613504e-03	1.997618e-03	1.997618e-03
6.400000e+00	6.500000e+00	3.349478e-03	1.450049e-03	1.450049e-03
6.500000e+00	6.600000e+00	3.370813e-03	1.438780e-03	1.438780e-03
6.600000e+00	6.700000e+00	4.045026e-04	5.278544e-04	5.278544e-04
6.700000e+00	6.800000e+00	3.258707e-03	1.398402e-03	1.398402e-03
6.800000e+00	6.900000e+00	1.869562e-03	1.070768e-03	1.070768e-03
6.900000e+00	7.000000e+00	6.399543e-03	1.812287e-03	1.812287e-03
7.000000e+00	7.100000e+00	2.928257e-03	1.273037e-03	1.273037e-03
7.100000e+00	7.200000e+00	3.051161e-03	1.280929e-03	1.280929e-03
7.200000e+00	7.300000e+00	1.996540e-03	1.051176e-03	1.051176e-03
7.300000e+00	7.400000e+00	2.061492e-03	1.035820e-03	1.035820e-03
7.400000e+00	7.500000e+00	4.218772e-04	5.240438e-04	5.240438e-04
7.500000e+00	7.600000e+00	1.527023e-03	9.131926e-04	9.131926e-04
