# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-gluon.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/eff-as015015-quark.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_2
ScaledBy=1.0
Title=eff-as015015-quark
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.779484e-03	7.408748e-03	7.408748e-03
1.000000e-02	2.000000e-02	2.702950e-01	4.339012e-02	4.339012e-02
2.000000e-02	3.000000e-02	7.266883e-03	7.157519e-03	7.157519e-03
3.000000e-02	4.000000e-02	2.057580e-02	1.202263e-02	1.202263e-02
4.000000e-02	5.000000e-02	1.368585e-02	9.806709e-03	9.806709e-03
5.000000e-02	6.000000e-02	2.924272e-02	1.428361e-02	1.428361e-02
6.000000e-02	7.000000e-02	2.936290e-03	4.548941e-03	4.548941e-03
7.000000e-02	8.000000e-02	1.135686e-02	8.924978e-03	8.924978e-03
8.000000e-02	9.000000e-02	5.940851e-04	2.047153e-03	2.047153e-03
9.000000e-02	1.000000e-01	1.129413e-03	2.822070e-03	2.822070e-03
1.000000e-01	1.100000e-01	2.969179e-05	4.577333e-04	4.577333e-04
1.100000e-01	1.200000e-01	1.189413e-03	2.895701e-03	2.895701e-03
1.200000e-01	1.300000e-01	6.697826e-03	6.852835e-03	6.852835e-03
1.300000e-01	1.400000e-01	1.116863e-04	8.877169e-04	8.877169e-04
1.400000e-01	1.500000e-01	1.637463e-03	3.396578e-03	3.396578e-03
1.500000e-01	1.600000e-01	9.773023e-04	2.624614e-03	2.624614e-03
1.600000e-01	1.700000e-01	4.858709e-04	1.851117e-03	1.851117e-03
1.700000e-01	1.800000e-01	4.303061e-03	5.494934e-03	5.494934e-03
1.800000e-01	1.900000e-01	1.092387e-02	8.708442e-03	8.708442e-03
1.900000e-01	2.000000e-01	1.883223e-03	3.640646e-03	3.640646e-03
2.000000e-01	2.100000e-01	3.422259e-03	4.901230e-03	4.901230e-03
2.100000e-01	2.200000e-01	1.669380e-04	1.085234e-03	1.085234e-03
2.200000e-01	2.300000e-01	1.372911e-06	9.842825e-05	9.842825e-05
