# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1
RatioPlot=1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.1_beta_2_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.002949e-01	3.857012e-02	3.857012e-02
1.000000e-02	2.000000e-02	2.395740e-01	2.578430e-02	2.578430e-02
2.000000e-02	3.000000e-02	3.739872e-02	1.028589e-02	1.028589e-02
3.000000e-02	4.000000e-02	6.732545e-03	4.369756e-03	4.369756e-03
4.000000e-02	5.000000e-02	3.466852e-04	9.918881e-04	9.918881e-04
5.000000e-02	6.000000e-02	2.091797e-03	2.436178e-03	2.436178e-03
6.000000e-02	7.000000e-02	8.018579e-03	4.767830e-03	4.767830e-03
7.000000e-02	8.000000e-02	3.886081e-03	3.319938e-03	3.319938e-03
8.000000e-02	9.000000e-02	1.498621e-02	6.513106e-03	6.513106e-03
9.000000e-02	1.000000e-01	1.193083e-02	5.812384e-03	5.812384e-03
1.000000e-01	1.100000e-01	1.355913e-02	6.194239e-03	6.194239e-03
1.100000e-01	1.200000e-01	2.845123e-03	2.840578e-03	2.840578e-03
1.200000e-01	1.300000e-01	1.226853e-02	5.891318e-03	5.891318e-03
1.300000e-01	1.400000e-01	2.461850e-03	2.642290e-03	2.642290e-03
1.400000e-01	1.500000e-01	1.722522e-02	6.972099e-03	6.972099e-03
1.500000e-01	1.600000e-01	8.063365e-03	4.777048e-03	4.777048e-03
1.600000e-01	1.700000e-01	5.646690e-03	3.998725e-03	3.998725e-03
1.700000e-01	1.800000e-01	1.156091e-02	5.713988e-03	5.713988e-03
1.800000e-01	1.900000e-01	1.065494e-02	5.485248e-03	5.485248e-03
1.900000e-01	2.000000e-01	9.900073e-03	5.287463e-03	5.287463e-03
2.000000e-01	2.100000e-01	4.363127e-03	3.514599e-03	3.514599e-03
2.100000e-01	2.200000e-01	8.875041e-03	5.004955e-03	5.004955e-03
2.200000e-01	2.300000e-01	1.975388e-02	7.436952e-03	7.436952e-03
2.300000e-01	2.400000e-01	3.453939e-03	3.127071e-03	3.127071e-03
2.400000e-01	2.500000e-01	7.033141e-06	1.412786e-04	1.412786e-04
2.500000e-01	2.600000e-01	9.010139e-03	5.037125e-03	5.037125e-03
2.600000e-01	2.700000e-01	1.233982e-02	5.884781e-03	5.884781e-03
2.700000e-01	2.800000e-01	6.462395e-03	4.268770e-03	4.268770e-03
2.800000e-01	2.900000e-01	6.497877e-03	4.279684e-03	4.279684e-03
