# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_0_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.125230e-01	4.404848e-02	4.404848e-02
1.000000e-02	2.000000e-02	2.310519e-04	8.096871e-04	8.096871e-04
2.000000e-02	3.000000e-02	2.380614e-02	8.200324e-03	8.200324e-03
3.000000e-02	4.000000e-02	2.912163e-02	9.069584e-03	9.069584e-03
4.000000e-02	5.000000e-02	1.252716e-03	1.885307e-03	1.885307e-03
5.000000e-02	6.000000e-02	1.417419e-03	2.005364e-03	2.005364e-03
6.000000e-02	7.000000e-02	3.889425e-04	1.050577e-03	1.050577e-03
7.000000e-02	8.000000e-02	1.503916e-03	2.065593e-03	2.065593e-03
8.000000e-02	9.000000e-02	3.374695e-03	3.093516e-03	3.093516e-03
9.000000e-02	1.000000e-01	3.994194e-04	1.064624e-03	1.064624e-03
1.000000e-01	1.100000e-01	6.213048e-03	4.195726e-03	4.195726e-03
1.100000e-01	1.200000e-01	5.882306e-03	4.082496e-03	4.082496e-03
1.200000e-01	1.300000e-01	1.325401e-03	1.939074e-03	1.939074e-03
1.300000e-01	1.400000e-01	1.858264e-03	2.295817e-03	2.295817e-03
1.400000e-01	1.500000e-01	2.134660e-03	2.460456e-03	2.460456e-03
1.500000e-01	1.600000e-01	1.246815e-03	1.880671e-03	1.880671e-03
1.600000e-01	1.700000e-01	7.136071e-03	4.494558e-03	4.494558e-03
1.700000e-01	1.800000e-01	4.547144e-03	3.589380e-03	3.589380e-03
1.800000e-01	1.900000e-01	1.961779e-03	2.358649e-03	2.358649e-03
1.900000e-01	2.000000e-01	4.592679e-03	3.607031e-03	3.607031e-03
2.000000e-01	2.100000e-01	2.961398e-03	2.897250e-03	2.897250e-03
2.100000e-01	2.200000e-01	5.767827e-03	4.040719e-03	4.040719e-03
2.200000e-01	2.300000e-01	5.832346e-03	4.063132e-03	4.063132e-03
2.300000e-01	2.400000e-01	2.739607e-03	2.786607e-03	2.786607e-03
2.400000e-01	2.500000e-01	1.408969e-02	6.302271e-03	6.302271e-03
2.500000e-01	2.600000e-01	8.452246e-06	1.548774e-04	1.548774e-04
2.600000e-01	2.700000e-01	5.084834e-03	3.793728e-03	3.793728e-03
2.700000e-01	2.800000e-01	1.720214e-02	6.953749e-03	6.953749e-03
2.800000e-01	2.900000e-01	1.242425e-02	5.917377e-03	5.917377e-03
2.900000e-01	3.000000e-01	4.132262e-03	3.420388e-03	3.420388e-03
3.000000e-01	3.100000e-01	1.121747e-02	5.623182e-03	5.623182e-03
3.100000e-01	3.200000e-01	6.423299e-03	4.260465e-03	4.260465e-03
3.200000e-01	3.300000e-01	7.818958e-03	4.698121e-03	4.698121e-03
3.300000e-01	3.400000e-01	3.360030e-03	3.084186e-03	3.084186e-03
3.400000e-01	3.500000e-01	1.662866e-02	6.826577e-03	6.826577e-03
3.500000e-01	3.600000e-01	4.659414e-03	3.629460e-03	3.629460e-03
3.600000e-01	3.700000e-01	8.241299e-03	4.818855e-03	4.818855e-03
3.700000e-01	3.800000e-01	5.355974e-04	1.232589e-03	1.232589e-03
3.800000e-01	3.900000e-01	6.330164e-03	4.225445e-03	4.225445e-03
3.900000e-01	4.000000e-01	1.144361e-02	5.666065e-03	5.666065e-03
4.000000e-01	4.100000e-01	8.670486e-03	4.938031e-03	4.938031e-03
4.100000e-01	4.200000e-01	1.586299e-03	2.119684e-03	2.119684e-03
4.200000e-01	4.300000e-01	7.341297e-03	4.544502e-03	4.544502e-03
4.300000e-01	4.400000e-01	4.117417e-03	3.408567e-03	3.408567e-03
4.400000e-01	4.500000e-01	1.599151e-02	6.659688e-03	6.659688e-03
4.500000e-01	4.600000e-01	4.306961e-03	3.484007e-03	3.484007e-03
4.600000e-01	4.700000e-01	3.282411e-03	3.043717e-03	3.043717e-03
4.700000e-01	4.800000e-01	8.099699e-03	4.754437e-03	4.754437e-03
4.800000e-01	4.900000e-01	3.963496e-03	3.340200e-03	3.340200e-03
4.900000e-01	5.000000e-01	6.059610e-03	4.116775e-03	4.116775e-03
5.000000e-01	5.100000e-01	4.454241e-04	1.123702e-03	1.123702e-03
5.100000e-01	5.200000e-01	6.348176e-03	4.206789e-03	4.206789e-03
5.200000e-01	5.300000e-01	2.382683e-03	2.590925e-03	2.590925e-03
5.300000e-01	5.400000e-01	3.027248e-03	2.913597e-03	2.913597e-03
5.400000e-01	5.500000e-01	3.419223e-03	3.093917e-03	3.093917e-03
5.500000e-01	5.600000e-01	4.385346e-03	3.490125e-03	3.490125e-03
5.600000e-01	5.700000e-01	3.767448e-03	3.232662e-03	3.232662e-03
