# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	1.414307e-04	1.000066e-04	1.000066e-04
2.000000e-01	3.000000e-01	2.346875e-04	2.358181e-04	2.358181e-04
3.000000e-01	4.000000e-01	4.559548e-04	3.516096e-04	3.516096e-04
4.000000e-01	5.000000e-01	1.303647e-03	5.983174e-04	5.983174e-04
5.000000e-01	6.000000e-01	2.502428e-03	8.318054e-04	8.318054e-04
6.000000e-01	7.000000e-01	2.359143e-03	8.130672e-04	8.130672e-04
7.000000e-01	8.000000e-01	3.877819e-03	1.041932e-03	1.041932e-03
8.000000e-01	9.000000e-01	3.144793e-03	9.409717e-04	9.409717e-04
9.000000e-01	1.000000e+00	3.782934e-03	1.032139e-03	1.032139e-03
1.000000e+00	1.100000e+00	4.168570e-03	1.083739e-03	1.083739e-03
1.100000e+00	1.200000e+00	4.428954e-03	1.117294e-03	1.117294e-03
1.200000e+00	1.300000e+00	7.127883e-03	1.415210e-03	1.415210e-03
1.300000e+00	1.400000e+00	3.167774e-03	9.461750e-04	9.461750e-04
1.400000e+00	1.500000e+00	1.677580e-03	6.892677e-04	6.892677e-04
1.500000e+00	1.600000e+00	3.012351e-03	9.228526e-04	9.228526e-04
1.600000e+00	1.700000e+00	1.426606e-03	6.357362e-04	6.357362e-04
1.700000e+00	1.800000e+00	9.333451e-04	5.143558e-04	5.143558e-04
1.800000e+00	1.900000e+00	1.273427e-04	1.900872e-04	1.900872e-04
1.900000e+00	2.000000e+00	6.823116e-05	1.391468e-04	1.391468e-04
2.000000e+00	2.100000e+00	8.352582e-05	1.539519e-04	1.539519e-04
2.100000e+00	2.200000e+00	5.775925e-04	4.046702e-04	4.046702e-04
2.200000e+00	2.300000e+00	4.272213e-04	3.480574e-04	3.480574e-04
2.300000e+00	2.400000e+00	3.611400e-03	1.008487e-03	1.008487e-03
2.400000e+00	2.500000e+00	3.233899e-03	9.541215e-04	9.541215e-04
2.500000e+00	2.600000e+00	5.129807e-03	1.197167e-03	1.197167e-03
2.600000e+00	2.700000e+00	6.245052e-03	1.316840e-03	1.316840e-03
2.700000e+00	2.800000e+00	8.462778e-03	1.521109e-03	1.521109e-03
2.800000e+00	2.900000e+00	9.700573e-03	1.615690e-03	1.615690e-03
2.900000e+00	3.000000e+00	8.778976e-03	1.530854e-03	1.530854e-03
