# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.674387e-04	2.735719e-04	2.735719e-04
1.000000e-01	2.000000e-01	8.646652e-04	4.936637e-04	4.936637e-04
2.000000e-01	3.000000e-01	8.389845e-04	4.875192e-04	4.875192e-04
3.000000e-01	4.000000e-01	6.748893e-04	4.374037e-04	4.374037e-04
4.000000e-01	5.000000e-01	1.818719e-03	7.174312e-04	7.174312e-04
5.000000e-01	6.000000e-01	4.348820e-04	3.511985e-04	3.511985e-04
6.000000e-01	7.000000e-01	1.482076e-03	6.478519e-04	6.478519e-04
7.000000e-01	8.000000e-01	1.175738e-03	5.771629e-04	5.771629e-04
8.000000e-01	9.000000e-01	7.699341e-04	4.671802e-04	4.671802e-04
9.000000e-01	1.000000e+00	5.126751e-04	3.812939e-04	3.812939e-04
1.000000e+00	1.100000e+00	5.898504e-04	4.089610e-04	4.089610e-04
1.100000e+00	1.200000e+00	3.705313e-04	3.241867e-04	3.241867e-04
1.200000e+00	1.300000e+00	5.362394e-04	3.899406e-04	3.899406e-04
1.300000e+00	1.400000e+00	7.188086e-05	1.428185e-04	1.428185e-04
1.400000e+00	1.500000e+00	1.379682e-06	1.978755e-05	1.978755e-05
1.500000e+00	1.600000e+00	6.109712e-05	1.316709e-04	1.316709e-04
1.600000e+00	1.700000e+00	4.858459e-06	3.713216e-05	3.713216e-05
1.700000e+00	1.800000e+00	2.146703e-05	7.805123e-05	7.805123e-05
1.800000e+00	1.900000e+00	2.146720e-04	2.467692e-04	2.467692e-04
1.900000e+00	2.000000e+00	7.609960e-05	1.469453e-04	1.469453e-04
2.000000e+00	2.100000e+00	1.288814e-03	6.037161e-04	6.037161e-04
2.100000e+00	2.200000e+00	1.685743e-03	6.899408e-04	6.899408e-04
2.200000e+00	2.300000e+00	7.178323e-04	4.507672e-04	4.507672e-04
2.300000e+00	2.400000e+00	7.274268e-04	4.536711e-04	4.536711e-04
2.400000e+00	2.500000e+00	2.719594e-03	8.726653e-04	8.726653e-04
2.500000e+00	2.600000e+00	1.122744e-03	5.625078e-04	5.625078e-04
2.600000e+00	2.700000e+00	3.872394e-03	1.032649e-03	1.032649e-03
2.700000e+00	2.800000e+00	1.985047e-03	7.434445e-04	7.434445e-04
2.800000e+00	2.900000e+00	3.057723e-03	9.141560e-04	9.141560e-04
2.900000e+00	3.000000e+00	2.026320e-03	7.468395e-04	7.468395e-04
