# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.756466e-04	2.213398e-04	2.213398e-04
1.000000e-01	2.000000e-01	4.717400e-04	3.643065e-04	3.643065e-04
2.000000e-01	3.000000e-01	6.882297e-04	4.410185e-04	4.410185e-04
3.000000e-01	4.000000e-01	6.268143e-05	1.333545e-04	1.333545e-04
4.000000e-01	5.000000e-01	7.522178e-04	4.612401e-04	4.612401e-04
5.000000e-01	6.000000e-01	2.034243e-04	2.401680e-04	2.401680e-04
6.000000e-01	7.000000e-01	5.650421e-04	3.999521e-04	3.999521e-04
7.000000e-01	8.000000e-01	5.557349e-04	3.966615e-04	3.966615e-04
8.000000e-01	9.000000e-01	2.643491e-04	2.737456e-04	2.737456e-04
9.000000e-01	1.000000e+00	1.299873e-04	1.920156e-04	1.920156e-04
1.000000e+00	1.100000e+00	2.020466e-04	2.393578e-04	2.393578e-04
1.100000e+00	1.200000e+00	1.651773e-04	2.164368e-04	2.164368e-04
1.200000e+00	1.300000e+00	5.962889e-04	4.108678e-04	4.108678e-04
1.300000e+00	1.400000e+00	2.359924e-05	8.183358e-05	8.183358e-05
1.400000e+00	1.500000e+00	1.246051e-03	5.931830e-04	5.931830e-04
1.500000e+00	1.600000e+00	2.435062e-04	2.627504e-04	2.627504e-04
1.600000e+00	1.700000e+00	5.188245e-05	1.213297e-04	1.213297e-04
1.700000e+00	1.800000e+00	7.909201e-04	4.730126e-04	4.730126e-04
1.800000e+00	1.900000e+00	6.028921e-04	4.131165e-04	4.131165e-04
1.900000e+00	2.000000e+00	4.101710e-04	3.409019e-04	3.409019e-04
2.000000e+00	2.100000e+00	3.898291e-04	3.323396e-04	3.323396e-04
2.100000e+00	2.200000e+00	9.397318e-06	5.164123e-05	5.164123e-05
2.200000e+00	2.300000e+00	4.126969e-05	1.082134e-04	1.082134e-04
2.300000e+00	2.400000e+00	1.058987e-03	5.469836e-04	5.469836e-04
2.400000e+00	2.500000e+00	3.562939e-05	1.005480e-04	1.005480e-04
2.500000e+00	2.600000e+00	1.970157e-04	2.363588e-04	2.363588e-04
2.600000e+00	2.700000e+00	2.194730e-04	2.494557e-04	2.494557e-04
2.700000e+00	2.800000e+00	3.646516e-04	3.214393e-04	3.214393e-04
2.800000e+00	2.900000e+00	7.940683e-07	1.501174e-05	1.501174e-05
2.900000e+00	3.000000e+00	6.375656e-04	4.247891e-04	4.247891e-04
3.000000e+00	3.100000e+00	1.281296e-04	1.906362e-04	1.906362e-04
3.100000e+00	3.200000e+00	1.320902e-04	1.935585e-04	1.935585e-04
3.200000e+00	3.300000e+00	4.637872e-04	3.624294e-04	3.624294e-04
3.300000e+00	3.400000e+00	1.315631e-04	1.931678e-04	1.931678e-04
3.400000e+00	3.500000e+00	1.216060e-04	1.857196e-04	1.857196e-04
3.500000e+00	3.600000e+00	3.184405e-04	3.003992e-04	3.003992e-04
3.600000e+00	3.700000e+00	3.231480e-07	9.576422e-06	9.576422e-06
3.700000e+00	3.800000e+00	2.192796e-04	2.493358e-04	2.493358e-04
3.800000e+00	3.900000e+00	1.636299e-04	2.154117e-04	2.154117e-04
3.900000e+00	4.000000e+00	1.475956e-04	2.045922e-04	2.045922e-04
4.000000e+00	4.100000e+00	6.509520e-04	4.291606e-04	4.291606e-04
4.100000e+00	4.200000e+00	2.609110e-04	2.719479e-04	2.719479e-04
4.200000e+00	4.300000e+00	2.296015e-04	2.551308e-04	2.551308e-04
4.300000e+00	4.400000e+00	8.774586e-04	4.979690e-04	4.979690e-04
4.400000e+00	4.500000e+00	5.626547e-04	3.990773e-04	3.990773e-04
4.500000e+00	4.600000e+00	1.567556e-04	2.108376e-04	2.108376e-04
4.600000e+00	4.700000e+00	7.752981e-05	1.483039e-04	1.483039e-04
4.700000e+00	4.800000e+00	2.059581e-04	2.416384e-04	2.416384e-04
4.800000e+00	4.900000e+00	1.939726e-04	2.345065e-04	2.345065e-04
4.900000e+00	5.000000e+00	2.555907e-06	2.693223e-05	2.693223e-05
5.000000e+00	5.100000e+00	3.563728e-04	3.176465e-04	3.176465e-04
5.100000e+00	5.200000e+00	2.343157e-06	2.578692e-05	2.578692e-05
5.200000e+00	5.300000e+00	7.026758e-05	1.411656e-04	1.411656e-04
5.300000e+00	5.400000e+00	3.320472e-06	3.069684e-05	3.069684e-05
5.400000e+00	5.500000e+00	8.628143e-06	4.948014e-05	4.948014e-05
5.500000e+00	5.600000e+00	2.660569e-04	2.739767e-04	2.739767e-04
5.600000e+00	5.700000e+00	3.886731e-04	3.300820e-04	3.300820e-04
5.700000e+00	5.800000e+00	1.058265e-06	1.732972e-05	1.732972e-05
5.800000e+00	5.900000e+00	1.671339e-04	2.168201e-04	2.168201e-04
5.900000e+00	6.000000e+00	1.027709e-06	1.707746e-05	1.707746e-05
6.000000e+00	6.100000e+00	2.653061e-05	8.665867e-05	8.665867e-05
6.100000e+00	6.200000e+00	1.191406e-04	1.825890e-04	1.825890e-04
6.200000e+00	6.300000e+00	1.158359e-05	5.727988e-05	5.727988e-05
6.300000e+00	6.400000e+00	5.519051e-05	1.246054e-04	1.246054e-04
6.400000e+00	6.500000e+00	6.564417e-06	4.312251e-05	4.312251e-05
6.500000e+00	6.600000e+00	1.868267e-05	7.262074e-05	7.262074e-05
6.600000e+00	6.700000e+00	2.772205e-04	2.642376e-04	2.642376e-04
6.700000e+00	6.800000e+00	5.608216e-05	1.250206e-04	1.250206e-04
6.800000e+00	6.900000e+00	1.392619e-04	1.904859e-04	1.904859e-04
6.900000e+00	7.000000e+00	4.275289e-06	3.478005e-05	3.478005e-05
7.000000e+00	7.100000e+00	5.494220e-05	1.230413e-04	1.230413e-04
7.100000e+00	7.200000e+00	7.227792e-05	1.370159e-04	1.370159e-04
7.200000e+00	7.300000e+00	5.940561e-05	1.260863e-04	1.260863e-04
7.300000e+00	7.400000e+00	2.409263e-05	7.910614e-05	7.910614e-05
7.400000e+00	7.500000e+00	1.423650e-04	1.006672e-04	1.006672e-04
7.500000e+00	7.600000e+00	8.995098e-05	1.485043e-04	1.485043e-04
7.600000e+00	7.700000e+00	1.537931e-09	6.606471e-07	6.606471e-07
7.700000e+00	7.800000e+00	1.537931e-09	6.606471e-07	6.606471e-07
7.800000e+00	7.900000e+00	1.414307e-04	1.000066e-04	1.000066e-04
7.900000e+00	8.000000e+00	2.409263e-05	7.910614e-05	7.910614e-05
8.000000e+00	8.100000e+00	1.414307e-04	1.000066e-04	1.000066e-04
8.100000e+00	8.200000e+00	7.118250e-05	7.118248e-05	7.118248e-05
8.200000e+00	8.300000e+00	7.071535e-05	7.071536e-05	7.071536e-05
8.300000e+00	8.400000e+00	1.414307e-04	1.000066e-04	1.000066e-04
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	7.071535e-05	7.071536e-05	7.071536e-05
8.600000e+00	8.700000e+00	7.071535e-05	7.071536e-05	7.071536e-05
8.700000e+00	8.800000e+00	7.118250e-05	7.118248e-05	7.118248e-05
8.800000e+00	8.900000e+00	7.118250e-05	7.118248e-05	7.118248e-05
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	7.118250e-05	7.118248e-05	7.118248e-05
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	7.118250e-05	7.118248e-05	7.118248e-05
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	7.118250e-05	7.118248e-05	7.118248e-05
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	7.118250e-05	7.118248e-05	7.118248e-05
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+01	1.260000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+01	1.270000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.270000e+01	1.280000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.280000e+01	1.290000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+01	1.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+01	1.310000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+01	1.320000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+01	1.330000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.330000e+01	1.340000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.340000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.360000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.360000e+01	1.370000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.370000e+01	1.380000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+01	1.390000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.390000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.410000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+01	1.420000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.420000e+01	1.430000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.430000e+01	1.440000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.460000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.460000e+01	1.470000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.470000e+01	1.480000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.480000e+01	1.490000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.490000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
LineColor=blue
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as015015-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.548607e-04	3.143436e-04	3.143436e-04
1.000000e-01	2.000000e-01	3.450465e-05	9.922467e-05	9.922467e-05
2.000000e-01	3.000000e-01	1.729759e-05	7.027047e-05	7.027047e-05
3.000000e-01	4.000000e-01	1.676568e-05	6.918237e-05	6.918237e-05
4.000000e-01	5.000000e-01	2.069449e-04	2.429646e-04	2.429646e-04
5.000000e-01	6.000000e-01	2.658564e-04	2.753563e-04	2.753563e-04
6.000000e-01	7.000000e-01	2.544086e-04	2.693693e-04	2.693693e-04
7.000000e-01	8.000000e-01	7.243196e-04	4.541169e-04	4.541169e-04
8.000000e-01	9.000000e-01	5.865408e-04	4.087491e-04	4.087491e-04
9.000000e-01	1.000000e+00	3.311138e-04	3.072644e-04	3.072644e-04
1.000000e+00	1.100000e+00	4.798626e-04	3.697978e-04	3.697978e-04
1.100000e+00	1.200000e+00	6.019721e-04	4.140929e-04	4.140929e-04
1.200000e+00	1.300000e+00	1.081061e-05	5.555431e-05	5.555431e-05
1.300000e+00	1.400000e+00	2.393292e-04	2.612778e-04	2.612778e-04
1.400000e+00	1.500000e+00	3.850637e-06	3.315621e-05	3.315621e-05
1.500000e+00	1.600000e+00	4.585579e-04	3.615158e-04	3.615158e-04
1.600000e+00	1.700000e+00	5.833759e-04	4.076569e-04	4.076569e-04
1.700000e+00	1.800000e+00	5.044748e-05	1.199998e-04	1.199998e-04
1.800000e+00	1.900000e+00	3.800465e-04	3.291598e-04	3.291598e-04
1.900000e+00	2.000000e+00	5.056722e-05	1.201420e-04	1.201420e-04
2.000000e+00	2.100000e+00	5.198776e-04	3.848748e-04	3.848748e-04
2.100000e+00	2.200000e+00	1.793791e-04	2.262223e-04	2.262223e-04
2.200000e+00	2.300000e+00	6.777355e-04	4.392982e-04	4.392982e-04
2.300000e+00	2.400000e+00	2.417068e-05	8.306646e-05	8.306646e-05
2.400000e+00	2.500000e+00	7.563885e-04	4.640000e-04	4.640000e-04
2.500000e+00	2.600000e+00	3.599843e-04	3.203586e-04	3.203586e-04
2.600000e+00	2.700000e+00	1.934788e-04	2.349381e-04	2.349381e-04
