# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.905652e-02	1.141963e-02	1.141963e-02
1.000000e-02	2.000000e-02	8.799610e-02	1.382284e-02	1.382284e-02
2.000000e-02	3.000000e-02	7.705253e-02	1.376119e-02	1.376119e-02
3.000000e-02	4.000000e-02	6.235336e-02	1.275172e-02	1.275172e-02
4.000000e-02	5.000000e-02	7.480795e-02	1.404557e-02	1.404557e-02
5.000000e-02	6.000000e-02	4.461960e-02	1.106745e-02	1.106745e-02
6.000000e-02	7.000000e-02	4.630309e-02	1.130204e-02	1.130204e-02
7.000000e-02	8.000000e-02	1.749955e-02	7.015953e-03	7.015953e-03
8.000000e-02	9.000000e-02	3.276445e-02	9.574632e-03	9.574632e-03
9.000000e-02	1.000000e-01	9.578171e-03	5.203720e-03	5.203720e-03
1.000000e-01	1.100000e-01	7.632606e-03	4.647373e-03	4.647373e-03
1.100000e-01	1.200000e-01	9.834701e-03	5.273889e-03	5.273889e-03
1.200000e-01	1.300000e-01	9.392986e-03	5.154620e-03	5.154620e-03
1.300000e-01	1.400000e-01	1.177960e-02	5.770330e-03	5.770330e-03
1.400000e-01	1.500000e-01	1.607634e-05	2.135970e-04	2.135970e-04
1.500000e-01	1.600000e-01	2.670775e-04	8.705664e-04	8.705664e-04
1.600000e-01	1.700000e-01	1.044508e-03	1.721407e-03	1.721407e-03
1.700000e-01	1.800000e-01	9.628879e-07	5.227460e-05	5.227460e-05
1.800000e-01	1.900000e-01	6.539389e-04	1.362141e-03	1.362141e-03
1.900000e-01	2.000000e-01	2.750730e-04	8.834969e-04	8.834969e-04
2.000000e-01	2.100000e-01	2.936662e-04	9.128645e-04	9.128645e-04
2.100000e-01	2.200000e-01	5.125698e-05	3.813952e-04	3.813952e-04
2.200000e-01	2.300000e-01	5.098866e-05	3.803955e-04	3.803955e-04
2.300000e-01	2.400000e-01	9.255327e-06	1.620683e-04	1.620683e-04
2.400000e-01	2.500000e-01	1.642432e-04	6.827036e-04	6.827036e-04
2.500000e-01	2.600000e-01	3.463522e-04	9.913593e-04	9.913593e-04
2.600000e-01	2.700000e-01	1.157891e-04	5.732264e-04	5.732264e-04
2.700000e-01	2.800000e-01	8.493640e-04	1.552279e-03	1.552279e-03
2.800000e-01	2.900000e-01	5.612291e-03	3.985828e-03	3.985828e-03
2.900000e-01	3.000000e-01	2.250429e-03	2.525838e-03	2.525838e-03
3.000000e-01	3.100000e-01	6.557744e-05	4.313936e-04	4.313936e-04
3.100000e-01	3.200000e-01	1.209445e-03	1.852122e-03	1.852122e-03
3.200000e-01	3.300000e-01	1.090536e-03	1.758772e-03	1.758772e-03
3.300000e-01	3.400000e-01	3.357026e-03	3.084004e-03	3.084004e-03
3.400000e-01	3.500000e-01	5.101523e-03	3.799818e-03	3.799818e-03
3.500000e-01	3.600000e-01	1.956649e-05	2.356444e-04	2.356444e-04
3.600000e-01	3.700000e-01	4.451507e-03	3.550011e-03	3.550011e-03
3.700000e-01	3.800000e-01	6.320158e-04	1.339033e-03	1.339033e-03
3.800000e-01	3.900000e-01	1.790594e-03	2.253083e-03	2.253083e-03
3.900000e-01	4.000000e-01	1.639795e-03	2.156214e-03	2.156214e-03
4.000000e-01	4.100000e-01	1.901621e-05	2.323070e-04	2.323070e-04
4.100000e-01	4.200000e-01	6.526430e-04	1.360670e-03	1.360670e-03
4.200000e-01	4.300000e-01	1.329785e-03	1.941848e-03	1.941848e-03
4.300000e-01	4.400000e-01	8.148374e-03	4.796596e-03	4.796596e-03
4.400000e-01	4.500000e-01	1.170033e-03	1.821517e-03	1.821517e-03
4.500000e-01	4.600000e-01	3.063597e-03	2.945803e-03	2.945803e-03
4.600000e-01	4.700000e-01	3.529061e-03	3.161013e-03	3.161013e-03
4.700000e-01	4.800000e-01	2.658516e-03	2.744347e-03	2.744347e-03
4.800000e-01	4.900000e-01	2.034335e-03	2.401080e-03	2.401080e-03
4.900000e-01	5.000000e-01	4.831020e-04	1.170707e-03	1.170707e-03
5.000000e-01	5.100000e-01	7.891875e-03	4.718840e-03	4.718840e-03
5.100000e-01	5.200000e-01	1.599017e-03	2.128982e-03	2.128982e-03
5.200000e-01	5.300000e-01	9.712566e-03	5.231188e-03	5.231188e-03
5.300000e-01	5.400000e-01	6.828102e-05	4.401916e-04	4.401916e-04
5.400000e-01	5.500000e-01	1.946955e-03	2.348790e-03	2.348790e-03
5.500000e-01	5.600000e-01	8.247177e-04	1.529374e-03	1.529374e-03
5.600000e-01	5.700000e-01	3.017634e-06	9.254131e-05	9.254131e-05
5.700000e-01	5.800000e-01	2.472349e-04	8.375565e-04	8.375565e-04
5.800000e-01	5.900000e-01	4.641962e-03	3.622371e-03	3.622371e-03
5.900000e-01	6.000000e-01	1.000135e-03	1.683987e-03	1.683987e-03
6.000000e-01	6.100000e-01	2.442580e-03	2.629990e-03	2.629990e-03
6.100000e-01	6.200000e-01	4.330012e-03	3.498499e-03	3.498499e-03
6.200000e-01	6.300000e-01	4.641723e-04	1.147476e-03	1.147476e-03
6.300000e-01	6.400000e-01	2.894536e-03	2.861929e-03	2.861929e-03
6.400000e-01	6.500000e-01	4.806775e-03	3.685162e-03	3.685162e-03
6.500000e-01	6.600000e-01	1.845330e-03	2.286334e-03	2.286334e-03
6.600000e-01	6.700000e-01	1.859798e-03	2.295145e-03	2.295145e-03
6.700000e-01	6.800000e-01	4.510763e-03	3.569486e-03	3.569486e-03
6.800000e-01	6.900000e-01	5.586159e-03	3.969718e-03	3.969718e-03
6.900000e-01	7.000000e-01	4.069921e-04	1.074472e-03	1.074472e-03
7.000000e-01	7.100000e-01	1.313599e-04	6.105220e-04	6.105220e-04
7.100000e-01	7.200000e-01	1.302627e-05	1.922691e-04	1.922691e-04
7.200000e-01	7.300000e-01	2.030059e-04	7.589349e-04	7.589349e-04
7.300000e-01	7.400000e-01	8.133953e-04	1.518601e-03	1.518601e-03
7.400000e-01	7.500000e-01	1.608193e-03	2.134083e-03	2.134083e-03
7.500000e-01	7.600000e-01	1.682158e-03	2.182373e-03	2.182373e-03
7.600000e-01	7.700000e-01	9.847326e-04	1.670483e-03	1.670483e-03
7.700000e-01	7.800000e-01	4.924079e-04	1.181679e-03	1.181679e-03
7.800000e-01	7.900000e-01	1.091892e-02	5.518146e-03	5.518146e-03
7.900000e-01	8.000000e-01	5.432007e-04	1.240977e-03	1.240977e-03
8.000000e-01	8.100000e-01	1.334374e-04	6.152894e-04	6.152894e-04
8.100000e-01	8.200000e-01	1.538126e-03	2.084999e-03	2.084999e-03
8.200000e-01	8.300000e-01	1.417010e-03	2.000108e-03	2.000108e-03
8.300000e-01	8.400000e-01	2.675262e-03	2.738788e-03	2.738788e-03
8.400000e-01	8.500000e-01	4.863800e-03	3.668879e-03	3.668879e-03
8.500000e-01	8.600000e-01	3.295895e-04	9.660601e-04	9.660601e-04
8.600000e-01	8.700000e-01	3.573969e-05	3.184312e-04	3.184312e-04
8.700000e-01	8.800000e-01	3.306700e-04	9.672770e-04	9.672770e-04
8.800000e-01	8.900000e-01	3.326623e-04	9.696030e-04	9.696030e-04
8.900000e-01	9.000000e-01	6.649337e-04	1.364899e-03	1.364899e-03
9.000000e-01	9.100000e-01	1.118118e-03	1.756117e-03	1.756117e-03
9.100000e-01	9.200000e-01	5.856026e-05	4.073653e-04	4.073653e-04
9.200000e-01	9.300000e-01	3.132043e-03	2.852213e-03	2.852213e-03
9.300000e-01	9.400000e-01	1.867614e-04	7.235221e-04	7.235221e-04
9.400000e-01	9.500000e-01	1.927408e-03	2.237458e-03	2.237458e-03
9.500000e-01	9.600000e-01	1.230213e-07	1.868492e-05	1.868492e-05
9.600000e-01	9.700000e-01	1.386104e-03	1.868443e-03	1.868443e-03
9.700000e-01	9.800000e-01	1.230213e-07	1.868492e-05	1.868492e-05
9.800000e-01	9.900000e-01	3.457482e-04	9.676472e-04	9.676472e-04
9.900000e-01	1.000000e+00	2.121460e-03	1.224826e-03	1.224826e-03
# END HISTO1D

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
LineColor=blue
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as015015-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.154058e-02	6.621071e-03	6.621071e-03
1.000000e-02	2.000000e-02	2.637330e-02	7.502406e-03	7.502406e-03
2.000000e-02	3.000000e-02	5.551692e-02	1.077906e-02	1.077906e-02
3.000000e-02	4.000000e-02	4.285904e-02	1.040249e-02	1.040249e-02
4.000000e-02	5.000000e-02	4.689590e-02	1.106430e-02	1.106430e-02
5.000000e-02	6.000000e-02	5.744446e-02	1.235413e-02	1.235413e-02
6.000000e-02	7.000000e-02	4.653672e-02	1.127530e-02	1.127530e-02
7.000000e-02	8.000000e-02	5.741430e-02	1.254371e-02	1.254371e-02
8.000000e-02	9.000000e-02	3.899401e-02	1.043004e-02	1.043004e-02
9.000000e-02	1.000000e-01	3.211457e-02	9.499468e-03	9.499468e-03
1.000000e-01	1.100000e-01	1.610083e-02	6.755574e-03	6.755574e-03
1.100000e-01	1.200000e-01	5.921931e-03	4.106957e-03	4.106957e-03
1.200000e-01	1.300000e-01	5.025999e-03	3.784311e-03	3.784311e-03
1.300000e-01	1.400000e-01	4.518030e-04	1.135638e-03	1.135638e-03
1.400000e-01	1.500000e-01	1.134830e-02	5.680559e-03	5.680559e-03
1.500000e-01	1.600000e-01	1.004803e-03	1.693431e-03	1.693431e-03
1.600000e-01	1.700000e-01	1.697093e-03	2.200551e-03	2.200551e-03
1.700000e-01	1.800000e-01	2.358897e-06	8.206462e-05	8.206462e-05
1.800000e-01	1.900000e-01	2.444798e-04	8.354195e-04	8.354195e-04
1.900000e-01	2.000000e-01	1.505194e-04	6.555205e-04	6.555205e-04
2.000000e-01	2.100000e-01	3.504432e-04	1.000191e-03	1.000191e-03
2.100000e-01	2.200000e-01	7.467518e-04	1.459924e-03	1.459924e-03
2.200000e-01	2.300000e-01	1.306574e-04	6.107419e-04	6.107419e-04
2.300000e-01	2.400000e-01	2.517566e-03	2.679708e-03	2.679708e-03
2.400000e-01	2.500000e-01	4.642004e-05	3.640410e-04	3.640410e-04
2.500000e-01	2.600000e-01	5.685822e-04	1.273936e-03	1.273936e-03
2.600000e-01	2.700000e-01	4.405602e-04	1.121412e-03	1.121412e-03
2.700000e-01	2.800000e-01	5.379692e-05	3.919002e-04	3.919002e-04
2.800000e-01	2.900000e-01	8.238354e-04	1.533369e-03	1.533369e-03
2.900000e-01	3.000000e-01	8.266896e-04	1.536007e-03	1.536007e-03
3.000000e-01	3.100000e-01	1.066351e-04	5.517487e-04	5.517487e-04
3.100000e-01	3.200000e-01	4.437891e-03	3.556003e-03	3.556003e-03
3.200000e-01	3.300000e-01	1.309922e-03	1.933283e-03	1.933283e-03
3.300000e-01	3.400000e-01	1.552320e-04	6.656966e-04	6.656966e-04
3.400000e-01	3.500000e-01	6.983183e-04	1.411737e-03	1.411737e-03
3.500000e-01	3.600000e-01	2.708037e-03	2.778625e-03	2.778625e-03
3.600000e-01	3.700000e-01	3.253875e-03	3.045473e-03	3.045473e-03
3.700000e-01	3.800000e-01	2.567752e-03	2.705761e-03	2.705761e-03
3.800000e-01	3.900000e-01	1.848143e-03	2.295908e-03	2.295908e-03
3.900000e-01	4.000000e-01	1.376446e-03	1.981617e-03	1.981617e-03
4.000000e-01	4.100000e-01	7.114078e-04	1.424864e-03	1.424864e-03
4.100000e-01	4.200000e-01	7.259944e-03	4.543413e-03	4.543413e-03
4.200000e-01	4.300000e-01	9.548333e-03	5.207464e-03	5.207464e-03
4.300000e-01	4.400000e-01	3.934993e-04	1.059803e-03	1.059803e-03
4.400000e-01	4.500000e-01	9.193883e-04	1.619669e-03	1.619669e-03
4.500000e-01	4.600000e-01	7.234493e-04	1.436861e-03	1.436861e-03
4.600000e-01	4.700000e-01	2.640432e-03	2.743449e-03	2.743449e-03
4.700000e-01	4.800000e-01	3.355419e-03	3.091983e-03	3.091983e-03
4.800000e-01	4.900000e-01	3.283691e-03	3.058665e-03	3.058665e-03
4.900000e-01	5.000000e-01	2.470893e-03	2.653839e-03	2.653839e-03
5.000000e-01	5.100000e-01	1.851206e-04	7.269463e-04	7.269463e-04
5.100000e-01	5.200000e-01	5.868147e-03	4.085145e-03	4.085145e-03
5.200000e-01	5.300000e-01	2.150949e-05	2.478070e-04	2.478070e-04
5.300000e-01	5.400000e-01	1.583267e-03	2.124865e-03	2.124865e-03
5.400000e-01	5.500000e-01	3.122730e-03	2.982500e-03	2.982500e-03
5.500000e-01	5.600000e-01	2.563410e-03	2.702735e-03	2.702735e-03
5.600000e-01	5.700000e-01	4.158692e-03	3.440397e-03	3.440397e-03
5.700000e-01	5.800000e-01	1.048573e-03	1.729516e-03	1.729516e-03
5.800000e-01	5.900000e-01	1.088664e-03	1.762247e-03	1.762247e-03
5.900000e-01	6.000000e-01	1.483616e-03	2.056819e-03	2.056819e-03
6.000000e-01	6.100000e-01	5.533298e-04	1.256593e-03	1.256593e-03
6.100000e-01	6.200000e-01	1.421654e-03	2.013467e-03	2.013467e-03
6.200000e-01	6.300000e-01	7.185752e-03	4.515185e-03	4.515185e-03
6.300000e-01	6.400000e-01	2.737475e-03	2.792191e-03	2.792191e-03
6.400000e-01	6.500000e-01	3.110751e-07	2.980123e-05	2.980123e-05
6.500000e-01	6.600000e-01	4.577252e-10	1.143152e-06	1.143152e-06
6.600000e-01	6.700000e-01	2.136309e-04	7.808866e-04	7.808866e-04
6.700000e-01	6.800000e-01	5.465573e-05	3.950099e-04	3.950099e-04
6.800000e-01	6.900000e-01	1.353185e-04	6.215141e-04	6.215141e-04
6.900000e-01	7.000000e-01	6.434476e-04	1.354900e-03	1.354900e-03
7.000000e-01	7.100000e-01	4.321366e-05	3.512381e-04	3.512381e-04
7.100000e-01	7.200000e-01	1.656239e-03	2.172488e-03	2.172488e-03
7.200000e-01	7.300000e-01	1.217057e-04	5.894224e-04	5.894224e-04
7.300000e-01	7.400000e-01	3.056970e-04	9.340483e-04	9.340483e-04
7.400000e-01	7.500000e-01	5.772836e-05	4.059576e-04	4.059576e-04
7.500000e-01	7.600000e-01	4.243391e-05	3.480534e-04	3.480534e-04
