# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_2_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.514088e-02	1.348074e-02	1.348074e-02
1.000000e-02	2.000000e-02	1.091034e-01	1.529518e-02	1.529518e-02
2.000000e-02	3.000000e-02	8.038756e-02	1.412263e-02	1.412263e-02
3.000000e-02	4.000000e-02	6.737987e-02	1.326060e-02	1.326060e-02
4.000000e-02	5.000000e-02	8.489087e-02	1.494231e-02	1.494231e-02
5.000000e-02	6.000000e-02	6.223868e-02	1.301848e-02	1.301848e-02
6.000000e-02	7.000000e-02	6.220423e-02	1.305853e-02	1.305853e-02
7.000000e-02	8.000000e-02	2.300761e-02	8.040312e-03	8.040312e-03
8.000000e-02	9.000000e-02	5.280444e-02	1.212410e-02	1.212410e-02
9.000000e-02	1.000000e-01	1.273877e-02	6.000715e-03	6.000715e-03
1.000000e-01	1.100000e-01	7.333611e-03	4.557341e-03	4.557341e-03
1.100000e-01	1.200000e-01	8.596598e-03	4.933945e-03	4.933945e-03
1.200000e-01	1.300000e-01	4.027270e-03	3.379085e-03	3.379085e-03
1.300000e-01	1.400000e-01	3.032404e-03	2.932543e-03	2.932543e-03
1.400000e-01	1.500000e-01	4.009567e-04	1.066675e-03	1.066675e-03
1.500000e-01	1.600000e-01	3.515171e-03	3.157172e-03	3.157172e-03
1.600000e-01	1.700000e-01	1.419500e-03	2.006782e-03	2.006782e-03
1.700000e-01	1.800000e-01	1.206004e-03	1.849756e-03	1.849756e-03
1.800000e-01	1.900000e-01	4.490054e-04	1.128768e-03	1.128768e-03
1.900000e-01	2.000000e-01	2.534939e-03	2.681285e-03	2.681285e-03
2.000000e-01	2.100000e-01	3.028186e-03	2.930321e-03	2.930321e-03
2.100000e-01	2.200000e-01	2.224510e-03	2.511772e-03	2.511772e-03
2.200000e-01	2.300000e-01	2.395231e-03	2.606266e-03	2.606266e-03
2.300000e-01	2.400000e-01	1.085964e-03	1.755243e-03	1.755243e-03
2.400000e-01	2.500000e-01	9.877930e-04	1.674034e-03	1.674034e-03
2.500000e-01	2.600000e-01	2.233414e-03	2.516656e-03	2.516656e-03
2.600000e-01	2.700000e-01	5.492158e-04	1.248336e-03	1.248336e-03
2.700000e-01	2.800000e-01	4.557702e-04	1.137203e-03	1.137203e-03
2.800000e-01	2.900000e-01	3.644711e-03	3.213752e-03	3.213752e-03
