# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1
RatioPlot=1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.427721e-01	5.718149e-02	5.718149e-02
1.000000e-02	2.000000e-02	1.527989e-01	4.608451e-02	4.608451e-02
2.000000e-02	3.000000e-02	2.310807e-02	1.799821e-02	1.799821e-02
3.000000e-02	4.000000e-02	7.151903e-03	1.002059e-02	1.002059e-02
4.000000e-02	5.000000e-02	2.252611e-03	5.625179e-03	5.625179e-03
5.000000e-02	6.000000e-02	2.853005e-05	6.331478e-04	6.331478e-04
6.000000e-02	7.000000e-02	8.770986e-03	1.109463e-02	1.109463e-02
7.000000e-02	8.000000e-02	3.086844e-04	2.082578e-03	2.082578e-03
8.000000e-02	9.000000e-02	4.532095e-04	2.523404e-03	2.523404e-03
9.000000e-02	1.000000e-01	2.073944e-05	5.398242e-04	5.398242e-04
1.000000e-01	1.100000e-01	1.270280e-03	4.224220e-03	4.224220e-03
1.100000e-01	1.200000e-01	6.151180e-03	9.290261e-03	9.290261e-03
1.200000e-01	1.300000e-01	5.348188e-02	2.722897e-02	2.722897e-02
1.300000e-01	1.400000e-01	2.029078e-02	1.683975e-02	1.683975e-02
1.400000e-01	1.500000e-01	1.722589e-02	1.551733e-02	1.551733e-02
1.500000e-01	1.600000e-01	1.542648e-02	1.468534e-02	1.468534e-02
1.600000e-01	1.700000e-01	1.809123e-02	1.589091e-02	1.589091e-02
1.700000e-01	1.800000e-01	1.421823e-02	1.409524e-02	1.409524e-02
1.800000e-01	1.900000e-01	3.942947e-03	7.436934e-03	7.436934e-03
1.900000e-01	2.000000e-01	3.657288e-03	7.161993e-03	7.161993e-03
2.000000e-01	2.100000e-01	3.549058e-03	7.055561e-03	7.055561e-03
2.100000e-01	2.200000e-01	1.519736e-05	4.621011e-04	4.621011e-04
2.200000e-01	2.300000e-01	2.647668e-02	1.913781e-02	1.913781e-02
2.300000e-01	2.400000e-01	7.701117e-03	1.037227e-02	1.037227e-02
2.400000e-01	2.500000e-01	6.953868e-03	9.859445e-03	9.859445e-03
2.500000e-01	2.600000e-01	4.606477e-04	2.543679e-03	2.543679e-03
2.600000e-01	2.700000e-01	7.635960e-06	3.275556e-04	3.275556e-04
2.700000e-01	2.800000e-01	2.265222e-03	5.635914e-03	5.635914e-03
2.800000e-01	2.900000e-01	1.633841e-02	1.503409e-02	1.503409e-02
2.900000e-01	3.000000e-01	2.997739e-02	2.021072e-02	2.021072e-02
3.000000e-01	3.100000e-01	2.668091e-03	6.113220e-03	6.113220e-03
3.100000e-01	3.200000e-01	1.970855e-03	5.255896e-03	5.255896e-03
3.200000e-01	3.300000e-01	1.478139e-07	4.557349e-05	4.557349e-05
3.300000e-01	3.400000e-01	1.028019e-02	1.193026e-02	1.193026e-02
3.400000e-01	3.500000e-01	1.512350e-07	4.609786e-05	4.609786e-05
3.500000e-01	3.600000e-01	2.370945e-02	1.782626e-02	1.782626e-02
3.600000e-01	3.700000e-01	5.031836e-03	8.365313e-03	8.365313e-03
3.700000e-01	3.800000e-01	1.969431e-02	1.620186e-02	1.620186e-02
3.800000e-01	3.900000e-01	1.208130e-03	4.114421e-03	4.114421e-03
3.900000e-01	4.000000e-01	1.036516e-04	1.206677e-03	1.206677e-03
4.000000e-01	4.100000e-01	1.742161e-03	4.936541e-03	4.936541e-03
4.100000e-01	4.200000e-01	2.864805e-02	1.913656e-02	1.913656e-02
4.200000e-01	4.300000e-01	2.397848e-03	5.780852e-03	5.780852e-03
4.300000e-01	4.400000e-01	9.349577e-04	3.617273e-03	3.617273e-03
4.400000e-01	4.500000e-01	8.523177e-04	3.454793e-03	3.454793e-03
4.500000e-01	4.600000e-01	1.906273e-04	1.635951e-03	1.635951e-03
4.600000e-01	4.700000e-01	2.593248e-03	5.982151e-03	5.982151e-03
4.700000e-01	4.800000e-01	2.075180e-03	5.359889e-03	5.359889e-03
4.800000e-01	4.900000e-01	6.884637e-04	3.100718e-03	3.100718e-03
4.900000e-01	5.000000e-01	7.662430e-05	1.037326e-03	1.037326e-03
5.000000e-01	5.100000e-01	3.013213e-03	6.428709e-03	6.428709e-03
5.100000e-01	5.200000e-01	2.591052e-04	1.904958e-03	1.904958e-03
5.200000e-01	5.300000e-01	7.629112e-03	9.810484e-03	9.810484e-03
5.300000e-01	5.400000e-01	2.591052e-04	1.904958e-03	1.904958e-03
5.400000e-01	5.500000e-01	7.762389e-03	9.621146e-03	9.621146e-03
5.500000e-01	5.600000e-01	1.075084e-03	3.849244e-03	3.849244e-03
5.600000e-01	5.700000e-01	3.599963e-03	6.396033e-03	6.396033e-03
5.700000e-01	5.800000e-01	1.050593e-06	1.214965e-04	1.214965e-04
5.800000e-01	5.900000e-01	9.213390e-03	9.313833e-03	9.313833e-03
5.900000e-01	6.000000e-01	9.548702e-03	1.017928e-02	1.017928e-02
6.000000e-01	6.100000e-01	6.975935e-03	4.932729e-03	4.932729e-03
6.100000e-01	6.200000e-01	1.124493e-03	3.812071e-03	3.812071e-03
6.200000e-01	6.300000e-01	1.218185e-03	3.954427e-03	3.954427e-03
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	6.975935e-03	4.932729e-03	4.932729e-03
6.700000e-01	6.800000e-01	3.537569e-03	3.537569e-03	3.537569e-03
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	6.975935e-03	4.932729e-03	4.932729e-03
7.000000e-01	7.100000e-01	3.487966e-03	3.487966e-03	3.487966e-03
7.100000e-01	7.200000e-01	7.004184e-07	9.920313e-05	9.920313e-05
7.200000e-01	7.300000e-01	6.975935e-03	4.932729e-03	4.932729e-03
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	3.537569e-03	3.537569e-03	3.537569e-03
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	3.487966e-03	3.487966e-03	3.487966e-03
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	3.537569e-03	3.537569e-03	3.537569e-03
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
