# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	1.218185e-03	3.954427e-03	3.954427e-03
2.000000e-02	3.000000e-02	7.199928e-03	9.045358e-03	9.045358e-03
3.000000e-02	4.000000e-02	3.456472e-04	2.201251e-03	2.201251e-03
4.000000e-02	5.000000e-02	8.163826e-03	1.059167e-02	1.059167e-02
5.000000e-02	6.000000e-02	4.876685e-03	8.247248e-03	8.247248e-03
6.000000e-02	7.000000e-02	6.908464e-02	3.012061e-02	3.012061e-02
7.000000e-02	8.000000e-02	5.350055e-02	2.703203e-02	2.703203e-02
8.000000e-02	9.000000e-02	1.433172e-01	4.390772e-02	4.390772e-02
9.000000e-02	1.000000e-01	1.417507e-01	4.396447e-02	4.396447e-02
1.000000e-01	1.100000e-01	8.196413e-02	3.368863e-02	3.368863e-02
1.100000e-01	1.200000e-01	2.582695e-02	1.901080e-02	1.901080e-02
1.200000e-01	1.300000e-01	2.549125e-02	1.888797e-02	1.888797e-02
1.300000e-01	1.400000e-01	1.402452e-02	1.402108e-02	1.402108e-02
1.400000e-01	1.500000e-01	2.300098e-04	1.797709e-03	1.797709e-03
1.500000e-01	1.600000e-01	1.227151e-03	4.151989e-03	4.151989e-03
1.600000e-01	1.700000e-01	1.769839e-03	4.985987e-03	4.985987e-03
1.700000e-01	1.800000e-01	1.652458e-02	1.521342e-02	1.521342e-02
1.800000e-01	1.900000e-01	2.419821e-03	5.829514e-03	5.829514e-03
1.900000e-01	2.000000e-01	8.809580e-04	3.517967e-03	3.517967e-03
2.000000e-01	2.100000e-01	2.602102e-03	6.044889e-03	6.044889e-03
2.100000e-01	2.200000e-01	1.628559e-03	4.782648e-03	4.782648e-03
2.200000e-01	2.300000e-01	1.365664e-03	4.379769e-03	4.379769e-03
2.300000e-01	2.400000e-01	3.591806e-02	2.235267e-02	2.235267e-02
2.400000e-01	2.500000e-01	1.232796e-04	1.316110e-03	1.316110e-03
2.500000e-01	2.600000e-01	1.581033e-02	1.486640e-02	1.486640e-02
2.600000e-01	2.700000e-01	7.912262e-03	1.053092e-02	1.053092e-02
2.700000e-01	2.800000e-01	1.543736e-02	1.468925e-02	1.468925e-02
2.800000e-01	2.900000e-01	5.602582e-03	8.863629e-03	8.863629e-03
2.900000e-01	3.000000e-01	6.233043e-04	2.959050e-03	2.959050e-03
3.000000e-01	3.100000e-01	2.393201e-02	1.824401e-02	1.824401e-02
3.100000e-01	3.200000e-01	1.124209e-02	1.253744e-02	1.253744e-02
3.200000e-01	3.300000e-01	2.293399e-03	5.673505e-03	5.673505e-03
3.300000e-01	3.400000e-01	7.527470e-03	1.026474e-02	1.026474e-02
3.400000e-01	3.500000e-01	5.150394e-03	8.493471e-03	8.493471e-03
3.500000e-01	3.600000e-01	4.502819e-03	7.944316e-03	7.944316e-03
3.600000e-01	3.700000e-01	1.993887e-04	1.673696e-03	1.673696e-03
3.700000e-01	3.800000e-01	1.520369e-02	1.453995e-02	1.453995e-02
3.800000e-01	3.900000e-01	3.376626e-03	6.880424e-03	6.880424e-03
3.900000e-01	4.000000e-01	3.380789e-03	6.883909e-03	6.883909e-03
4.000000e-01	4.100000e-01	3.072187e-02	2.053675e-02	2.053675e-02
4.100000e-01	4.200000e-01	2.673675e-04	1.938018e-03	1.938018e-03
4.200000e-01	4.300000e-01	2.180528e-03	5.529173e-03	5.529173e-03
4.300000e-01	4.400000e-01	1.897148e-03	5.157957e-03	5.157957e-03
4.400000e-01	4.500000e-01	3.261826e-03	6.759406e-03	6.759406e-03
4.500000e-01	4.600000e-01	1.867475e-02	1.603623e-02	1.603623e-02
4.600000e-01	4.700000e-01	1.287107e-03	4.249172e-03	4.249172e-03
4.700000e-01	4.800000e-01	1.506608e-02	1.437504e-02	1.437504e-02
4.800000e-01	4.900000e-01	1.222866e-02	1.297364e-02	1.297364e-02
4.900000e-01	5.000000e-01	8.083613e-03	1.059204e-02	1.059204e-02
5.000000e-01	5.100000e-01	1.564248e-02	1.460026e-02	1.460026e-02
5.100000e-01	5.200000e-01	1.869923e-03	5.115608e-03	5.115608e-03
5.200000e-01	5.300000e-01	1.520694e-03	4.614405e-03	4.614405e-03
5.300000e-01	5.400000e-01	2.294652e-02	1.746482e-02	1.746482e-02
