# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as0.9.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as1.1.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as0.9.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as1.1.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as0.9.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Rebin=5
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as0.9.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-partn-as0.9.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=1.0
Title=gluon-partn-as0.9
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	3.537569e-04	3.537569e-04	3.537569e-04
2.000000e-01	3.000000e-01	2.248982e-04	5.391079e-04	5.391079e-04
3.000000e-01	4.000000e-01	1.124493e-04	3.812071e-04	3.812071e-04
4.000000e-01	5.000000e-01	4.382093e-04	7.301381e-04	7.301381e-04
5.000000e-01	6.000000e-01	5.622459e-04	8.524047e-04	8.524047e-04
6.000000e-01	7.000000e-01	1.096721e-03	1.181603e-03	1.181603e-03
7.000000e-01	8.000000e-01	1.211965e-05	1.304672e-04	1.304672e-04
8.000000e-01	9.000000e-01	4.399744e-04	7.811113e-04	7.811113e-04
9.000000e-01	1.000000e+00	1.856063e-06	5.106731e-05	5.106731e-05
1.000000e+00	1.100000e+00	3.528417e-05	2.226064e-04	2.226064e-04
1.100000e+00	1.200000e+00	5.127084e-04	8.460462e-04	8.460462e-04
1.200000e+00	1.300000e+00	4.446183e-05	2.498954e-04	2.498954e-04
1.300000e+00	1.400000e+00	7.352717e-04	1.013321e-03	1.013321e-03
1.400000e+00	1.500000e+00	5.255499e-04	8.576852e-04	8.576852e-04
1.500000e+00	1.600000e+00	3.615859e-03	2.226971e-03	2.226971e-03
1.600000e+00	1.700000e+00	1.545018e-04	4.657142e-04	4.657142e-04
1.700000e+00	1.800000e+00	2.884393e-04	6.361079e-04	6.361079e-04
1.800000e+00	1.900000e+00	5.688357e-04	8.927245e-04	8.927245e-04
1.900000e+00	2.000000e+00	7.219592e-04	1.005302e-03	1.005302e-03
2.000000e+00	2.100000e+00	2.823432e-04	6.294624e-04	6.294624e-04
2.100000e+00	2.200000e+00	5.527474e-04	8.801465e-04	8.801465e-04
2.200000e+00	2.300000e+00	7.268592e-04	1.009055e-03	1.009055e-03
2.300000e+00	2.400000e+00	2.114983e-04	5.448963e-04	5.448963e-04
2.400000e+00	2.500000e+00	3.159754e-03	2.091753e-03	2.091753e-03
2.500000e+00	2.600000e+00	3.280983e-03	2.131666e-03	2.131666e-03
2.600000e+00	2.700000e+00	2.671358e-04	6.123112e-04	6.123112e-04
2.700000e+00	2.800000e+00	8.193546e-04	1.071127e-03	1.071127e-03
2.800000e+00	2.900000e+00	1.196799e-04	4.099762e-04	4.099762e-04
2.900000e+00	3.000000e+00	1.238999e-03	1.316013e-03	1.316013e-03
3.000000e+00	3.100000e+00	4.219642e-04	7.693494e-04	7.693494e-04
3.100000e+00	3.200000e+00	1.774699e-03	1.573174e-03	1.573174e-03
3.200000e+00	3.300000e+00	7.339070e-04	1.014056e-03	1.014056e-03
3.300000e+00	3.400000e+00	6.793596e-04	9.756543e-04	9.756543e-04
3.400000e+00	3.500000e+00	1.289297e-03	1.342338e-03	1.342338e-03
3.500000e+00	3.600000e+00	1.756797e-07	1.571141e-05	1.571141e-05
3.600000e+00	3.700000e+00	1.089615e-04	3.912009e-04	3.912009e-04
3.700000e+00	3.800000e+00	3.716080e-04	7.220772e-04	7.220772e-04
3.800000e+00	3.900000e+00	4.481442e-06	7.935229e-05	7.935229e-05
3.900000e+00	4.000000e+00	1.994104e-04	5.291363e-04	5.291363e-04
4.000000e+00	4.100000e+00	7.911022e-06	1.054299e-04	1.054299e-04
4.100000e+00	4.200000e+00	7.003042e-04	9.903955e-04	9.903955e-04
4.200000e+00	4.300000e+00	2.594806e-04	6.035016e-04	6.035016e-04
4.300000e+00	4.400000e+00	1.001746e-03	1.184049e-03	1.184049e-03
4.400000e+00	4.500000e+00	2.451345e-04	5.865779e-04	5.865779e-04
4.500000e+00	4.600000e+00	8.614844e-06	1.100197e-04	1.100197e-04
4.600000e+00	4.700000e+00	9.252712e-08	1.140221e-05	1.140221e-05
4.700000e+00	4.800000e+00	1.248161e-04	4.186739e-04	4.186739e-04
4.800000e+00	4.900000e+00	2.146148e-05	1.736459e-04	1.736459e-04
4.900000e+00	5.000000e+00	1.296183e-03	1.345572e-03	1.345572e-03
5.000000e+00	5.100000e+00	3.466454e-04	6.973626e-04	6.973626e-04
5.100000e+00	5.200000e+00	3.478317e-04	6.985281e-04	6.985281e-04
5.200000e+00	5.300000e+00	8.708421e-05	3.497336e-04	3.497336e-04
5.300000e+00	5.400000e+00	7.845102e-05	3.319488e-04	3.319488e-04
5.400000e+00	5.500000e+00	1.151285e-04	4.020952e-04	4.020952e-04
5.500000e+00	5.600000e+00	8.078117e-04	1.063183e-03	1.063183e-03
5.600000e+00	5.700000e+00	3.060503e-06	6.557643e-05	6.557643e-05
5.700000e+00	5.800000e+00	1.337066e-04	4.333083e-04	4.333083e-04
5.800000e+00	5.900000e+00	3.627333e-06	7.139114e-05	7.139114e-05
5.900000e+00	6.000000e+00	2.950459e-04	6.433581e-04	6.433581e-04
6.000000e+00	6.100000e+00	1.477787e-04	4.554935e-04	4.554935e-04
6.100000e+00	6.200000e+00	2.992019e-05	2.050213e-04	2.050213e-04
6.200000e+00	6.300000e+00	3.559825e-04	7.065418e-04	7.065418e-04
6.300000e+00	6.400000e+00	2.308603e-03	1.788638e-03	1.788638e-03
6.400000e+00	6.500000e+00	7.601572e-04	1.031282e-03	1.031282e-03
6.500000e+00	6.600000e+00	2.167633e-03	1.733055e-03	1.733055e-03
6.600000e+00	6.700000e+00	6.646847e-04	9.644009e-04	9.644009e-04
6.700000e+00	6.800000e+00	2.179364e-03	1.737597e-03	1.737597e-03
6.800000e+00	6.900000e+00	7.488193e-04	1.023222e-03	1.023222e-03
6.900000e+00	7.000000e+00	6.845159e-04	9.783171e-04	9.783171e-04
7.000000e+00	7.100000e+00	3.801641e-03	2.276012e-03	2.276012e-03
7.100000e+00	7.200000e+00	5.834436e-03	2.796290e-03	2.796290e-03
7.200000e+00	7.300000e+00	2.159577e-03	1.724441e-03	1.724441e-03
7.300000e+00	7.400000e+00	6.311220e-03	2.870104e-03	2.870104e-03
7.400000e+00	7.500000e+00	4.213950e-03	2.368217e-03	2.368217e-03
7.500000e+00	7.600000e+00	1.975960e-03	1.640830e-03	1.640830e-03
7.600000e+00	7.700000e+00	3.251623e-03	2.086876e-03	2.086876e-03
7.700000e+00	7.800000e+00	4.043253e-03	2.289254e-03	2.289254e-03
7.800000e+00	7.900000e+00	1.274837e-03	1.319312e-03	1.319312e-03
7.900000e+00	8.000000e+00	2.969817e-03	1.957124e-03	1.957124e-03
8.000000e+00	8.100000e+00	3.272191e-04	6.740472e-04	6.740472e-04
8.100000e+00	8.200000e+00	1.459310e-03	1.392365e-03	1.392365e-03
8.200000e+00	8.300000e+00	2.736402e-04	6.165863e-04	6.165863e-04
8.300000e+00	8.400000e+00	7.414879e-04	9.952124e-04	9.952124e-04
8.400000e+00	8.500000e+00	3.278300e-03	1.860391e-03	1.860391e-03
8.500000e+00	8.600000e+00	7.414879e-04	9.952124e-04	9.952124e-04
8.600000e+00	8.700000e+00	8.413937e-04	1.051951e-03	1.051951e-03
8.700000e+00	8.800000e+00	2.255908e-04	5.539136e-04	5.539136e-04
8.800000e+00	8.900000e+00	2.255908e-04	5.539136e-04	5.539136e-04
8.900000e+00	9.000000e+00	8.207161e-04	9.850267e-04	9.850267e-04
9.000000e+00	9.100000e+00	3.706330e-05	2.273842e-04	2.273842e-04
9.100000e+00	9.200000e+00	2.101256e-07	1.718249e-05	1.718249e-05
9.200000e+00	9.300000e+00	4.539053e-05	2.507876e-04	2.507876e-04
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	3.502093e-08	7.014722e-06	7.014722e-06
9.500000e+00	9.600000e+00	1.415028e-03	7.075138e-04	7.075138e-04
9.600000e+00	9.700000e+00	9.522022e-04	9.420390e-04	9.420390e-04
