# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_2
ScaledBy=1.0
Title=gluon-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	3.537569e-04	3.537569e-04	3.537569e-04
2.000000e-01	3.000000e-01	2.248982e-04	5.391079e-04	5.391079e-04
3.000000e-01	4.000000e-01	1.124493e-04	3.812071e-04	3.812071e-04
4.000000e-01	5.000000e-01	4.382093e-04	7.301381e-04	7.301381e-04
5.000000e-01	6.000000e-01	5.622459e-04	8.524047e-04	8.524047e-04
6.000000e-01	7.000000e-01	1.096721e-03	1.181603e-03	1.181603e-03
7.000000e-01	8.000000e-01	9.455405e-07	3.644909e-05	3.644909e-05
8.000000e-01	9.000000e-01	7.089655e-04	9.865531e-04	9.865531e-04
9.000000e-01	1.000000e+00	2.524872e-05	1.883050e-04	1.883050e-04
1.000000e+00	1.100000e+00	9.201437e-06	1.136982e-04	1.136982e-04
1.100000e+00	1.200000e+00	7.824790e-04	1.043060e-03	1.043060e-03
1.200000e+00	1.300000e+00	3.422437e-07	2.192915e-05	2.192915e-05
1.300000e+00	1.400000e+00	7.652647e-04	1.033263e-03	1.033263e-03
1.400000e+00	1.500000e+00	5.496714e-04	8.768456e-04	8.768456e-04
1.500000e+00	1.600000e+00	3.225563e-03	2.103786e-03	2.103786e-03
1.600000e+00	1.700000e+00	3.659061e-05	2.267181e-04	2.267181e-04
1.700000e+00	1.800000e+00	5.576791e-05	2.798726e-04	2.798726e-04
1.800000e+00	1.900000e+00	6.458989e-04	9.506698e-04	9.506698e-04
1.900000e+00	2.000000e+00	5.298774e-04	8.611841e-04	8.611841e-04
2.000000e+00	2.100000e+00	3.521660e-04	7.027344e-04	7.027344e-04
2.100000e+00	2.200000e+00	9.041096e-04	1.123710e-03	1.123710e-03
2.200000e+00	2.300000e+00	2.505727e-04	5.929408e-04	5.929408e-04
2.300000e+00	2.400000e+00	2.139029e-04	5.479041e-04	5.479041e-04
2.400000e+00	2.500000e+00	8.369540e-04	1.081609e-03	1.081609e-03
2.500000e+00	2.600000e+00	1.052466e-03	1.212389e-03	1.212389e-03
2.600000e+00	2.700000e+00	3.337810e-04	6.842081e-04	6.842081e-04
2.700000e+00	2.800000e+00	4.445460e-04	7.893780e-04	7.893780e-04
2.800000e+00	2.900000e+00	1.288084e-04	4.252835e-04	4.252835e-04
2.900000e+00	3.000000e+00	2.354373e-03	1.807117e-03	1.807117e-03
3.000000e+00	3.100000e+00	1.207345e-04	4.117535e-04	4.117535e-04
3.100000e+00	3.200000e+00	2.252002e-03	1.768323e-03	1.768323e-03
3.200000e+00	3.300000e+00	1.258605e-04	4.204084e-04	4.204084e-04
3.300000e+00	3.400000e+00	8.302116e-04	1.077862e-03	1.077862e-03
3.400000e+00	3.500000e+00	1.189627e-03	1.289196e-03	1.289196e-03
3.500000e+00	3.600000e+00	1.039757e-06	3.822254e-05	3.822254e-05
3.600000e+00	3.700000e+00	7.150057e-04	1.000676e-03	1.000676e-03
3.700000e+00	3.800000e+00	1.301087e-04	4.274374e-04	4.274374e-04
3.800000e+00	3.900000e+00	5.400835e-04	8.699838e-04	8.699838e-04
3.900000e+00	4.000000e+00	5.115522e-05	2.680722e-04	2.680722e-04
4.000000e+00	4.100000e+00	3.041644e-04	6.532769e-04	6.532769e-04
4.100000e+00	4.200000e+00	1.910123e-03	1.630651e-03	1.630651e-03
4.200000e+00	4.300000e+00	4.835101e-04	8.233300e-04	8.233300e-04
4.300000e+00	4.400000e+00	1.301125e-03	1.348419e-03	1.348419e-03
4.400000e+00	4.500000e+00	1.319920e-04	4.305260e-04	4.305260e-04
4.500000e+00	4.600000e+00	9.771344e-05	3.704572e-04	3.704572e-04
4.600000e+00	4.700000e+00	4.138039e-04	7.617619e-04	7.617619e-04
4.700000e+00	4.800000e+00	6.486270e-06	9.546554e-05	9.546554e-05
4.800000e+00	4.900000e+00	8.708421e-05	3.497336e-04	3.497336e-04
4.900000e+00	5.000000e+00	1.394999e-04	4.425928e-04	4.425928e-04
5.000000e+00	5.100000e+00	5.754342e-04	8.980773e-04	8.980773e-04
5.100000e+00	5.200000e+00	2.919857e-05	2.025368e-04	2.025368e-04
5.200000e+00	5.300000e+00	1.998304e-04	5.296344e-04	5.296344e-04
5.300000e+00	5.400000e+00	6.895976e-04	9.828386e-04	9.828386e-04
5.400000e+00	5.500000e+00	4.001198e-05	2.370884e-04	2.370884e-04
5.500000e+00	5.600000e+00	2.890371e-06	6.372773e-05	6.372773e-05
5.600000e+00	5.700000e+00	1.794431e-04	5.019114e-04	5.019114e-04
5.700000e+00	5.800000e+00	3.825444e-04	7.325199e-04	7.325199e-04
5.800000e+00	5.900000e+00	1.683389e-04	4.861561e-04	4.861561e-04
5.900000e+00	6.000000e+00	1.391275e-03	1.393474e-03	1.393474e-03
6.000000e+00	6.100000e+00	5.296567e-05	2.727682e-04	2.727682e-04
6.100000e+00	6.200000e+00	1.078816e-06	3.893384e-05	3.893384e-05
6.200000e+00	6.300000e+00	2.968921e-04	6.454049e-04	6.454049e-04
6.300000e+00	6.400000e+00	4.573262e-04	8.006401e-04	8.006401e-04
6.400000e+00	6.500000e+00	2.977931e-05	2.045414e-04	2.045414e-04
6.500000e+00	6.600000e+00	1.409380e-04	4.448489e-04	4.448489e-04
6.600000e+00	6.700000e+00	3.349788e-04	6.854735e-04	6.854735e-04
6.700000e+00	6.800000e+00	2.134886e-03	1.722739e-03	1.722739e-03
6.800000e+00	6.900000e+00	2.061955e-05	1.702047e-04	1.702047e-04
6.900000e+00	7.000000e+00	7.382176e-04	1.016429e-03	1.016429e-03
7.000000e+00	7.100000e+00	3.180581e-03	2.093554e-03	2.093554e-03
7.100000e+00	7.200000e+00	2.790692e-03	1.965081e-03	1.965081e-03
7.200000e+00	7.300000e+00	2.870226e-03	1.991947e-03	1.991947e-03
7.300000e+00	7.400000e+00	3.945079e-03	2.326674e-03	2.326674e-03
7.400000e+00	7.500000e+00	2.415033e-03	1.826750e-03	1.826750e-03
7.500000e+00	7.600000e+00	4.493359e-03	2.471013e-03	2.471013e-03
7.600000e+00	7.700000e+00	1.800401e-03	1.578957e-03	1.578957e-03
7.700000e+00	7.800000e+00	2.485041e-03	1.849412e-03	1.849412e-03
7.800000e+00	7.900000e+00	1.380765e-03	1.382049e-03	1.382049e-03
7.900000e+00	8.000000e+00	4.544123e-03	2.454736e-03	2.454736e-03
8.000000e+00	8.100000e+00	3.496307e-03	2.158792e-03	2.158792e-03
8.100000e+00	8.200000e+00	4.204306e-03	2.347316e-03	2.347316e-03
8.200000e+00	8.300000e+00	2.982534e-04	6.455370e-04	6.455370e-04
8.300000e+00	8.400000e+00	1.593254e-03	1.468959e-03	1.468959e-03
8.400000e+00	8.500000e+00	5.470854e-03	2.565759e-03	2.565759e-03
8.500000e+00	8.600000e+00	2.851829e-04	6.302222e-04	6.302222e-04
8.600000e+00	8.700000e+00	3.393074e-03	2.062508e-03	2.062508e-03
8.700000e+00	8.800000e+00	4.414482e-03	2.249839e-03	2.249839e-03
8.800000e+00	8.900000e+00	1.214555e-04	4.117652e-04	4.117652e-04
8.900000e+00	9.000000e+00	1.024058e-03	1.153579e-03	1.153579e-03
9.000000e+00	9.100000e+00	2.569899e-03	1.750120e-03	1.750120e-03
9.100000e+00	9.200000e+00	7.881135e-04	1.022462e-03	1.022462e-03
9.200000e+00	9.300000e+00	6.090915e-04	8.842362e-04	8.842362e-04
9.300000e+00	9.400000e+00	1.751011e-07	1.568524e-05	1.568524e-05
9.400000e+00	9.500000e+00	4.539053e-05	2.507876e-04	2.507876e-04
9.500000e+00	9.600000e+00	9.968176e-04	1.034963e-03	1.034963e-03
9.600000e+00	9.700000e+00	3.706330e-05	2.273842e-04	2.273842e-04
