# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
ScaledBy=1.0
Title=gluon-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.220305e-02	2.375580e-02	2.375580e-02
1.000000e-02	2.000000e-02	1.202375e-01	4.051895e-02	4.051895e-02
2.000000e-02	3.000000e-02	1.722189e-01	4.848387e-02	4.848387e-02
3.000000e-02	4.000000e-02	2.136527e-02	1.729252e-02	1.729252e-02
4.000000e-02	5.000000e-02	5.632403e-03	8.890795e-03	8.890795e-03
5.000000e-02	6.000000e-02	5.648739e-03	8.903204e-03	8.903204e-03
6.000000e-02	7.000000e-02	1.414858e-04	1.409948e-03	1.409948e-03
7.000000e-02	8.000000e-02	1.101132e-03	3.932829e-03	3.932829e-03
8.000000e-02	9.000000e-02	1.188025e-03	4.084843e-03	4.084843e-03
9.000000e-02	1.000000e-01	1.010668e-05	3.768410e-04	3.768410e-04
1.000000e-01	1.100000e-01	4.424190e-04	2.493088e-03	2.493088e-03
1.100000e-01	1.200000e-01	4.927830e-07	8.321135e-05	8.321135e-05
1.200000e-01	1.300000e-01	7.309227e-03	1.011989e-02	1.011989e-02
1.300000e-01	1.400000e-01	1.333160e-04	1.368622e-03	1.368622e-03
1.400000e-01	1.500000e-01	6.642408e-04	3.054597e-03	3.054597e-03
1.500000e-01	1.600000e-01	7.134196e-04	3.165600e-03	3.165600e-03
1.600000e-01	1.700000e-01	7.561339e-04	3.258936e-03	3.258936e-03
1.700000e-01	1.800000e-01	5.592107e-04	2.802770e-03	2.802770e-03
1.800000e-01	1.900000e-01	9.775545e-06	3.706160e-04	3.706160e-04
1.900000e-01	2.000000e-01	7.604520e-06	3.268811e-04	3.268811e-04
2.000000e-01	2.100000e-01	3.730156e-03	7.232204e-03	7.232204e-03
2.100000e-01	2.200000e-01	7.894705e-04	3.329870e-03	3.329870e-03
2.200000e-01	2.300000e-01	1.251146e-03	4.191314e-03	4.191314e-03
2.300000e-01	2.400000e-01	1.228051e-02	1.308499e-02	1.308499e-02
2.400000e-01	2.500000e-01	2.290920e-03	5.670150e-03	5.670150e-03
2.500000e-01	2.600000e-01	2.720954e-03	6.177610e-03	6.177610e-03
2.600000e-01	2.700000e-01	3.043917e-03	6.533880e-03	6.533880e-03
2.700000e-01	2.800000e-01	9.403698e-03	1.146150e-02	1.146150e-02
2.800000e-01	2.900000e-01	3.062615e-03	6.553856e-03	6.553856e-03
