# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-gluon-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.411402e-04	2.476629e-03	2.476629e-03
1.000000e-02	2.000000e-02	8.498897e-03	1.077213e-02	1.077213e-02
2.000000e-02	3.000000e-02	3.308667e-02	2.121328e-02	2.121328e-02
3.000000e-02	4.000000e-02	1.259918e-01	4.119452e-02	4.119452e-02
4.000000e-02	5.000000e-02	5.488522e-02	2.762633e-02	2.762633e-02
5.000000e-02	6.000000e-02	7.809335e-02	3.292881e-02	3.292881e-02
6.000000e-02	7.000000e-02	3.323872e-02	2.156141e-02	2.156141e-02
7.000000e-02	8.000000e-02	2.520641e-02	1.878648e-02	1.878648e-02
8.000000e-02	9.000000e-02	2.484323e-03	5.907014e-03	5.907014e-03
9.000000e-02	1.000000e-01	2.536708e-03	5.968928e-03	5.968928e-03
1.000000e-01	1.100000e-01	1.130493e-03	3.985127e-03	3.985127e-03
1.100000e-01	1.200000e-01	2.589281e-03	6.030078e-03	6.030078e-03
1.200000e-01	1.300000e-01	4.219149e-03	7.695904e-03	7.695904e-03
1.300000e-01	1.400000e-01	4.765518e-03	8.177835e-03	8.177835e-03
1.400000e-01	1.500000e-01	6.163490e-03	9.298086e-03	9.298086e-03
1.500000e-01	1.600000e-01	1.278301e-02	1.337639e-02	1.337639e-02
1.600000e-01	1.700000e-01	1.056515e-04	1.218387e-03	1.218387e-03
1.700000e-01	1.800000e-01	1.870847e-03	5.125526e-03	5.125526e-03
1.800000e-01	1.900000e-01	2.666789e-03	6.118354e-03	6.118354e-03
1.900000e-01	2.000000e-01	1.102285e-03	3.934672e-03	3.934672e-03
2.000000e-01	2.100000e-01	1.097745e-02	1.239031e-02	1.239031e-02
2.100000e-01	2.200000e-01	6.503418e-04	3.022485e-03	3.022485e-03
2.200000e-01	2.300000e-01	1.345600e-03	4.346799e-03	4.346799e-03
2.300000e-01	2.400000e-01	9.243635e-06	3.603919e-04	3.603919e-04
2.400000e-01	2.500000e-01	9.751835e-04	3.700779e-03	3.700779e-03
2.500000e-01	2.600000e-01	2.523555e-03	5.950413e-03	5.950413e-03
2.600000e-01	2.700000e-01	3.671580e-04	2.271101e-03	2.271101e-03
2.700000e-01	2.800000e-01	2.015323e-04	1.682680e-03	1.682680e-03
2.800000e-01	2.900000e-01	6.412975e-03	9.474299e-03	9.474299e-03
2.900000e-01	3.000000e-01	1.224582e-02	1.306467e-02	1.306467e-02
3.000000e-01	3.100000e-01	6.054936e-03	9.205471e-03	9.205471e-03
3.100000e-01	3.200000e-01	1.070985e-03	3.877825e-03	3.877825e-03
3.200000e-01	3.300000e-01	1.604065e-02	1.492203e-02	1.492203e-02
3.300000e-01	3.400000e-01	1.571504e-02	1.476874e-02	1.476874e-02
3.400000e-01	3.500000e-01	1.799158e-03	5.024483e-03	5.024483e-03
3.500000e-01	3.600000e-01	2.309692e-04	1.801320e-03	1.801320e-03
3.600000e-01	3.700000e-01	1.442491e-02	1.414462e-02	1.414462e-02
3.700000e-01	3.800000e-01	1.107774e-02	1.241366e-02	1.241366e-02
3.800000e-01	3.900000e-01	7.502763e-03	1.023228e-02	1.023228e-02
3.900000e-01	4.000000e-01	3.669033e-06	2.270543e-04	2.270543e-04
4.000000e-01	4.100000e-01	9.836071e-03	1.169389e-02	1.169389e-02
4.100000e-01	4.200000e-01	5.527199e-04	2.785983e-03	2.785983e-03
4.200000e-01	4.300000e-01	1.525241e-03	4.625782e-03	4.625782e-03
4.300000e-01	4.400000e-01	3.186936e-05	6.691651e-04	6.691651e-04
4.400000e-01	4.500000e-01	2.854092e-03	6.322838e-03	6.322838e-03
4.500000e-01	4.600000e-01	2.858325e-03	6.326065e-03	6.326065e-03
4.600000e-01	4.700000e-01	4.678464e-04	2.563186e-03	2.563186e-03
4.700000e-01	4.800000e-01	3.072429e-03	6.557049e-03	6.557049e-03
4.800000e-01	4.900000e-01	8.029488e-04	3.357188e-03	3.357188e-03
4.900000e-01	5.000000e-01	5.342203e-03	8.633903e-03	8.633903e-03
5.000000e-01	5.100000e-01	2.696623e-05	6.155405e-04	6.155405e-04
5.100000e-01	5.200000e-01	1.892235e-04	1.630369e-03	1.630369e-03
5.200000e-01	5.300000e-01	1.223860e-04	1.311221e-03	1.311221e-03
5.300000e-01	5.400000e-01	5.946831e-04	2.889456e-03	2.889456e-03
5.400000e-01	5.500000e-01	3.778839e-03	7.264924e-03	7.264924e-03
5.500000e-01	5.600000e-01	1.382584e-03	4.402495e-03	4.402495e-03
5.600000e-01	5.700000e-01	8.869523e-04	3.527907e-03	3.527907e-03
5.700000e-01	5.800000e-01	2.912055e-05	6.396530e-04	6.396530e-04
5.800000e-01	5.900000e-01	2.137613e-03	5.469201e-03	5.469201e-03
5.900000e-01	6.000000e-01	1.444994e-03	4.498789e-03	4.498789e-03
6.000000e-01	6.100000e-01	1.692040e-02	1.516791e-02	1.516791e-02
6.100000e-01	6.200000e-01	5.412077e-05	8.719921e-04	8.719921e-04
6.200000e-01	6.300000e-01	6.932953e-04	3.118711e-03	3.118711e-03
6.300000e-01	6.400000e-01	1.909295e-02	1.604106e-02	1.604106e-02
6.400000e-01	6.500000e-01	5.192021e-05	8.540833e-04	8.540833e-04
6.500000e-01	6.600000e-01	1.853205e-03	5.090575e-03	5.090575e-03
6.600000e-01	6.700000e-01	3.923765e-04	2.347040e-03	2.347040e-03
6.700000e-01	6.800000e-01	4.688664e-03	8.068241e-03	8.068241e-03
6.800000e-01	6.900000e-01	2.220538e-04	1.765908e-03	1.765908e-03
6.900000e-01	7.000000e-01	6.650127e-04	3.053527e-03	3.053527e-03
7.000000e-01	7.100000e-01	8.507308e-04	3.453529e-03	3.453529e-03
7.100000e-01	7.200000e-01	4.024829e-03	7.478594e-03	7.478594e-03
7.200000e-01	7.300000e-01	2.060810e-02	1.636784e-02	1.636784e-02
7.300000e-01	7.400000e-01	6.463636e-04	3.010453e-03	3.010453e-03
7.400000e-01	7.500000e-01	9.349577e-04	3.617273e-03	3.617273e-03
7.500000e-01	7.600000e-01	6.322001e-04	2.977449e-03	2.977449e-03
7.600000e-01	7.700000e-01	6.840721e-03	9.653448e-03	9.653448e-03
7.700000e-01	7.800000e-01	4.112930e-03	7.534891e-03	7.534891e-03
7.800000e-01	7.900000e-01	1.092985e-02	1.205861e-02	1.205861e-02
7.900000e-01	8.000000e-01	3.067102e-05	6.564321e-04	6.564321e-04
8.000000e-01	8.100000e-01	1.340001e-02	1.311534e-02	1.311534e-02
8.100000e-01	8.200000e-01	1.087826e-02	1.162041e-02	1.162041e-02
8.200000e-01	8.300000e-01	1.361716e-03	4.343768e-03	4.343768e-03
8.300000e-01	8.400000e-01	1.213900e-04	1.305203e-03	1.305203e-03
8.400000e-01	8.500000e-01	3.707435e-03	7.037210e-03	7.037210e-03
8.500000e-01	8.600000e-01	2.289114e-03	5.563511e-03	5.563511e-03
8.600000e-01	8.700000e-01	1.842677e-02	1.317175e-02	1.317175e-02
8.700000e-01	8.800000e-01	1.309503e-03	4.229009e-03	4.229009e-03
8.800000e-01	8.900000e-01	6.547505e-04	2.990359e-03	2.990359e-03
8.900000e-01	9.000000e-01	3.654551e-03	6.849265e-03	6.849265e-03
9.000000e-01	9.100000e-01	7.519681e-04	3.198019e-03	3.198019e-03
9.100000e-01	9.200000e-01	9.522022e-03	9.420390e-03	9.420390e-03
9.200000e-01	9.300000e-01	2.092780e-02	8.543737e-03	8.543737e-03
9.300000e-01	9.400000e-01	3.502093e-07	7.014722e-05	7.014722e-05
9.400000e-01	9.500000e-01	3.502093e-07	7.014722e-05	7.014722e-05
9.500000e-01	9.600000e-01	1.061270e-02	6.127249e-03	6.127249e-03
9.600000e-01	9.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	3.426359e-03	6.268778e-03	6.268778e-03
9.800000e-01	9.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
LineColor=blue
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/gluon-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.0
Title=gluon-as013650-as015015-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.374728e-03	7.996664e-03	7.996664e-03
1.000000e-02	2.000000e-02	5.523264e-03	8.620080e-03	8.620080e-03
2.000000e-02	3.000000e-02	3.254162e-03	6.693985e-03	6.693985e-03
3.000000e-02	4.000000e-02	2.794870e-02	1.952518e-02	1.952518e-02
4.000000e-02	5.000000e-02	1.876694e-01	4.964129e-02	4.964129e-02
5.000000e-02	6.000000e-02	6.554476e-02	2.991275e-02	2.991275e-02
6.000000e-02	7.000000e-02	3.803023e-02	2.286151e-02	2.286151e-02
7.000000e-02	8.000000e-02	1.541427e-02	1.458232e-02	1.458232e-02
8.000000e-02	9.000000e-02	1.899052e-03	5.123825e-03	5.123825e-03
9.000000e-02	1.000000e-01	2.660257e-03	6.063997e-03	6.063997e-03
1.000000e-01	1.100000e-01	7.413894e-03	1.011825e-02	1.011825e-02
1.100000e-01	1.200000e-01	2.212947e-06	1.749366e-04	1.749366e-04
1.200000e-01	1.300000e-01	2.755716e-03	6.171294e-03	6.171294e-03
1.300000e-01	1.400000e-01	4.472735e-03	7.860435e-03	7.860435e-03
1.400000e-01	1.500000e-01	2.115049e-07	5.408236e-05	5.408236e-05
1.500000e-01	1.600000e-01	2.182564e-04	1.737264e-03	1.737264e-03
1.600000e-01	1.700000e-01	1.104364e-02	1.233727e-02	1.233727e-02
1.700000e-01	1.800000e-01	2.386489e-03	5.742653e-03	5.742653e-03
1.800000e-01	1.900000e-01	2.999738e-03	6.437436e-03	6.437436e-03
1.900000e-01	2.000000e-01	6.968067e-04	3.103810e-03	3.103810e-03
2.000000e-01	2.100000e-01	6.094670e-05	9.180479e-04	9.180479e-04
2.100000e-01	2.200000e-01	4.094961e-05	7.525174e-04	7.525174e-04
2.200000e-01	2.300000e-01	5.483995e-03	8.697795e-03	8.697795e-03
2.300000e-01	2.400000e-01	1.294466e-02	1.333928e-02	1.333928e-02
2.400000e-01	2.500000e-01	5.574290e-03	8.768792e-03	8.768792e-03
2.500000e-01	2.600000e-01	7.547878e-04	3.230130e-03	3.230130e-03
2.600000e-01	2.700000e-01	1.225062e-02	1.297586e-02	1.297586e-02
2.700000e-01	2.800000e-01	7.617708e-03	1.024227e-02	1.024227e-02
