# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.542753e-02	8.612974e-03	8.612974e-03
1.000000e-02	2.000000e-02	9.455142e-03	3.928462e-03	3.928462e-03
2.000000e-02	3.000000e-02	5.322112e-03	2.947503e-03	2.947503e-03
3.000000e-02	4.000000e-02	8.784062e-03	3.784729e-03	3.784729e-03
4.000000e-02	5.000000e-02	8.970300e-03	3.823668e-03	3.823668e-03
5.000000e-02	6.000000e-02	1.173435e-03	1.384384e-03	1.384384e-03
6.000000e-02	7.000000e-02	1.041724e-02	4.116998e-03	4.116998e-03
7.000000e-02	8.000000e-02	4.149831e-03	2.601343e-03	2.601343e-03
8.000000e-02	9.000000e-02	5.548249e-03	3.006268e-03	3.006268e-03
9.000000e-02	1.000000e-01	6.534436e-03	3.260380e-03	3.260380e-03
1.000000e-01	1.100000e-01	4.105874e-03	2.586034e-03	2.586034e-03
1.100000e-01	1.200000e-01	3.314244e-03	2.323724e-03	2.323724e-03
1.200000e-01	1.300000e-01	3.951216e-03	2.536004e-03	2.536004e-03
1.300000e-01	1.400000e-01	1.816606e-03	1.721131e-03	1.721131e-03
1.400000e-01	1.500000e-01	6.741549e-07	3.318852e-05	3.318852e-05
1.500000e-01	1.600000e-01	1.016928e-03	1.288018e-03	1.288018e-03
1.600000e-01	1.700000e-01	2.548593e-04	6.451709e-04	6.451709e-04
1.700000e-01	1.800000e-01	5.856219e-04	9.776941e-04	9.776941e-04
1.800000e-01	1.900000e-01	2.598588e-03	2.055232e-03	2.055232e-03
1.900000e-01	2.000000e-01	1.512589e-03	1.569498e-03	1.569498e-03
2.000000e-01	2.100000e-01	4.530750e-05	2.720636e-04	2.720636e-04
2.100000e-01	2.200000e-01	2.421274e-03	1.982380e-03	1.982380e-03
2.200000e-01	2.300000e-01	2.600528e-03	2.053340e-03	2.053340e-03
2.300000e-01	2.400000e-01	1.833039e-05	1.730542e-04	1.730542e-04
2.400000e-01	2.500000e-01	8.970860e-04	1.208734e-03	1.208734e-03
2.500000e-01	2.600000e-01	4.031334e-03	2.545641e-03	2.545641e-03
2.600000e-01	2.700000e-01	2.898597e-05	2.176092e-04	2.176092e-04
2.700000e-01	2.800000e-01	3.292000e-04	7.328578e-04	7.328578e-04
2.800000e-01	2.900000e-01	1.558251e-04	5.043800e-04	5.043800e-04
2.900000e-01	3.000000e-01	4.203638e-06	8.287367e-05	8.287367e-05
3.000000e-01	3.100000e-01	1.070301e-03	1.318336e-03	1.318336e-03
3.100000e-01	3.200000e-01	1.509761e-04	4.964345e-04	4.964345e-04
3.200000e-01	3.300000e-01	1.276167e-03	1.437184e-03	1.437184e-03
3.300000e-01	3.400000e-01	8.985274e-04	1.207559e-03	1.207559e-03
3.400000e-01	3.500000e-01	3.661156e-04	7.721420e-04	7.721420e-04
3.500000e-01	3.600000e-01	1.784452e-03	1.691821e-03	1.691821e-03
3.600000e-01	3.700000e-01	2.005445e-04	5.718675e-04	5.718675e-04
3.700000e-01	3.800000e-01	2.151800e-04	5.921913e-04	5.921913e-04
3.800000e-01	3.900000e-01	3.435012e-04	7.475532e-04	7.475532e-04
3.900000e-01	4.000000e-01	1.391075e-03	1.490432e-03	1.490432e-03
4.000000e-01	4.100000e-01	2.526801e-05	2.031486e-04	2.031486e-04
4.100000e-01	4.200000e-01	1.202142e-03	1.388260e-03	1.388260e-03
4.200000e-01	4.300000e-01	3.621694e-07	2.432557e-05	2.432557e-05
4.300000e-01	4.400000e-01	6.312321e-04	1.009137e-03	1.009137e-03
4.400000e-01	4.500000e-01	1.215045e-03	1.383669e-03	1.383669e-03
4.500000e-01	4.600000e-01	1.732949e-04	5.307127e-04	5.307127e-04
4.600000e-01	4.700000e-01	3.402842e-04	7.417215e-04	7.417215e-04
4.700000e-01	4.800000e-01	4.524829e-04	8.526385e-04	8.526385e-04
4.800000e-01	4.900000e-01	2.890247e-04	6.827587e-04	6.827587e-04
4.900000e-01	5.000000e-01	7.076346e-04	1.047589e-03	1.047589e-03
5.000000e-01	5.100000e-01	2.671424e-04	6.544317e-04	6.544317e-04
5.100000e-01	5.200000e-01	1.253679e-04	4.502079e-04	4.502079e-04
5.200000e-01	5.300000e-01	4.016284e-04	7.930609e-04	7.930609e-04
5.300000e-01	5.400000e-01	9.833377e-04	1.180099e-03	1.180099e-03
5.400000e-01	5.500000e-01	1.269769e-05	1.438470e-04	1.438470e-04
5.500000e-01	5.600000e-01	1.269769e-05	1.438470e-04	1.438470e-04
5.600000e-01	5.700000e-01	2.025076e-04	5.648807e-04	5.648807e-04
5.700000e-01	5.800000e-01	1.269769e-05	1.438470e-04	1.438470e-04
5.800000e-01	5.900000e-01	6.751178e-04	9.868386e-04	9.868386e-04
5.900000e-01	6.000000e-01	7.674457e-06	1.119199e-04	1.119199e-04
6.000000e-01	6.100000e-01	1.010910e-04	3.959522e-04	3.959522e-04
6.100000e-01	6.200000e-01	8.914316e-05	3.773715e-04	3.773715e-04
6.200000e-01	6.300000e-01	1.010910e-04	3.959522e-04	3.959522e-04
6.300000e-01	6.400000e-01	5.545479e-04	8.538380e-04	8.538380e-04
6.400000e-01	6.500000e-01	7.272165e-04	4.198585e-04	4.198585e-04
6.500000e-01	6.600000e-01	1.790977e-05	1.701629e-04	1.701629e-04
6.600000e-01	6.700000e-01	5.907563e-04	8.276545e-04	8.276545e-04
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	4.848109e-04	3.428131e-04	3.428131e-04
6.900000e-01	7.000000e-01	7.272165e-04	4.198585e-04	4.198585e-04
7.000000e-01	7.100000e-01	4.848109e-04	3.428131e-04	3.428131e-04
7.100000e-01	7.200000e-01	1.212027e-03	5.420351e-04	5.420351e-04
7.200000e-01	7.300000e-01	7.272165e-04	4.198585e-04	4.198585e-04
7.300000e-01	7.400000e-01	7.272165e-04	4.198585e-04	4.198585e-04
