# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_2_alpha_0.5
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.911525e-01	3.648155e-02	3.648155e-02
1.000000e-02	2.000000e-02	3.504469e-01	2.320401e-02	2.320401e-02
2.000000e-02	3.000000e-02	1.875590e-01	1.727109e-02	1.727109e-02
3.000000e-02	4.000000e-02	9.011443e-02	1.206425e-02	1.206425e-02
4.000000e-02	5.000000e-02	1.921096e-02	5.595699e-03	5.595699e-03
5.000000e-02	6.000000e-02	1.277301e-03	1.444506e-03	1.444506e-03
6.000000e-02	7.000000e-02	2.654497e-03	2.082192e-03	2.082192e-03
7.000000e-02	8.000000e-02	3.479752e-03	2.383815e-03	2.383815e-03
8.000000e-02	9.000000e-02	6.680682e-03	3.302097e-03	3.302097e-03
9.000000e-02	1.000000e-01	2.300402e-02	6.118514e-03	6.118514e-03
1.000000e-01	1.100000e-01	3.019497e-02	7.003687e-03	7.003687e-03
1.100000e-01	1.200000e-01	2.766307e-02	6.703366e-03	6.703366e-03
1.200000e-01	1.300000e-01	2.406907e-02	6.253839e-03	6.253839e-03
1.300000e-01	1.400000e-01	2.361529e-02	6.193694e-03	6.193694e-03
1.400000e-01	1.500000e-01	1.709073e-02	5.272189e-03	5.272189e-03
1.500000e-01	1.600000e-01	2.126389e-02	5.875650e-03	5.875650e-03
1.600000e-01	1.700000e-01	1.797371e-02	5.403956e-03	5.403956e-03
1.700000e-01	1.800000e-01	1.403893e-02	4.777815e-03	4.777815e-03
1.800000e-01	1.900000e-01	1.699016e-02	5.251648e-03	5.251648e-03
1.900000e-01	2.000000e-01	1.038705e-02	4.110780e-03	4.110780e-03
2.000000e-01	2.100000e-01	1.344807e-02	4.673243e-03	4.673243e-03
2.100000e-01	2.200000e-01	1.756860e-02	5.334902e-03	5.334902e-03
2.200000e-01	2.300000e-01	5.222130e-03	2.917043e-03	2.917043e-03
2.300000e-01	2.400000e-01	5.696835e-03	3.045919e-03	3.045919e-03
2.400000e-01	2.500000e-01	1.418997e-02	4.794315e-03	4.794315e-03
2.500000e-01	2.600000e-01	6.601171e-03	3.276931e-03	3.276931e-03
2.600000e-01	2.700000e-01	1.166434e-02	4.347713e-03	4.347713e-03
2.700000e-01	2.800000e-01	9.699498e-03	3.966078e-03	3.966078e-03
2.800000e-01	2.900000e-01	1.169143e-02	4.349025e-03	4.349025e-03
2.900000e-01	3.000000e-01	1.646174e-02	5.146548e-03	5.146548e-03
