# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_0_alpha_1
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	1.350234e-05	4.413274e-05	4.413274e-05
3.000000e-01	4.000000e-01	2.585214e-04	1.818756e-04	1.818756e-04
4.000000e-01	5.000000e-01	8.164233e-05	1.135518e-04	1.135518e-04
5.000000e-01	6.000000e-01	3.302390e-05	7.326656e-05	7.326656e-05
6.000000e-01	7.000000e-01	2.435744e-04	1.979447e-04	1.979447e-04
7.000000e-01	8.000000e-01	2.627167e-04	2.064187e-04	2.064187e-04
8.000000e-01	9.000000e-01	3.977475e-04	2.539757e-04	2.539757e-04
9.000000e-01	1.000000e+00	1.511166e-04	1.569710e-04	1.569710e-04
1.000000e+00	1.100000e+00	4.071242e-04	2.573577e-04	2.573577e-04
1.100000e+00	1.200000e+00	3.972360e-04	2.543065e-04	2.543065e-04
1.200000e+00	1.300000e+00	7.045772e-04	3.383731e-04	3.383731e-04
1.300000e+00	1.400000e+00	2.195729e-04	1.892681e-04	1.892681e-04
1.400000e+00	1.500000e+00	7.331046e-04	3.453352e-04	3.453352e-04
1.500000e+00	1.600000e+00	3.141282e-04	2.263548e-04	2.263548e-04
1.600000e+00	1.700000e+00	6.216795e-04	3.181966e-04	3.181966e-04
1.700000e+00	1.800000e+00	1.090789e-03	4.210902e-04	4.210902e-04
1.800000e+00	1.900000e+00	1.735628e-03	5.304456e-04	5.304456e-04
1.900000e+00	2.000000e+00	1.122742e-03	4.272859e-04	4.272859e-04
2.000000e+00	2.100000e+00	3.300650e-04	2.320750e-04	2.320750e-04
2.100000e+00	2.200000e+00	5.789462e-04	3.072240e-04	3.072240e-04
2.200000e+00	2.300000e+00	5.059120e-04	2.872355e-04	2.872355e-04
2.300000e+00	2.400000e+00	2.549703e-04	2.040127e-04	2.040127e-04
2.400000e+00	2.500000e+00	4.041147e-04	2.567769e-04	2.567769e-04
2.500000e+00	2.600000e+00	7.204676e-04	3.426730e-04	3.426730e-04
2.600000e+00	2.700000e+00	7.157113e-04	3.415501e-04	3.415501e-04
2.700000e+00	2.800000e+00	6.599009e-04	3.279861e-04	3.279861e-04
2.800000e+00	2.900000e+00	5.269003e-04	2.931379e-04	2.931379e-04
2.900000e+00	3.000000e+00	3.123641e-04	2.257848e-04	2.257848e-04
3.000000e+00	3.100000e+00	3.397558e-04	2.354602e-04	2.354602e-04
3.100000e+00	3.200000e+00	4.448675e-04	2.693852e-04	2.693852e-04
3.200000e+00	3.300000e+00	2.307751e-04	1.940951e-04	1.940951e-04
3.300000e+00	3.400000e+00	2.636469e-04	2.074435e-04	2.074435e-04
3.400000e+00	3.500000e+00	6.982301e-04	3.372916e-04	3.372916e-04
3.500000e+00	3.600000e+00	4.371309e-04	2.670154e-04	2.670154e-04
3.600000e+00	3.700000e+00	7.703073e-04	3.542075e-04	3.542075e-04
3.700000e+00	3.800000e+00	6.482991e-04	3.250266e-04	3.250266e-04
3.800000e+00	3.900000e+00	6.575289e-04	3.273123e-04	3.273123e-04
3.900000e+00	4.000000e+00	2.592664e-05	6.508164e-05	6.508164e-05
4.000000e+00	4.100000e+00	2.823053e-04	2.146353e-04	2.146353e-04
4.100000e+00	4.200000e+00	1.142344e-04	1.365824e-04	1.365824e-04
4.200000e+00	4.300000e+00	4.607499e-04	2.740872e-04	2.740872e-04
4.300000e+00	4.400000e+00	9.868483e-05	1.269513e-04	1.269513e-04
4.400000e+00	4.500000e+00	1.315783e-04	1.465791e-04	1.465791e-04
4.500000e+00	4.600000e+00	1.543286e-05	5.021295e-05	5.021295e-05
4.600000e+00	4.700000e+00	1.904089e-04	1.763020e-04	1.763020e-04
4.700000e+00	4.800000e+00	1.324507e-04	1.470606e-04	1.470606e-04
4.800000e+00	4.900000e+00	4.802917e-05	8.857471e-05	8.857471e-05
4.900000e+00	5.000000e+00	2.563420e-04	2.045220e-04	2.045220e-04
5.000000e+00	5.100000e+00	9.069733e-05	1.217043e-04	1.217043e-04
5.100000e+00	5.200000e+00	8.394898e-05	1.170915e-04	1.170915e-04
5.200000e+00	5.300000e+00	6.888106e-05	1.060669e-04	1.060669e-04
5.300000e+00	5.400000e+00	3.333737e-05	7.379647e-05	7.379647e-05
5.400000e+00	5.500000e+00	2.966351e-05	6.961196e-05	6.961196e-05
5.500000e+00	5.600000e+00	1.409186e-04	1.516782e-04	1.516782e-04
5.600000e+00	5.700000e+00	5.512472e-08	3.001106e-06	3.001106e-06
5.700000e+00	5.800000e+00	1.828876e-04	1.727668e-04	1.727668e-04
5.800000e+00	5.900000e+00	1.776779e-04	1.702827e-04	1.702827e-04
5.900000e+00	6.000000e+00	1.112564e-04	1.347723e-04	1.347723e-04
6.000000e+00	6.100000e+00	2.228245e-04	1.906468e-04	1.906468e-04
6.100000e+00	6.200000e+00	1.136850e-03	4.291278e-04	4.291278e-04
6.200000e+00	6.300000e+00	3.497601e-04	2.387021e-04	2.387021e-04
6.300000e+00	6.400000e+00	2.551167e-04	2.039292e-04	2.039292e-04
6.400000e+00	6.500000e+00	2.117596e-04	1.858042e-04	1.858042e-04
6.500000e+00	6.600000e+00	4.235635e-04	2.624264e-04	2.624264e-04
6.600000e+00	6.700000e+00	2.241819e-04	1.910908e-04	1.910908e-04
6.700000e+00	6.800000e+00	1.591916e-04	1.610533e-04	1.610533e-04
6.800000e+00	6.900000e+00	2.680182e-05	6.615484e-05	6.615484e-05
6.900000e+00	7.000000e+00	8.903435e-05	1.204702e-04	1.204702e-04
7.000000e+00	7.100000e+00	7.922296e-07	1.137699e-05	1.137699e-05
7.100000e+00	7.200000e+00	4.657354e-11	8.723240e-08	8.723240e-08
7.200000e+00	7.300000e+00	4.482735e-05	8.545924e-05	8.545924e-05
7.300000e+00	7.400000e+00	6.115251e-06	3.160240e-05	3.160240e-05
7.400000e+00	7.500000e+00	9.097653e-06	3.853722e-05	3.853722e-05
7.500000e+00	7.600000e+00	8.960299e-05	1.203210e-04	1.203210e-04
7.600000e+00	7.700000e+00	1.575801e-06	1.604356e-05	1.604356e-05
7.700000e+00	7.800000e+00	1.022567e-04	1.277299e-04	1.277299e-04
7.800000e+00	7.900000e+00	1.505923e-04	1.534447e-04	1.534447e-04
7.900000e+00	8.000000e+00	2.503883e-05	6.375158e-05	6.375158e-05
8.000000e+00	8.100000e+00	5.196430e-06	2.911232e-05	2.911232e-05
8.100000e+00	8.200000e+00	3.398576e-06	2.354848e-05	2.354848e-05
8.200000e+00	8.300000e+00	2.669817e-06	2.087109e-05	2.087109e-05
8.300000e+00	8.400000e+00	5.446594e-07	9.431902e-06	9.431902e-06
8.400000e+00	8.500000e+00	6.065444e-05	9.698796e-05	9.698796e-05
8.500000e+00	8.600000e+00	6.332135e-05	9.879684e-05	9.879684e-05
8.600000e+00	8.700000e+00	1.182987e-05	4.348046e-05	4.348046e-05
8.700000e+00	8.800000e+00	3.815910e-05	7.282565e-05	7.282565e-05
8.800000e+00	8.900000e+00	3.636082e-04	9.388323e-05	9.388323e-05
8.900000e+00	9.000000e+00	9.371096e-05	1.053481e-04	1.053481e-04
9.000000e+00	9.100000e+00	1.679488e-07	5.236974e-06	5.236974e-06
9.100000e+00	9.200000e+00	2.700471e-05	6.241315e-05	6.241315e-05
9.200000e+00	9.300000e+00	3.581930e-06	2.406459e-05	2.406459e-05
9.300000e+00	9.400000e+00	3.581930e-06	2.406459e-05	2.406459e-05
9.400000e+00	9.500000e+00	2.274801e-05	5.783272e-05	5.783272e-05
9.500000e+00	9.600000e+00	1.350234e-05	4.413274e-05	4.413274e-05
9.600000e+00	9.700000e+00	4.848109e-05	3.428131e-05	3.428131e-05
9.700000e+00	9.800000e+00	1.350234e-05	4.413274e-05	4.413274e-05
9.800000e+00	9.900000e+00	5.745275e-05	5.745276e-05	5.745276e-05
9.900000e+00	1.000000e+01	2.424055e-05	2.424054e-05	2.424054e-05
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	4.848109e-05	3.428131e-05	3.428131e-05
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	4.848109e-05	3.428131e-05	3.428131e-05
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	1.350234e-05	4.413274e-05	4.413274e-05
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
