# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	5.745275e-05	5.745276e-05	5.745276e-05
2.000000e-01	3.000000e-01	1.054381e-05	4.090966e-05	4.090966e-05
3.000000e-01	4.000000e-01	4.363298e-04	1.028439e-04	1.028439e-04
4.000000e-01	5.000000e-01	7.043129e-06	3.384203e-05	3.384203e-05
5.000000e-01	6.000000e-01	5.825358e-06	3.082187e-05	3.082187e-05
6.000000e-01	7.000000e-01	1.718652e-04	1.645123e-04	1.645123e-04
7.000000e-01	8.000000e-01	4.972706e-05	8.996356e-05	8.996356e-05
8.000000e-01	9.000000e-01	2.277464e-04	1.919497e-04	1.919497e-04
9.000000e-01	1.000000e+00	1.195433e-04	1.394723e-04	1.394723e-04
1.000000e+00	1.100000e+00	1.446452e-04	1.534393e-04	1.534393e-04
1.100000e+00	1.200000e+00	7.107975e-05	1.076868e-04	1.076868e-04
1.200000e+00	1.300000e+00	3.998244e-05	8.079679e-05	8.079679e-05
1.300000e+00	1.400000e+00	1.618249e-04	1.624028e-04	1.624028e-04
1.400000e+00	1.500000e+00	2.119672e-04	1.858258e-04	1.858258e-04
1.500000e+00	1.600000e+00	1.017144e-04	1.288333e-04	1.288333e-04
1.600000e+00	1.700000e+00	2.696891e-04	2.095951e-04	2.095951e-04
1.700000e+00	1.800000e+00	1.409613e-04	1.516561e-04	1.516561e-04
1.800000e+00	1.900000e+00	7.304138e-05	1.092037e-04	1.092037e-04
1.900000e+00	2.000000e+00	3.949991e-08	2.540424e-06	2.540424e-06
2.000000e+00	2.100000e+00	5.301834e-04	2.936702e-04	2.936702e-04
2.100000e+00	2.200000e+00	1.682187e-04	1.656769e-04	1.656769e-04
2.200000e+00	2.300000e+00	6.231757e-04	3.183068e-04	3.183068e-04
2.300000e+00	2.400000e+00	6.626713e-04	3.281979e-04	3.281979e-04
2.400000e+00	2.500000e+00	4.649461e-04	2.751345e-04	2.751345e-04
2.500000e+00	2.600000e+00	9.746101e-05	1.261431e-04	1.261431e-04
2.600000e+00	2.700000e+00	5.710930e-04	3.047999e-04	3.047999e-04
2.700000e+00	2.800000e+00	6.074691e-04	3.142990e-04	3.142990e-04
2.800000e+00	2.900000e+00	1.481912e-04	1.555169e-04	1.555169e-04
2.900000e+00	3.000000e+00	1.816440e-05	5.447412e-05	5.447412e-05
3.000000e+00	3.100000e+00	3.034882e-04	2.224273e-04	2.224273e-04
3.100000e+00	3.200000e+00	1.244333e-04	1.425199e-04	1.425199e-04
3.200000e+00	3.300000e+00	1.970237e-04	1.792948e-04	1.792948e-04
3.300000e+00	3.400000e+00	6.435290e-04	3.235024e-04	3.235024e-04
3.400000e+00	3.500000e+00	3.934284e-04	2.531631e-04	2.531631e-04
3.500000e+00	3.600000e+00	9.499632e-05	1.245427e-04	1.245427e-04
3.600000e+00	3.700000e+00	4.512679e-04	2.710920e-04	2.710920e-04
3.700000e+00	3.800000e+00	1.948953e-04	1.783221e-04	1.783221e-04
3.800000e+00	3.900000e+00	9.678523e-05	1.257097e-04	1.257097e-04
3.900000e+00	4.000000e+00	3.795644e-06	2.490264e-05	2.490264e-05
4.000000e+00	4.100000e+00	2.841489e-04	2.152606e-04	2.152606e-04
4.100000e+00	4.200000e+00	1.209034e-04	1.404909e-04	1.404909e-04
4.200000e+00	4.300000e+00	1.586851e-04	1.609317e-04	1.609317e-04
4.300000e+00	4.400000e+00	4.686498e-04	2.762771e-04	2.762771e-04
4.400000e+00	4.500000e+00	5.133902e-04	2.891301e-04	2.891301e-04
4.500000e+00	4.600000e+00	2.092759e-04	1.847805e-04	1.847805e-04
4.600000e+00	4.700000e+00	1.354158e-04	1.486795e-04	1.486795e-04
4.700000e+00	4.800000e+00	2.362048e-04	1.963010e-04	1.963010e-04
4.800000e+00	4.900000e+00	6.411664e-04	3.229932e-04	3.229932e-04
4.900000e+00	5.000000e+00	2.759025e-04	2.121294e-04	2.121294e-04
5.000000e+00	5.100000e+00	1.692313e-04	1.661956e-04	1.661956e-04
5.100000e+00	5.200000e+00	3.798926e-04	2.488383e-04	2.488383e-04
5.200000e+00	5.300000e+00	6.721658e-04	3.306849e-04	3.306849e-04
5.300000e+00	5.400000e+00	1.809158e-04	1.718311e-04	1.718311e-04
5.400000e+00	5.500000e+00	3.733747e-04	2.466979e-04	2.466979e-04
5.500000e+00	5.600000e+00	3.922669e-04	2.528626e-04	2.528626e-04
5.600000e+00	5.700000e+00	3.792077e-04	2.486268e-04	2.486268e-04
5.700000e+00	5.800000e+00	3.448620e-04	2.371214e-04	2.371214e-04
5.800000e+00	5.900000e+00	6.246762e-04	3.188464e-04	3.188464e-04
5.900000e+00	6.000000e+00	9.933358e-05	1.273586e-04	1.273586e-04
6.000000e+00	6.100000e+00	1.261716e-04	1.435243e-04	1.435243e-04
6.100000e+00	6.200000e+00	4.748590e-04	2.781559e-04	2.781559e-04
6.200000e+00	6.300000e+00	1.289711e-04	1.451055e-04	1.451055e-04
6.300000e+00	6.400000e+00	6.233073e-04	3.185300e-04	3.185300e-04
6.400000e+00	6.500000e+00	2.069150e-04	1.837549e-04	1.837549e-04
6.500000e+00	6.600000e+00	2.647146e-04	2.078098e-04	2.078098e-04
6.600000e+00	6.700000e+00	1.270966e-04	1.440510e-04	1.440510e-04
6.700000e+00	6.800000e+00	8.599244e-04	3.738528e-04	3.738528e-04
6.800000e+00	6.900000e+00	4.037777e-04	2.565432e-04	2.565432e-04
6.900000e+00	7.000000e+00	2.606721e-04	2.062165e-04	2.062165e-04
7.000000e+00	7.100000e+00	3.180386e-04	2.277453e-04	2.277453e-04
7.100000e+00	7.200000e+00	6.661375e-08	3.299059e-06	3.299059e-06
7.200000e+00	7.300000e+00	8.061781e-05	1.147412e-04	1.147412e-04
7.300000e+00	7.400000e+00	1.479241e-04	1.553959e-04	1.553959e-04
7.400000e+00	7.500000e+00	1.771760e-05	5.380075e-05	5.380075e-05
7.500000e+00	7.600000e+00	2.188347e-05	5.979141e-05	5.979141e-05
7.600000e+00	7.700000e+00	1.060185e-05	4.161840e-05	4.161840e-05
7.700000e+00	7.800000e+00	8.482751e-07	1.177268e-05	1.177268e-05
7.800000e+00	7.900000e+00	8.679211e-06	3.765626e-05	3.765626e-05
7.900000e+00	8.000000e+00	2.284797e-10	1.932111e-07	1.932111e-07
8.000000e+00	8.100000e+00	1.309396e-04	1.462058e-04	1.462058e-04
8.100000e+00	8.200000e+00	7.977586e-05	1.141373e-04	1.141373e-04
8.200000e+00	8.300000e+00	2.223482e-05	6.026894e-05	6.026894e-05
8.300000e+00	8.400000e+00	2.054501e-06	1.832138e-05	1.832138e-05
8.400000e+00	8.500000e+00	1.204718e-05	4.436414e-05	4.436414e-05
8.500000e+00	8.600000e+00	1.570614e-04	1.601034e-04	1.601034e-04
8.600000e+00	8.700000e+00	4.610304e-04	2.739859e-04	2.739859e-04
8.700000e+00	8.800000e+00	9.510419e-05	1.246054e-04	1.246054e-04
8.800000e+00	8.900000e+00	2.714261e-04	2.103565e-04	2.103565e-04
8.900000e+00	9.000000e+00	1.962723e-04	1.789247e-04	1.789247e-04
9.000000e+00	9.100000e+00	1.751244e-04	1.690177e-04	1.690177e-04
9.100000e+00	9.200000e+00	2.650026e-04	2.078177e-04	2.078177e-04
9.200000e+00	9.300000e+00	1.065014e-03	4.149321e-04	4.149321e-04
9.300000e+00	9.400000e+00	3.925949e-04	2.527180e-04	2.527180e-04
9.400000e+00	9.500000e+00	7.673276e-04	3.525140e-04	3.525140e-04
9.500000e+00	9.600000e+00	1.022406e-03	4.061756e-04	4.061756e-04
9.600000e+00	9.700000e+00	5.964904e-04	3.109758e-04	3.109758e-04
9.700000e+00	9.800000e+00	3.095854e-04	2.244078e-04	2.244078e-04
9.800000e+00	9.900000e+00	1.079563e-03	4.166930e-04	4.166930e-04
9.900000e+00	1.000000e+01	1.054007e-03	4.113930e-04	4.113930e-04
1.000000e+01	1.010000e+01	1.034134e-03	4.074398e-04	4.074398e-04
1.010000e+01	1.020000e+01	2.058379e-03	5.696567e-04	5.696567e-04
1.020000e+01	1.030000e+01	5.931470e-04	3.093973e-04	3.093973e-04
1.030000e+01	1.040000e+01	1.358455e-03	4.649880e-04	4.649880e-04
1.040000e+01	1.050000e+01	2.531605e-03	6.257810e-04	6.257810e-04
1.050000e+01	1.060000e+01	1.024068e-03	4.038122e-04	4.038122e-04
1.060000e+01	1.070000e+01	7.065274e-04	3.365833e-04	3.365833e-04
1.070000e+01	1.080000e+01	9.445428e-04	3.868409e-04	3.868409e-04
1.080000e+01	1.090000e+01	1.211366e-03	4.367197e-04	4.367197e-04
1.090000e+01	1.100000e+01	7.641378e-04	3.487797e-04	3.487797e-04
1.100000e+01	1.110000e+01	1.826759e-03	5.289645e-04	5.289645e-04
1.110000e+01	1.120000e+01	1.187117e-03	4.301765e-04	4.301765e-04
1.120000e+01	1.130000e+01	5.623241e-04	2.995976e-04	2.995976e-04
1.130000e+01	1.140000e+01	9.639408e-04	3.877793e-04	3.877793e-04
1.140000e+01	1.150000e+01	1.503050e-03	4.749915e-04	4.749915e-04
1.150000e+01	1.160000e+01	2.767503e-04	2.105942e-04	2.105942e-04
1.160000e+01	1.170000e+01	3.037752e-04	2.201487e-04	2.201487e-04
1.170000e+01	1.180000e+01	4.762178e-04	2.714712e-04	2.714712e-04
1.180000e+01	1.190000e+01	2.329737e-05	6.160674e-05	6.160674e-05
1.190000e+01	1.200000e+01	4.930245e-04	2.731269e-04	2.731269e-04
1.200000e+01	1.210000e+01	4.690004e-05	8.719828e-05	8.719828e-05
1.210000e+01	1.220000e+01	1.272866e-04	1.421431e-04	1.421431e-04
1.220000e+01	1.230000e+01	2.935679e-05	6.882206e-05	6.882206e-05
1.230000e+01	1.240000e+01	6.237918e-05	9.993149e-05	9.993149e-05
1.240000e+01	1.250000e+01	1.420079e-04	1.485442e-04	1.485442e-04
1.250000e+01	1.260000e+01	8.535740e-05	1.159036e-04	1.159036e-04
1.260000e+01	1.270000e+01	3.619872e-05	7.626241e-05	7.626241e-05
1.270000e+01	1.280000e+01	1.466854e-05	4.875890e-05	4.875890e-05
1.280000e+01	1.290000e+01	8.151104e-05	1.124909e-04	1.124909e-04
1.290000e+01	1.300000e+01	1.080189e-04	1.248263e-04	1.248263e-04
1.300000e+01	1.310000e+01	3.953302e-06	2.537078e-05	2.537078e-05
1.310000e+01	1.320000e+01	4.558944e-06	2.721965e-05	2.721965e-05
1.320000e+01	1.330000e+01	9.969576e-06	4.011631e-05	4.011631e-05
1.330000e+01	1.340000e+01	9.451648e-05	1.167643e-04	1.167643e-04
1.340000e+01	1.350000e+01	7.674457e-07	1.119199e-05	1.119199e-05
1.350000e+01	1.360000e+01	7.674457e-07	1.119199e-05	1.119199e-05
1.360000e+01	1.370000e+01	5.372906e-06	2.947302e-05	2.947302e-05
1.370000e+01	1.380000e+01	1.866270e-04	1.504993e-04	1.504993e-04
1.380000e+01	1.390000e+01	3.025526e-05	6.860311e-05	6.860311e-05
1.390000e+01	1.400000e+01	1.679488e-07	5.236974e-06	5.236974e-06
1.400000e+01	1.410000e+01	8.914316e-06	3.773715e-05	3.773715e-05
1.410000e+01	1.420000e+01	1.896829e-05	5.463747e-05	5.463747e-05
1.420000e+01	1.430000e+01	2.279473e-06	1.924720e-05	1.924720e-05
