# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.216092e-04	2.239415e-04	2.239415e-04
1.000000e-01	2.000000e-01	5.594395e-04	3.008372e-04	3.008372e-04
2.000000e-01	3.000000e-01	1.511601e-04	1.570983e-04	1.570983e-04
3.000000e-01	4.000000e-01	3.610702e-04	2.427218e-04	2.427218e-04
4.000000e-01	5.000000e-01	4.888397e-04	2.823425e-04	2.823425e-04
5.000000e-01	6.000000e-01	1.846573e-04	1.736314e-04	1.736314e-04
6.000000e-01	7.000000e-01	2.338619e-04	1.953786e-04	1.953786e-04
7.000000e-01	8.000000e-01	2.806310e-04	2.140003e-04	2.140003e-04
8.000000e-01	9.000000e-01	5.508242e-04	2.996157e-04	2.996157e-04
9.000000e-01	1.000000e+00	6.908780e-04	3.354239e-04	3.354239e-04
1.000000e+00	1.100000e+00	2.729106e-04	2.110247e-04	2.110247e-04
1.100000e+00	1.200000e+00	2.402012e-04	1.979892e-04	1.979892e-04
1.200000e+00	1.300000e+00	1.295085e-04	1.454181e-04	1.454181e-04
1.300000e+00	1.400000e+00	4.929352e-05	8.973264e-05	8.973264e-05
1.400000e+00	1.500000e+00	7.073589e-04	3.393402e-04	3.393402e-04
1.500000e+00	1.600000e+00	2.158977e-04	1.877121e-04	1.877121e-04
1.600000e+00	1.700000e+00	2.187492e-04	1.889452e-04	1.889452e-04
1.700000e+00	1.800000e+00	3.369808e-05	7.419483e-05	7.419483e-05
1.800000e+00	1.900000e+00	1.057454e-04	1.314079e-04	1.314079e-04
1.900000e+00	2.000000e+00	2.049663e-04	1.829031e-04	1.829031e-04
2.000000e+00	2.100000e+00	3.096217e-04	2.247328e-04	2.247328e-04
2.100000e+00	2.200000e+00	5.695704e-04	3.046080e-04	3.046080e-04
2.200000e+00	2.300000e+00	6.494741e-04	3.251957e-04	3.251957e-04
2.300000e+00	2.400000e+00	7.045511e-05	1.072724e-04	1.072724e-04
2.400000e+00	2.500000e+00	5.266850e-04	2.929457e-04	2.929457e-04
2.500000e+00	2.600000e+00	6.005021e-04	3.127466e-04	3.127466e-04
2.600000e+00	2.700000e+00	2.897188e-04	2.174035e-04	2.174035e-04
2.700000e+00	2.800000e+00	2.025238e-04	1.818114e-04	1.818114e-04
2.800000e+00	2.900000e+00	9.473544e-04	3.924241e-04	3.924241e-04
