# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.454147e-01	1.539790e-02	1.539790e-02
1.000000e-02	2.000000e-02	5.378815e-02	9.355162e-03	9.355162e-03
2.000000e-02	3.000000e-02	2.870218e-02	6.832491e-03	6.832491e-03
3.000000e-02	4.000000e-02	7.600684e-03	3.520855e-03	3.520855e-03
4.000000e-02	5.000000e-02	6.658072e-03	3.294751e-03	3.294751e-03
5.000000e-02	6.000000e-02	1.120356e-02	4.268715e-03	4.268715e-03
6.000000e-02	7.000000e-02	9.492762e-03	3.929064e-03	3.929064e-03
7.000000e-02	8.000000e-02	4.535835e-03	2.718832e-03	2.718832e-03
8.000000e-02	9.000000e-02	2.920901e-03	2.182517e-03	2.182517e-03
9.000000e-02	1.000000e-01	9.910271e-04	1.272037e-03	1.272037e-03
1.000000e-01	1.100000e-01	2.693310e-03	2.095466e-03	2.095466e-03
1.100000e-01	1.200000e-01	4.379232e-03	2.669595e-03	2.669595e-03
1.200000e-01	1.300000e-01	1.610219e-03	1.620686e-03	1.620686e-03
1.300000e-01	1.400000e-01	6.943784e-04	1.064757e-03	1.064757e-03
1.400000e-01	1.500000e-01	3.051940e-03	2.229202e-03	2.229202e-03
1.500000e-01	1.600000e-01	6.772994e-04	1.051513e-03	1.051513e-03
1.600000e-01	1.700000e-01	9.181635e-04	1.224066e-03	1.224066e-03
1.700000e-01	1.800000e-01	1.132651e-09	1.360368e-06	1.360368e-06
1.800000e-01	1.900000e-01	5.512299e-04	9.486471e-04	9.486471e-04
1.900000e-01	2.000000e-01	2.734629e-04	6.682881e-04	6.682881e-04
2.000000e-01	2.100000e-01	7.895284e-05	3.591398e-04	3.591398e-04
2.100000e-01	2.200000e-01	2.219904e-03	1.900895e-03	1.900895e-03
2.200000e-01	2.300000e-01	2.187638e-03	1.886740e-03	1.886740e-03
2.300000e-01	2.400000e-01	1.426351e-03	1.524519e-03	1.524519e-03
2.400000e-01	2.500000e-01	2.576432e-03	2.046050e-03	2.046050e-03
2.500000e-01	2.600000e-01	2.658502e-06	6.590611e-05	6.590611e-05
2.600000e-01	2.700000e-01	4.546998e-04	8.615322e-04	8.615322e-04
2.700000e-01	2.800000e-01	4.150028e-03	2.591599e-03	2.591599e-03
2.800000e-01	2.900000e-01	1.960912e-03	1.785650e-03	1.785650e-03
2.900000e-01	3.000000e-01	2.715778e-04	6.659160e-04	6.659160e-04
